case,T0_C,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
critical_success,-16.4208984375,success,39.983120296893375,19.991560148446688,0.5,0.471311802125556,0.1125329102263342,0.07615189564968125,1.001038043431148e-07,14.015213302541458,-2.6469933800399303e-08,1.5629815150464133e-13,0.3098198277418617,0.021074947820958718,0.3628820923564888,2.135180920959101e-12,922540.5791192453,1279.4473097021926,33682.9512188992,890137.0752100218,0.5696875041827533,14.015213402645262,0.0,0.032037102499820905,0.1125329102263342
critical_failure,-16.42578125,charge_exhausted,39.999999999997854,19.999999999998927,0.5,0.4712907490044479,0.11266020733505758,0.07622722974708383,-0.0014251399118872972,14.015080289462142,2.2984750103205442e-08,1.6263401216021212e-13,0.3097657836844682,0.021077399844531924,0.3628175880906496,2.135180920959101e-12,922933.5674958148,1281.9012483123674,33705.608169834224,890509.8605743159,0.5696722673069049,14.013655149550255,0.0,0.03206879555459818,0.11266020733505758
below_critical,-18.0,charge_exhausted,39.999999999997854,19.999999999998927,0.5,0.4643654502930274,0.15238692484703623,0.09934549497085873,-1.5526893859240953,13.960189203052183,1.0717485565692186e-08,1.689184816328071e-13,0.3069921849553794,0.021192297759154523,0.34217581472063596,2.2595258997171186e-12,929447.7332482025,2412.2866141990976,33877.4248325866,897982.5950298257,0.5593745919501357,12.406574892814984,0.0,0.041794649734240276,0.15238692484703623
