segments,parameters,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
2,"[0.5, 0.5, 8.0]",success,27.11949405372034,13.55974702686017,0.5,0.49688882001801316,0.039283701784125304,0.03136570441153433,1.006178670253567e-07,7.715138865189637,-6.959453457966447e-09,1.0730294690980413e-14,0.34748135347311554,0.019438943078033302,0.4616483435741978,1.4436452033805836e-11,628891.1594761962,431.40462267169875,13159.696830810693,616162.8672680502,0.5738599317369443,7.715138965807504,0.0,0.013195551845932492,0.039283701784125304
3,"[0.5, 0.5, 0.5, 21.068907906415646, 29.068907906415646]",success,27.119494025709468,13.559747012854734,0.5,0.49688882001801316,0.03928368433678667,0.03136570366543639,1.0034932485186052e-07,7.7151388197112665,-7.619746611453593e-09,1.040476298869164e-14,0.3474666766497605,0.01943902201138007,0.4616483435741978,3.015934169070533e-10,628891.1592500358,431.40170641409094,13159.696709158572,616162.8642472837,0.5738598243315612,7.715138920060592,0.0,0.01319555153204909,0.03928368433678667
4,"[0.5, 0.5, 0.5, 0.5, 8.0, 16.0, 24.0]",success,27.11949405372034,13.55974702686017,0.5,0.49688882001801316,0.039283701784125304,0.03136570441153433,1.006178670253567e-07,7.715138865189637,-6.959453457966447e-09,1.0730294690980413e-14,0.34748135347311554,0.019438943078033302,0.4616483435741978,1.4436452033805836e-11,628891.1594761962,431.40462267169875,13159.696830810693,616162.8672680502,0.5738599317369443,7.715138965807504,0.0,0.013195551845932492,0.039283701784125304
