plateau_time_s,slope_A_cm2_s,dt_s,grid_scale,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
60.0,0.008333333333333333,0.003125,8,success,51.36627902387325,10.993727586493335,0.4280523251906104,0.5826728571494852,0.0716738544684546,0.049613841221841704,1.0019664365034598e-07,9.357686214053892,-6.9903762778267264e-09,3.381485629699865e-14,0.3560874504626875,0.016010217138600475,0.6279866275706215,9.994476357633175e-10,476735.20855815575,182.85162406971963,15442.885924070237,461475.17425814824,0.5826728571494852,9.357686314250536,0.0,0.020872543002028805,0.0716738544684546
30.0,0.016666666666666666,0.003125,8,success,33.454728665947044,9.227364332973522,0.5,0.5608407032612798,0.04254408156495256,0.03427690369295664,1.0011800548504409e-07,9.746610295288171,-8.19636625237763e-09,3.922806090378428e-14,0.36452175816319204,0.01847584287252929,0.6201162896579824,9.988543325789578e-10,410160.2186689006,138.49019882660886,9991.301242105632,400307.4076256134,0.5679980208547304,9.746610395406178,0.0,0.01442029338362686,0.04254408156495256
10.0,0.05,0.003125,8,success,21.865544167163684,8.432772083581842,0.5,0.5286547789397371,0.02475131378503838,0.022290683452180934,1.0023950454375398e-07,9.97112817678726,-4.55020199296996e-09,4.6524009688145296e-14,0.3700260610261531,0.018361323883449594,0.5866451087100826,9.992309202289107e-10,385820.9283663408,10.85582284442405,7982.46884756132,377849.31534161937,0.5670372901470945,9.971128277026764,0.0,0.00937769052833252,0.02475131378503838
5.0,0.1,0.003125,8,success,19.10368210822564,8.30184105411282,0.5,0.5124666287709825,0.021530899489183502,0.01950874353540823,1.0016332964074977e-07,9.998001541021727,-3.436980477999896e-09,4.7332119777407367e-14,0.3712682021568168,0.018342918084200317,0.5234378623296392,9.98495508497399e-10,383414.1404026803,-1.9127740621888634,7781.762923007889,375630.4647056068,0.5667700157466513,9.998001641185057,0.0,0.008207328405346243,0.021530899489183502
1.0,0.5,0.003125,8,success,16.930291258545434,8.215145629272717,0.5,0.49803827509879517,0.019756029955885216,0.017734167731275865,1.0008419818862063e-07,10.006989438267588,6.953086995054036e-09,4.649199861900266e-14,0.37211816347273985,0.01832979915675951,0.4544278877915074,9.704610448579842e-10,382485.8728418778,7.580288019942636,7710.177273992281,374783.2758559124,0.5665818180670401,10.006989538351787,0.0,0.0074607643645477565,0.019756029955885216
0.5,1.0,0.003125,8,success,16.662175410242533,8.206087705121266,0.5,0.4973184888203571,0.019641272134276983,0.01760188968894547,1.002024610652571e-07,10.007320045821642,4.9230948206968606e-09,4.6608306407056044e-14,0.37219159368935917,0.018328200722786212,0.4510387002158082,9.471321504861407e-10,382432.7990684504,10.169842376801261,7707.198917256838,374735.7699935753,0.566569408570097,10.007320146024103,0.0,0.00740511499213936,0.019641272134276983
0.2,2.5,0.003125,8,success,16.502071453632535,8.201035726816269,0.5,0.497142773671072,0.019597645113012464,0.01754782518535053,1.002508756469369e-07,10.007443817129992,3.597961040213704e-09,4.697875118434003e-14,0.3722263367325416,0.018327229500825548,0.4501937229365212,9.241158949180317e-10,382407.81607144227,11.848559225056112,7706.124697962319,374713.5399327086,0.5665653587975107,10.007443917380868,0.0,0.007382370055476969,0.019597645113012464
0.1,5.0,0.003125,8,success,16.448835556210685,8.199417778105342,0.5,0.49712870358435146,0.019587047524718817,0.017535162245553373,1.0024434784229267e-07,10.007472430907864,1.2223608791828156e-09,4.67553784317537e-14,0.37223562083038436,0.01832690887842769,0.4501178642079763,6.155769227689234e-10,382400.58050318644,12.432986244635819,7705.882243071177,374707.1312463611,0.5665643426338075,10.007472531152212,0.0,0.007377042756704305,0.019587047524718817
0.05,10.0,0.003125,8,success,16.42223927304308,8.198619636521538,0.5,0.4971294980066021,0.019582235301137885,0.017529938144916817,1.0013189243128267e-07,10.007484138955569,4.743924364447594e-09,4.691613850887899e-14,0.37223716371937415,0.01832676045437794,0.45011615492670404,4.467430869681266e-10,382397.15502405714,12.731466210226223,7705.781059930433,374704.1054303417,0.5665637873666671,10.00748423908746,0.0,0.007374844977566505,0.019582235301137885
0.02,25.0,0.003125,8,success,16.40629101663987,8.198145508319936,0.5,0.49713237283377726,0.019579480740041146,0.017527171298926603,1.0013130252630971e-07,10.007490319382883,-2.7284841053187847e-10,4.740278265399911e-14,0.3722422592394529,0.018326656134458132,0.4501261462862108,3.062439191126032e-10,382395.16433587443,12.912550956471685,7705.726609529126,374702.3502773015,0.5665634742102816,10.007490419514186,0.0,0.007373680965458423,0.019579480740041146
0.01,50.0,0.003125,8,success,16.40098159149448,8.19799079574724,0.5,0.49713375502006835,0.019578602904130975,0.017526326985431828,1.0019814412724788e-07,10.007492189163022,-1.2119016901124269e-08,4.7156994021496645e-14,0.3722403414247762,0.01832663553550108,0.45013145669815396,4.0594372308078164e-10,382394.52223757416,12.973698417657257,7705.709912788054,374701.78602319164,0.5665633405895646,10.007492289361167,0.0,0.007373325762771172,0.019578602904130975
