time_s,j_A_cm2,charge_C_cm2,T1_C,T2_C,T3_C,TEP_C,cell1_V,cell1_Erev,cell1_eta_act,cell1_eta_ohm,cell1_eta_con,cell1_jlim_A_m2,cell1_j_over_jlim,cell1_lambda_mean,cell1_lambda_min,cell1_kappa_min,cell1_cO2,cell1_active_area,cell1_ice_bulk,cell1_pore_ice_bulk,cell1_mem_ice_bulk,cell1_pore_ice_saturation,cell1_liquid_saturation,cell1_gas_porosity_min,cell1_inventory_min,cell1_water_kg_m2,cell1_ice_kg_m2,cell2_V,cell2_Erev,cell2_eta_act,cell2_eta_ohm,cell2_eta_con,cell2_jlim_A_m2,cell2_j_over_jlim,cell2_lambda_mean,cell2_lambda_min,cell2_kappa_min,cell2_cO2,cell2_active_area,cell2_ice_bulk,cell2_pore_ice_bulk,cell2_mem_ice_bulk,cell2_pore_ice_saturation,cell2_liquid_saturation,cell2_gas_porosity_min,cell2_inventory_min,cell2_water_kg_m2,cell2_ice_kg_m2,cell3_V,cell3_Erev,cell3_eta_act,cell3_eta_ohm,cell3_eta_con,cell3_jlim_A_m2,cell3_j_over_jlim,cell3_lambda_mean,cell3_lambda_min,cell3_kappa_min,cell3_cO2,cell3_active_area,cell3_ice_bulk,cell3_pore_ice_bulk,cell3_mem_ice_bulk,cell3_pore_ice_saturation,cell3_liquid_saturation,cell3_gas_porosity_min,cell3_inventory_min,cell3_water_kg_m2,cell3_ice_kg_m2,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,energy_balance_J_m2,water_balance_kg_m2,g12_W_m2K,g23_W_m2K,gE_W_m2K
0.0,0.5,0.0,-10.0,-10.0,-10.0,-10.0,0.49816180183797854,1.2499027064965211,0.6525724236398756,0.09820685414967753,0.000961626868989496,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0,0.4990272660200691,1.2499027064965211,0.6525724236398756,0.09820685414967753,9.616268689894959e-05,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0,0.4990272660200691,1.2499027064965211,0.6525724236398756,0.09820685414967753,9.616268689894959e-05,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.56053116539954,350.56053116539954,568.3043465937842
0.05000000000000001,0.5,0.025000000000000005,-9.959999016101044,-9.959929381682938,-9.959929322956194,-9.999984703912046,0.49800970774351916,1.2497593496378943,0.6524613249520093,0.09830987545395932,0.000978441488406532,292238.0522587634,0.017109339325779276,3.000135210211854,2.7478796976507898,0.5755446182124345,9.565284251759465,0.9999819968777298,1.3941787595935804e-05,2.174341009321667e-06,1.3941787595935804e-05,5.168388422442755e-06,0.004949997989331673,0.3916,0.0,0.0014164523284551744,3.794440626536201e-08,0.4988905581177387,1.2497592888130769,0.652461130126012,0.09830975641247393,9.784415685223582e-05,292238.10519053496,0.017109336226841715,3.0001352102982883,2.747879849298161,0.5755453931495369,9.56528218812271,0.9999819969247514,1.3941752885065865e-05,2.1743353236962615e-06,1.3941752885065865e-05,5.168374907763872e-06,0.004949998001746641,0.3916,0.0,0.0014164523284530537,3.794430703883754e-08,0.4988905583313805,1.2497592887620415,0.6524611299617047,0.09830975631209896,9.784415685733725e-05,292238.1052400755,0.017109336223941323,3.000135210298341,2.747879849402765,0.5755453937967442,9.565282186542717,0.9999819969247804,1.3941752864207482e-05,2.174335320169562e-06,1.3941752864207482e-05,5.16837489938094e-06,0.004949998001754346,0.3916,0.0,0.001416452328453052,3.794430697730848e-08,1226.7883905164226,-0.7867957397569699,0.08506629410000066,1225.916528482347,-2.1857726739682448e-10,-3.653358980626204e-18,350.6273464413947,350.6273464410221,568.3921408314716
0.10000000000000005,0.5,0.050000000000000024,-9.92018815812004,-9.919851645620978,-9.919851030125402,-9.999940718040046,0.4978459414614376,1.2497241197327325,0.6523522675151796,0.09854673068353302,0.0009791800725822083,292063.3084144987,0.01711957598214959,3.00071882162704,2.641767243789998,0.5470469243332573,9.563776120725846,0.9999307303883549,4.085949591345665e-05,8.413966715104579e-06,4.085949591345665e-05,1.999992088211214e-05,0.009891016248902887,0.3916,0.0,0.0014397039350289409,1.4583328991470193e-07,0.49872842698583497,1.2497238239114803,0.6523513259730461,0.09854615289461179,9.791805798740567e-05,292063.5285641976,0.01711956307786977,3.000718823590322,2.641768449327913,0.5470506216656316,9.563764990158836,0.9999307314266784,4.0858896495571864e-05,8.413840228779625e-06,4.0858896495571864e-05,1.9999620225290285e-05,0.009891016526570264,0.3916,0.0,0.0014397039350046536,1.4583109637635205e-07,0.49872842922434224,1.2497238233717534,0.6523513242509447,0.09854615183839478,9.791805807170831e-05,292063.5289919454,0.017119563052796955,3.000718823593118,2.6417684512415294,0.5470506283488217,9.563764970622,0.9999307314281657,4.0858895661453174e-05,8.413840047395148e-06,4.0858895661453174e-05,1.9999619794141065e-05,0.009891016526968579,0.3916,0.0,0.0014397039350046185,1.4583109323584266e-07,2453.7143581943087,-1.4580184563767427,0.32973043879244734,2451.9266092994853,3.4580960317498466e-10,3.1539271791013873e-18,350.695285923488,350.6952859153279,568.4814057681522
0.15312499999999996,0.5,0.07656249999999998,-9.878091881385568,-9.877258099752856,-9.877255725926387,-9.999862710587431,0.4976051992232791,1.249686869787801,0.6522385400182388,0.09886320056380969,0.0009799299824733876,291887.9954977994,0.017129858291954646,3.001902316669991,2.559832093335533,0.5251226949713814,9.56218596160926,0.9998414885803091,7.936937759183137e-05,1.9452218374686335e-05,7.936937759183137e-05,4.6237742749432696e-05,0.01512340539841021,0.3916,0.0,0.0014644085556417574,3.327980893909638e-07,0.4984901758328006,1.2496861353889381,0.6522362069965774,0.0988617594263148,9.799313324536019e-05,291888.5132931831,0.017129827904456878,3.0019023284489057,2.5598359450208084,0.5251317553036269,9.562157499131004,0.9998414947362153,7.936632116087475e-05,1.9451457948908775e-05,7.936632116087475e-05,4.6235935224408773e-05,0.015123407063925924,0.3916,0.0,0.001464408555548634,3.3278506961451495e-07,0.4984901844851533,1.2496861333014437,0.6522362003544913,0.09886175532819101,9.799313360814436e-05,291888.5148310522,0.017129827814205183,3.0019023284751345,2.559835954648971,0.5251317807342241,9.562157420183077,0.9998414947500629,7.936631448521027e-05,1.9451456235415187e-05,7.936631448521027e-05,4.6235931151450406e-05,0.015123407067681836,0.3916,0.0,0.0014644085555484319,3.327850403804697e-07,3757.598536904393,-2.0532858018691815,0.763720442163315,3754.7815306605053,1.4490630917407543e-10,8.940856274742767e-18,350.77410857929164,350.7741085308993,568.5849618152835
0.20312499999999978,0.5,0.10156249999999989,-9.838659925731104,-9.837159212874083,-9.837153512768,-9.999760007553375,0.4973654142062751,1.2496519803200867,0.6521334051079054,0.09917258272153157,0.0009805782843746484,291739.99106054346,0.01713854854736858,3.003596023146594,2.4990302379148566,0.5089074455316362,9.56070178400351,0.9997272023841173,0.00012335175101423938,3.38635864492801e-05,0.00012335175101423938,8.049343106555763e-05,0.01977015371418746,0.3916,0.0,0.0014876596006665583,5.72154800634155e-07,0.49825342500192815,1.2496506573280433,0.6521292055840258,0.0991699686631103,9.80580789790396e-05,291740.90048370487,0.017138495122590032,3.0035960605745,2.499038442447001,0.5089236523299203,9.560649850833505,0.9997272217822392,0.00012334295484235012,3.386115506144326e-05,0.00012334295484235012,8.048765167920907e-05,0.01977015872194681,0.3916,0.0,0.0014876596004332872,5.721136176068433e-07,0.4982534458408629,1.2496506523090973,0.6521291896338149,0.0991699587545281,9.805807989140954e-05,291740.9040537068,0.01713849491286812,3.003596060685462,2.4990384698795887,0.5089237128701711,9.560649657374011,0.9997272218405725,0.00012334292914584972,3.386114773274945e-05,0.00012334292914584972,8.048763425897182e-05,0.019770158737174522,0.3916,0.0,0.0014876596004326083,5.721134940411616e-07,4985.087042394988,-2.512272303302302,1.3352060870420703,4981.239564005522,8.781397831114646e-10,1.2019185763301708e-17,350.8586932972674,350.85869314287567,568.6960782461987
0.2531249999999996,0.5,0.1265624999999998,-9.799409185906159,-9.797050776039173,-9.797039583643317,-9.9996290478477,0.49714535511790847,1.249617253170168,0.652029981278528,0.09946074691422445,0.0009811698595070342,291608.69643023534,0.01714626505041904,3.0058561669962227,2.4496211600311026,0.49577835179431984,9.55922821809654,0.9995864437601272,0.00017374820905298902,5.1708887805963254e-05,0.00017374820905298902,0.0001229115469597415,0.023775378337334563,0.3916,0.0,0.0015109104803927983,8.688270552536931e-07,0.4980370717577525,1.249615172971933,0.652023380942011,0.09945660288536008,9.811738680939393e-05,291610.10427958216,0.01714618227085243,3.005856257743589,2.4496359619136734,0.4958037724204245,9.5591459557809,0.999586490338289,0.00017372836267268128,5.1703009944984265e-05,0.00017372836267268128,0.00012289757533868377,0.023775389411603898,0.3916,0.0,0.0015109104799375596,8.687274286400191e-07,0.49803711282024127,1.2496151631095136,0.6520233496206308,0.09945658327999188,9.811738864969444e-05,291610.1111437233,0.01714618186725252,3.0058562580786257,2.449636023718568,0.4958038907567021,9.559145571388374,0.9995864905133224,0.00017372829016975896,5.170298781827513e-05,0.00017372829016975896,0.00012289752274370128,0.023775389454137326,0.3916,0.0,0.0015109104799359092,8.687270550595875e-07,6212.862194738461,-2.877665021014101,2.0640343241525025,6207.920495394261,9.66543289848687e-10,1.2922969918022047e-17,350.9554064280458,350.95540604850606,568.8231151041989
0.3031249999999994,0.5,0.1515624999999997,-9.7603396223447,-9.756934795968766,-9.756915421209756,-9.999469965900497,0.4969636218612853,1.2495826866115718,0.6519281319470506,0.0997091965654177,0.0009817362378182234,291484.7776617459,0.017153554432959996,3.0086448634097094,2.4092192326368536,0.4850902092872574,9.557762407357618,0.9994222402322124,0.00022966595768161328,7.248464963980596e-05,0.00022966595768161328,0.0001722953402419918,0.027399298054130033,0.3916,0.0,0.0015341612068142554,1.2192906966347795e-06,0.497859747879795,1.2495796824028234,0.6519186019385094,0.09970315837512465,9.817420939436582e-05,291486.78942823614,0.01715343604356038,3.0086450490871,2.4092433075420154,0.48512697856593245,9.557643037448353,0.9994223344698747,0.0002296275429960597,7.24727384992245e-05,0.0002296275429960597,0.00017226702757124909,0.02739931880492216,0.3916,0.0,0.0015341612060492023,1.2190869045469961e-06,0.49785981923119726,1.249579665321743,0.6519185477142145,0.09970312416369445,9.81742126368125e-05,291486.80114053737,0.01715343535431404,3.0086450499060997,2.4092434278703276,0.485127183247014,9.557642366886096,0.9994223348941839,0.00022962737472973307,7.247268481553847e-05,0.00022962737472973307,0.00017226689996562505,0.027399318901064243,0.3916,0.0,0.0015341612060458798,1.219085988453957e-06,7440.885245998535,-3.1552863686229,2.9494806200130173,7434.780479010554,6.550791020742963e-10,1.4334338566384525e-17,351.0638466070454,351.0638458121627,568.9655403702894
0.35312499999999925,0.5,0.17656249999999962,-9.721451770963832,-9.716813833461847,-9.716783071910928,-9.999282894406466,0.4968288940299313,1.2495482798217283,0.6518277329482847,0.09990934727751526,0.000982305565997124,291359.9351424473,0.01716090442412913,3.0118719797391225,2.3761616428038703,0.4763935929568475,9.556302183482732,0.9992373793684458,0.00029030467741037656,9.58587425318696e-05,0.00029030467741037656,0.0002278553423624188,0.0306126069130643,0.3916,0.0,0.001557411668504382,1.620514674630372e-06,0.4977301605233998,1.2495441865879315,0.6518147497733409,0.09990104493011069,9.823136108015438e-05,291362.6549871736,0.017160744228597553,3.0118723175848174,2.3761980714166553,0.47644393066281937,9.556139006694425,0.9992375489084123,0.000290237799972082,9.583728576624256e-05,0.000290237799972082,0.0002278043398294332,0.030612640910063882,0.3916,0.0,0.001557411667311234,1.6201430150290639e-06,0.49773027424786115,1.2495441594582526,0.6518146636719379,0.09990099017216035,9.823136629324384e-05,291362.67338745075,0.017160743144853895,3.011872319315601,2.37619828322809,0.4764442563921458,9.556137936286515,0.9992375497971611,0.000290237458729503,9.583717319052953e-05,0.000290237458729503,0.00022780407223800693,0.030612641095228814,0.3916,0.0,0.0015574116673051591,1.6201410684390058e-06,8669.101165969567,-3.3518100386068146,3.990819281880388,8661.758536649233,1.5340351211534653e-10,1.5022552836028644e-17,351.1833170126375,351.18331552426173,569.1224337181197
0.40312499999999907,0.5,0.20156249999999953,-9.682746312811842,-9.676690571378995,-9.676644713698252,-9.999067964149264,0.49674393522134375,1.2495140342987985,0.6517286688974535,0.10005856276669178,0.0009828674133094185,291237.23490944284,0.01716813443018266,3.0154428811005936,2.3491755855041014,0.46934449085704644,9.554849074364231,0.9990344620985268,0.0003549497044940466,0.00012147908046906835,0.0003549497044940466,0.00028875464813184773,0.03329438089606732,0.3916,0.0,0.0015806618579917893,2.0698909822040456e-06,0.4976510642523298,1.24950868879463,0.6517117143470806,0.10004762239678415,9.828779843544478e-05,291240.7658029615,0.017167926290177188,3.0154434452287258,2.34922781179834,0.46941070731974016,9.554635469572759,0.9990347421062457,0.000354841996197368,0.00012144364205919529,0.000354841996197368,0.00028867041136010287,0.033294432157570324,0.3916,0.0,0.0015806618562183709,2.0692674436508017e-06,0.4976512344349707,1.2495086483402005,0.6517115859774334,0.10004754012151611,9.82878062802544e-05,291240.7930113428,0.01716792468631023,3.0154434485171904,2.3492281579119214,0.4694111952596314,9.554633867558318,0.9990347437798099,0.0003548413693324263,0.0001214434301389584,0.0003548413693324263,0.00028866990762766435,0.0332944324791166,0.3916,0.0,0.0015806618562079846,2.0692637165467656e-06,9897.448375291397,-3.4712871468148645,5.187321966173714,9888.789766178665,2.566409307291906e-10,1.0039881523805222e-17,351.31504934356934,351.31504677394094,569.2954068580292
0.4531249999999989,0.5,0.22656249999999944,-9.644223933243113,-9.636567673692753,-9.636502514843459,-9.998825304084383,0.4967082710681396,1.2494799515165829,0.6516308231376189,0.1001574498840475,0.0009834074267768575,291120.88193274627,0.017174996059386365,3.0192877730652907,2.3272461149457007,0.4636685000018716,9.553404559717718,0.9988161149713599,0.0004229837680372738,0.00014896463244661376,0.0004229837680372738,0.0003540875503841544,0.03553170824359186,0.3916,0.0,0.0016039118890632705,2.5651712985321775e-06,0.49762196996032754,1.2494731922456759,0.6516093842234374,0.1001434959761106,9.834208580034822e-05,291125.32569878333,0.01717473389853178,3.0192886554737104,2.3273178963228065,0.4637529939093205,9.553133982937588,0.9988165481349993,0.0004228203350127178,0.00014890985148940762,0.0004228203350127178,0.0003539573365567093,0.035531781202502145,0.3916,0.0,0.001603911886594704,2.564189395248337e-06,0.49762221266001466,1.2494731347521872,0.6516092018023776,0.10014337819276636,9.834209702865487e-05,291125.3641110269,0.017174731632428778,3.0192886612363314,2.327318430268026,0.46375369196408694,9.553131699839799,0.9988165510399869,0.0004228192672924605,0.000148909484039753,0.0004228192672924605,0.0003539564631322866,0.03553178172070177,0.3916,0.0,0.0016039118865784157,2.5641828017930263e-06,11125.86418388169,-3.5162800267766645,6.538257674092993,11115.809646180936,1.1674039512854506e-10,1.2764786515122306e-17,351.4577990386819,351.45779485304024,569.4828193040939
