T0_C,parameters,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
-10.0,"[0.0, 0.5, 0.5, 0.2, 8.0]",success,16.615612769126994,8.207806384563497,0.5,0.4974536214505544,0.019094770486124825,0.017485415769036925,1.0389522864612646e-07,10.004677946112905,5.566107574850321e-10,1.461097952695778e-15,0.37235161912606474,0.018324899386707637,0.46537876816018003,4.8336445956920215e-11,382733.8228300029,43.92877538670925,7732.195346371943,375045.5562590182,0.5668995957149217,10.004678050008133,0.0,0.007356114414033835,0.019094770486124825
-10.0,"[0.0, 0.5, 0.5, 8.0, 16.0]",success,24.41208965778363,8.206044828891814,0.5,0.4965335051082139,0.018822614724527897,0.017480197615105022,1.0106839104208858e-07,10.004721639960476,6.582013156730682e-09,1.573773663471334e-15,0.37236709323419703,0.018323782213542767,0.46093361658547655,2.248334851628897e-11,382800.6099837978,-87.95974650174966,7727.9065964643505,374984.7436408383,0.5667962354429211,10.004721741028867,0.0,0.007353919136674683,0.018822614724527897
-10.0,"[0.5, 0.0, 0.5, 8.0, 16.0]",success,26.43299684524551,9.216498422622754,0.5,0.497477254483178,0.037475633322754984,0.027383989865946198,1.0452257151434998e-07,9.47979102815861,4.307366907596588e-09,1.5197803952815558e-15,0.3679759918210939,0.01847085040150381,0.46549366423656513,4.3231196400483896e-10,428126.1794921937,227.11002692063678,11546.381785823454,416806.9077332952,0.56880354686373,9.479791132681182,0.0,0.011520444536603567,0.037475633322754984
-10.0,"[0.5, 0.5, 0.0, 8.0, 16.0]",time_limit,600.0,8.0,0.5,0.497477254483178,0.30476551080318626,0.06575694276273839,-7.77815739854764,9.825969511829454,2.88418959826231e-08,9.947771772989e-15,0.3730223499060052,0.018291375936628437,0.28574818414259456,2.133404564119701e-12,373401.6472316503,-632.3341086713177,148983.29165662502,223786.0214663828,1.2479394342396397,-7.764525414148189,0.0,0.029922075835904925,0.30476551080318626
-16.4208984375,"[0.0, 0.5, 0.5, 0.2, 8.0]",charge_exhausted,40.199999999999854,19.999999999999925,0.5,0.4718415958061473,0.10970559545393908,0.07598511891637377,-0.005471721034191014,14.00802803651139,-4.329194780439138e-09,1.1989107623344708e-14,0.31025650368625957,0.02105811663678093,0.3789308369239509,9.999308048236344e-10,922496.2978488255,1363.8126849491468,33707.896229730904,890152.2143040394,0.5702522308270835,14.0025563154772,0.0,0.03196693952811845,0.10970559545393908
-16.4208984375,"[0.0, 0.5, 0.5, 8.0, 16.0]",charge_exhausted,47.99999999999932,19.99999999999966,0.5,0.4708125990347394,0.1089828065531142,0.07594946969727882,-0.00417509429109406,14.010396192109349,8.461938705295324e-09,1.0185754149849569e-14,0.3102860141239785,0.021056497477254247,0.3753490663847301,9.96573490397168e-10,922665.7036743984,1229.712276689754,33709.42625113368,890185.9896999629,0.570263502491709,14.006221097818255,0.0,0.03195194190164521,0.1089828065531142
-16.4208984375,"[0.5, 0.0, 0.5, 8.0, 16.0]",charge_exhausted,47.99999999999932,19.99999999999966,0.5,0.47186803918999604,0.14265311327261196,0.09203237369324602,-0.1631166395707443,13.431041295658957,1.9936123862862587e-09,3.347474207548995e-15,0.30835871238942875,0.021045878356501718,0.3790236478727413,9.970104741796604e-10,926678.2041560252,2240.4384811077825,35362.09890008739,893556.5437370476,0.5655462857410837,13.267924656088214,0.0,0.0387180196127486,0.14265311327261196
-16.4208984375,"[0.5, 0.5, 0.0, 8.0, 16.0]",time_limit,600.0,8.0,0.5,0.47186803918999604,0.2596813151269647,0.09501208804909456,-14.118228984154475,10.011787201760146,9.717768989503384e-08,7.591583611743502e-15,0.36439096282987893,0.01857789989052451,0.24032734462407332,2.8403945862010005e-12,383153.9198464182,2277.894117808191,153707.76355973587,231724.0504045877,1.253541652696345,-14.103915828995108,0.0,0.04067086445514803,0.2596813151269647
-16.42578125,"[0.0, 0.5, 0.5, 0.2, 8.0]",charge_exhausted,40.199999999999854,19.999999999999925,0.5,0.47182079245885084,0.10982945163774696,0.07606003937284571,-0.010335678084277836,14.007860318994469,-4.591129254549742e-09,8.776182905401164e-15,0.3102482529539322,0.021058469273761433,0.37886720012785574,9.999538974625466e-10,922516.0180941364,1367.4408359132879,33708.37068746943,890175.0882425756,0.5702202245535829,13.997524640910191,0.0,0.031998458564156194,0.10982945163774696
-16.42578125,"[0.0, 0.5, 0.5, 8.0, 16.0]",charge_exhausted,47.99999999999932,19.99999999999966,0.5,0.47079169552644357,0.10910633325330987,0.07602438005251835,-0.00903924882898595,14.010228629436227,1.2005330063402653e-08,8.386737485044371e-15,0.3102777554207019,0.021056850477950233,0.3752860109577292,9.965930303224013e-10,922685.4289820921,1233.338082043986,33709.90099487543,890208.8660692726,0.5702315070401175,14.001189380607242,0.0,0.03198345668809448,0.10910633325330987
