cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
1,39.983120296893375,1.171875,aGDL,1.001038043431148e-07,2.302849669180304e-08,0.0,0.0,0.0
1,39.983120296893375,3.515625,aGDL,1.001038043431148e-07,6.908549009285009e-08,0.0,0.0,0.0
1,39.983120296893375,5.859375,aGDL,1.001038043431148e-07,1.1514248354621937e-07,0.0,0.0,0.0
1,39.983120296893375,8.203125,aGDL,1.001038043431148e-07,1.6119947708679012e-07,0.0,0.0,0.0
1,39.983120296893375,10.546874999999998,aGDL,1.001038043431148e-07,2.072564707494383e-07,0.0,0.0,0.0
1,39.983120296893375,12.890624999999998,aGDL,1.001038043431148e-07,2.533134645690351e-07,0.0,0.0,0.0
1,39.983120296893375,15.234375,aGDL,1.001038043431148e-07,2.993704585804458e-07,0.0,0.0,0.0
1,39.983120296893375,17.578125,aGDL,1.001038043431148e-07,3.4542745281852824e-07,0.0,0.0,0.0
1,39.983120296893375,19.921874999999996,aGDL,1.001038043431148e-07,3.914844473181316e-07,0.0,0.0,0.0
1,39.983120296893375,22.265624999999996,aGDL,1.001038043431148e-07,4.375414421140951e-07,0.0,0.0,0.0
1,39.983120296893375,24.609374999999996,aGDL,1.001038043431148e-07,4.835984372412465e-07,0.0,0.0,0.0
1,39.983120296893375,26.953124999999996,aGDL,1.001038043431148e-07,5.296554327344011e-07,0.0,0.0,0.0
1,39.983120296893375,29.296874999999996,aGDL,1.001038043431148e-07,5.757124286283597e-07,0.0,0.0,0.0
1,39.983120296893375,31.640625,aGDL,1.001038043431148e-07,6.21769424957908e-07,0.0,0.0,0.0
1,39.983120296893375,33.984375,aGDL,1.001038043431148e-07,6.678264217578151e-07,0.0,0.0,0.0
1,39.983120296893375,36.328125,aGDL,1.001038043431148e-07,7.138834190628316e-07,0.0,0.0,0.0
1,39.983120296893375,38.67187499999999,aGDL,1.001038043431148e-07,7.599404169076892e-07,0.0,0.0,0.0
1,39.983120296893375,41.01562499999999,aGDL,1.001038043431148e-07,8.059974153270988e-07,0.0,0.0,0.0
1,39.983120296893375,43.35937499999999,aGDL,1.001038043431148e-07,8.520544143557491e-07,0.0,0.0,0.0
1,39.983120296893375,45.70312499999999,aGDL,1.001038043431148e-07,8.981114140283049e-07,0.0,0.0,0.0
1,39.983120296893375,48.04687499999999,aGDL,1.001038043431148e-07,9.441684143794068e-07,0.0,0.0,0.0
1,39.983120296893375,50.39062499999999,aGDL,1.001038043431148e-07,9.902254154436693e-07,0.0,0.0,0.0
1,39.983120296893375,52.73437499999999,aGDL,1.001038043431148e-07,1.036282417255679e-06,0.0,0.0,0.0
1,39.983120296893375,55.07812499999999,aGDL,1.001038043431148e-07,1.0823394198499941e-06,0.0,0.0,0.0
1,39.983120296893375,57.42187499999999,aGDL,1.001038043431148e-07,1.1283964232611423e-06,0.0,0.0,0.0
1,39.983120296893375,59.76562499999999,aGDL,1.001038043431148e-07,1.1744534275236198e-06,0.0,0.0,0.0
1,39.983120296893375,62.10937499999999,aGDL,1.001038043431148e-07,1.2205104326718904e-06,0.0,0.0,0.0
1,39.983120296893375,64.45312499999999,aGDL,1.001038043431148e-07,1.266567438740383e-06,0.0,0.0,0.0
1,39.983120296893375,66.79687499999999,aGDL,1.001038043431148e-07,1.3126244457634913e-06,0.0,0.0,0.0
1,39.983120296893375,69.14062499999999,aGDL,1.001038043431148e-07,1.3586814537755721e-06,0.0,0.0,0.0
1,39.983120296893375,71.48437499999999,aGDL,1.001038043431148e-07,1.4047384628109439e-06,0.0,0.0,0.0
1,39.983120296893375,73.82812499999999,aGDL,1.001038043431148e-07,1.4507954729038854e-06,0.0,0.0,0.0
1,39.983120296893375,76.17187499999999,aGDL,1.001038043431148e-07,1.4968524840886344e-06,0.0,0.0,0.0
1,39.983120296893375,78.51562499999999,aGDL,1.001038043431148e-07,1.5429094963993854e-06,0.0,0.0,0.0
1,39.983120296893375,80.85937499999999,aGDL,1.001038043431148e-07,1.5889665098702909e-06,0.0,0.0,0.0
1,39.983120296893375,83.20312499999999,aGDL,1.001038043431148e-07,1.6350235245354568e-06,0.0,0.0,0.0
1,39.983120296893375,85.54687499999999,aGDL,1.001038043431148e-07,1.6810805404289434e-06,0.0,0.0,0.0
1,39.983120296893375,87.89062499999999,aGDL,1.001038043431148e-07,1.7271375575847625e-06,0.0,0.0,0.0
1,39.983120296893375,90.23437499999999,aGDL,1.001038043431148e-07,1.773194576036877e-06,0.0,0.0,0.0
1,39.983120296893375,92.57812499999999,aGDL,1.001038043431148e-07,1.819251595819199e-06,0.0,0.0,0.0
1,39.983120296893375,94.92187499999999,aGDL,1.001038043431148e-07,1.8653086169655884e-06,0.0,0.0,0.0
1,39.983120296893375,97.26562499999999,aGDL,1.001038043431148e-07,1.9113656395098524e-06,0.0,0.0,0.0
1,39.983120296893375,99.60937499999999,aGDL,1.001038043431148e-07,1.957422663485743e-06,0.0,0.0,0.0
1,39.983120296893375,101.95312499999999,aGDL,1.001038043431148e-07,2.003479688926957e-06,0.0,0.0,0.0
1,39.983120296893375,104.29687499999999,aGDL,1.001038043431148e-07,2.0495367158671313e-06,0.0,0.0,0.0
1,39.983120296893375,106.64062499999997,aGDL,1.001038043431148e-07,2.095593744339846e-06,0.0,0.0,0.0
1,39.983120296893375,108.98437499999997,aGDL,1.001038043431148e-07,2.1416507743786205e-06,0.0,0.0,0.0
1,39.983120296893375,111.32812499999997,aGDL,1.001038043431148e-07,2.1877078060169127e-06,0.0,0.0,0.0
1,39.983120296893375,113.67187499999997,aGDL,1.001038043431148e-07,2.2337648392881167e-06,0.0,0.0,0.0
1,39.983120296893375,116.01562499999997,aGDL,1.001038043431148e-07,2.279821874225562e-06,0.0,0.0,0.0
1,39.983120296893375,118.35937499999997,aGDL,1.001038043431148e-07,2.3258789108625133e-06,0.0,0.0,0.0
1,39.983120296893375,120.70312499999997,aGDL,1.001038043431148e-07,2.3719359492321666e-06,0.0,0.0,0.0
1,39.983120296893375,123.04687499999997,aGDL,1.001038043431148e-07,2.4179929893676507e-06,0.0,0.0,0.0
1,39.983120296893375,125.39062499999999,aGDL,1.001038043431148e-07,2.4640500313020227e-06,0.0,0.0,0.0
1,39.983120296893375,127.734375,aGDL,1.001038043431148e-07,2.51010707506827e-06,0.0,0.0,0.0
1,39.983120296893375,130.078125,aGDL,1.001038043431148e-07,2.556164120699304e-06,0.0,0.0,0.0
1,39.983120296893375,132.42187500000003,aGDL,1.001038043431148e-07,2.6022211682279653e-06,0.0,0.0,0.0
1,39.983120296893375,134.76562500000003,aGDL,1.001038043431148e-07,2.6482782176870163e-06,0.0,0.0,0.0
1,39.983120296893375,137.10937500000006,aGDL,1.001038043431148e-07,2.6943352691091437e-06,0.0,0.0,0.0
1,39.983120296893375,139.45312500000006,aGDL,1.001038043431148e-07,2.740392322526954e-06,0.0,0.0,0.0
1,39.983120296893375,141.79687500000009,aGDL,1.001038043431148e-07,2.786449377972974e-06,0.0,0.0,0.0
1,39.983120296893375,144.14062500000009,aGDL,1.001038043431148e-07,2.8325064354796503e-06,0.0,0.0,0.0
1,39.983120296893375,146.4843750000001,aGDL,1.001038043431148e-07,2.8785634950793438e-06,0.0,0.0,0.0
1,39.983120296893375,148.8281250000001,aGDL,1.001038043431148e-07,2.924620556804335e-06,0.0,0.0,0.0
1,39.983120296893375,150.07083333333344,aCL,1.001038043431148e-07,1.4448637397130637e-06,0.0,0.0,0.0
1,39.983120296893375,150.21250000000012,aCL,1.001038043431148e-07,1.448842761262837e-06,0.0,0.0,0.0
1,39.983120296893375,150.35416666666677,aCL,1.001038043431148e-07,1.4528217828181876e-06,0.0,0.0,0.0
1,39.983120296893375,150.49583333333345,aCL,1.001038043431148e-07,1.4568008043791304e-06,0.0,0.0,0.0
1,39.983120296893375,150.6375000000001,aCL,1.001038043431148e-07,1.4607798259456801e-06,0.0,0.0,0.0
1,39.983120296893375,150.77916666666678,aCL,1.001038043431148e-07,1.4647588475178506e-06,0.0,0.0,0.0
1,39.983120296893375,150.92083333333343,aCL,1.001038043431148e-07,1.4687378690956568e-06,0.0,0.0,0.0
1,39.983120296893375,151.0625000000001,aCL,1.001038043431148e-07,1.4727168906791127e-06,0.0,0.0,0.0
1,39.983120296893375,151.20416666666677,aCL,1.001038043431148e-07,1.4766959122682329e-06,0.0,0.0,0.0
1,39.983120296893375,151.34583333333345,aCL,1.001038043431148e-07,1.480674933863032e-06,0.0,0.0,0.0
1,39.983120296893375,151.4875000000001,aCL,1.001038043431148e-07,1.4846539554635245e-06,0.0,0.0,0.0
1,39.983120296893375,151.62916666666678,aCL,1.001038043431148e-07,1.488632977069725e-06,0.0,0.0,0.0
1,39.983120296893375,151.77083333333343,aCL,1.001038043431148e-07,1.4926119986816475e-06,0.0,0.0,0.0
1,39.983120296893375,151.9125000000001,aCL,1.001038043431148e-07,1.4965910202993067e-06,0.0,0.0,0.0
1,39.983120296893375,152.05416666666676,aCL,1.001038043431148e-07,1.5005700419227172e-06,0.0,0.0,0.0
1,39.983120296893375,152.19583333333344,aCL,1.001038043431148e-07,1.5045490635518934e-06,0.0,0.0,0.0
1,39.983120296893375,152.3375000000001,aCL,1.001038043431148e-07,1.50852808518685e-06,0.0,0.0,0.0
