time_s,cell,j_A_cm2,charge_C_cm2,temperature_C,V,Erev,eta_act,eta_ohm,eta_con,jlim_A_m2,j_over_jlim,lambda_mean,lambda_min,kappa_min,cO2,active_area,ice_bulk,pore_ice_bulk,mem_ice_bulk,pore_ice_saturation,liquid_saturation,gas_porosity_min,inventory_min,water_kg_m2,ice_kg_m2
0.0,1,0.5,0.0,-10.0,0.49816180183797854,1.2499027064965211,0.6525724236398756,0.09820685414967753,0.000961626868989496,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0
0.0,2,0.5,0.0,-10.0,0.4990272660200691,1.2499027064965211,0.6525724236398756,0.09820685414967753,9.616268689894959e-05,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0
0.0,3,0.5,0.0,-10.0,0.4990272660200691,1.2499027064965211,0.6525724236398756,0.09820685414967753,9.616268689894959e-05,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0
0.0,4,0.5,0.0,-10.0,0.4990272660200691,1.2499027064965211,0.6525724236398756,0.09820685414967753,9.616268689894959e-05,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0
0.0,5,0.5,0.0,-10.0,0.49816180183797854,1.2499027064965211,0.6525724236398756,0.09820685414967753,0.000961626868989496,297259.24192952376,0.016820334895375377,3.0000000000000004,3.0,0.6437294826370616,9.725319408896691,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.0013932000000000005,0.0
0.05000000000000001,1,0.5,0.025000000000000005,-9.946805492114262,0.49805755996261375,1.2497477477350614,0.6524244113053499,0.09828731487608623,0.00097846159101151,292246.62319215754,0.017108837547499763,3.0001352375774553,2.7479187627910764,0.5756942704312985,9.56484556050601,0.999982011751206,1.392979746231908e-05,2.1725435911022113e-06,1.392979746231908e-05,5.164115975997649e-06,0.004950001904520362,0.3916,0.0,0.0014164523276616408,3.791301636732621e-08
0.05000000000000001,2,0.5,0.025000000000000005,-9.92059769290048,0.4990332431166977,1.2497247019664266,0.6523510855263931,0.09824252317374259,9.785014959319491e-05,292263.6556150985,0.01710784048559508,3.0001352918796815,2.7479962841109633,0.5759915938463437,9.563974509431631,0.999982041264291,1.390601727061646e-05,2.1689770136614153e-06,1.390601727061646e-05,5.1556382544839915e-06,0.004950009673281557,0.3916,0.0,0.0014164523260879042,3.785073028985941e-08
0.05000000000000001,3,0.5,0.025000000000000005,-9.920518518237667,0.49903353054120597,1.2497246326498996,0.6523508640077594,0.09824238794122613,9.785015970807411e-05,292263.7128147483,0.017107837137377558,3.0001352920004076,2.7479964775344685,0.5759924811080398,9.563972066212738,0.9999820413299352,1.39059667832501e-05,2.168969078350528e-06,1.39059667832501e-05,5.1556193923235745e-06,0.004950009690588893,0.3916,0.0,0.0014164523260846954,3.785059175909052e-08
0.05000000000000001,4,0.5,0.025000000000000005,-9.92059769290048,0.4990332431166977,1.2497247019664266,0.6523510855263931,0.09824252317374259,9.785014959319491e-05,292263.6556150985,0.01710784048559508,3.0001352918796815,2.7479962841109633,0.5759915938463437,9.563974509431631,0.999982041264291,1.390601727061646e-05,2.1689770136614153e-06,1.390601727061646e-05,5.1556382544839915e-06,0.004950009673281557,0.3916,0.0,0.0014164523260879042,3.785073028985941e-08
0.05000000000000001,5,0.5,0.025000000000000005,-9.946805492114262,0.49805755996261375,1.2497477477350614,0.6524244113053499,0.09828731487608623,0.00097846159101151,292246.62319215754,0.017108837547499763,3.0001352375774553,2.7479187627910764,0.5756942704312985,9.56484556050601,0.999982011751206,1.392979746231908e-05,2.1725435911022113e-06,1.392979746231908e-05,5.164115975997649e-06,0.004950001904520362,0.3916,0.0,0.0014164523276616408,3.791301636732621e-08
0.10000000000000005,1,0.5,0.050000000000000024,-9.893853522469447,0.49794161431615536,1.2497009031519597,0.652278583079451,0.09850148173396302,0.0009792240223903568,292079.2792099411,0.017118639889569482,3.0007190470048255,2.641883194571526,0.5473422087650973,9.56286398832829,0.9999308486140539,4.078655561119517e-05,8.399583062878793e-06,4.078655561119517e-05,1.99657310741117e-05,0.009891047793816951,0.3916,0.0,0.001439703931868283,1.455830951664296e-07
0.10000000000000005,2,0.5,0.050000000000000024,-9.841342648003852,0.49901367291681514,1.2496546104839759,0.6521316574214633,0.09841134898594064,9.793115975679599e-05,292111.13823100843,0.017116772849811297,3.000719495459977,2.6421139764165305,0.5479311990614807,9.561046254085555,0.9999310838789925,4.0641557718049124e-05,8.370959941185297e-06,4.0641557718049124e-05,1.989769417919015e-05,0.009891110566933006,0.3916,0.0,0.001439703925585521,1.4508523445911937e-07
0.10000000000000005,3,0.5,0.050000000000000024,-9.841036636949035,0.49901478437106506,1.2496543413396155,0.6521308012171042,0.09841082454469044,9.793120675581723e-05,292111.33581039094,0.017116761272303015,3.00071949739208,2.6421151156191964,0.5479345765305869,9.56103605357246,0.9999310848989396,4.064096020858687e-05,8.370835730907692e-06,4.064096020858687e-05,1.9897398932511743e-05,0.009891110839534896,0.3916,0.0,0.0014397039255608847,1.450830789742061e-07
0.10000000000000005,4,0.5,0.050000000000000024,-9.841342648003852,0.49901367291681514,1.2496546104839759,0.6521316574214633,0.09841134898594064,9.793115975679599e-05,292111.13823100843,0.017116772849811297,3.000719495459977,2.6421139764165305,0.5479311990614807,9.561046254085555,0.9999310838789925,4.0641557718049124e-05,8.370959941185297e-06,4.0641557718049124e-05,1.989769417919015e-05,0.009891110566933006,0.3916,0.0,0.001439703925585521,1.4508523445911937e-07
0.10000000000000005,5,0.5,0.050000000000000024,-9.893853522469447,0.49794161431615536,1.2497009031519597,0.652278583079451,0.09850148173396302,0.0009792240223903568,292079.2792099411,0.017118639889569482,3.0007190470048255,2.641883194571526,0.5473422087650973,9.56286398832829,0.9999308486140539,4.078655561119517e-05,8.399583062878793e-06,4.078655561119517e-05,1.99657310741117e-05,0.009891047793816951,0.3916,0.0,0.001439703931868283,1.455830951664296e-07
0.15312499999999996,1,0.5,0.07656249999999998,-9.837850391853227,0.49775189650024076,1.2496513617369724,0.6521259339705124,0.09879353207107415,0.0009799991951450827,291911.7864664382,0.017128462199229703,3.0019031296654717,2.560055270712383,0.5255702740436027,9.56077317559812,0.9998419068734655,7.914894177000528e-05,1.9400693862136395e-05,7.914894177000528e-05,4.611526946074731e-05,0.01512351808574117,0.3916,0.0,0.0014644085484739305,3.3191050028576554e-07
0.15312499999999996,2,0.5,0.07656249999999998,-9.757287844961402,0.4989274839578247,1.2495802767365434,0.6519004993206272,0.0986542796922066,9.801376588484275e-05,291959.43443380477,0.017125666823188883,3.0019047518095214,2.5605008930512105,0.5264667659717052,9.55794687451305,0.9998427417704018,7.870967850818516e-05,1.9297850720221436e-05,7.870967850818516e-05,4.5870812265798506e-05,0.015123743009660412,0.3916,0.0,0.001464408534190869,3.3013912078413535e-07
0.15312499999999996,3,0.5,0.07656249999999998,-9.756581223579518,0.49893005636120386,1.2495796542098614,0.6518985220970945,0.09865306187044871,9.801388111428407e-05,291959.87066225527,0.017125641235072663,3.0019047622912423,2.5605042284130515,0.5264744770392028,9.557922692607011,0.999842747237311,7.870694460416969e-05,1.9297175704914805e-05,7.870694460416969e-05,4.586920776067222e-05,0.01512374448773339,0.3916,0.0,0.001464408534106597,3.3012755447221677e-07
0.15312499999999996,4,0.5,0.07656249999999998,-9.757287844961402,0.4989274839578247,1.2495802767365434,0.6519004993206272,0.0986542796922066,9.801376588484275e-05,291959.43443380477,0.017125666823188883,3.0019047518095214,2.5605008930512105,0.5264667659717052,9.55794687451305,0.9998427417704018,7.870967850818516e-05,1.9297850720221436e-05,7.870967850818516e-05,4.5870812265798506e-05,0.015123743009660412,0.3916,0.0,0.001464408534190869,3.3013912078413535e-07
0.15312499999999996,5,0.5,0.07656249999999998,-9.837850391853227,0.49775189650024076,1.2496513617369724,0.6521259339705124,0.09879353207107415,0.0009799991951450827,291911.7864664382,0.017128462199229703,3.0019031296654717,2.560055270712383,0.5255702740436027,9.56077317559812,0.9998419068734655,7.914894177000528e-05,1.9400693862136395e-05,7.914894177000528e-05,4.611526946074731e-05,0.01512351808574117,0.3916,0.0,0.0014644085484739305,3.3191050028576554e-07
0.20312499999999978,1,0.5,0.10156249999999989,-9.785381020742184,0.4975604706537558,1.2496049492468781,0.6519842997220919,0.09907950767247664,0.000980671198553789,291771.1051357833,0.017136720915777864,3.00359791141206,2.4993778279124275,0.5094984213477957,9.55881999157427,0.999728160048662,0.0001228927275944383,3.37440268356563e-05,0.0001228927275944383,8.020923897232301e-05,0.01977039673392121,0.3916,0.0,0.0014876595879163978,5.701136300879678e-07
0.20312499999999978,2,0.5,0.10156249999999989,-9.678319753095959,0.4988347994632837,1.2495104444158514,0.6516846802734066,0.09889287890245671,9.808577670433376e-05,291833.65013840015,0.017133048219863556,3.0036016882221532,2.500073980603771,0.5106867384483238,9.555041937951513,0.9997300768622367,0.0001219759941844649,3.350471245525663e-05,0.0001219759941844649,7.964039090862046e-05,0.019770883230949957,0.3916,0.0,0.001487659562439705,5.660290753608557e-07
0.20312499999999978,3,0.5,0.10156249999999989,-9.67708790273181,0.4988392977922639,1.249509358316479,0.6516812330951544,0.0988907414459215,9.808598313920005e-05,291834.3939246462,0.017133004553572383,3.003601720077358,2.500080818240725,0.5107001013424698,9.554999278385576,0.9997300933444968,0.0001219684942937364,3.3502647525120165e-05,0.0001219684942937364,7.963548258882852e-05,0.019770887477171796,0.3916,0.0,0.0014876595622392702,5.659940794184922e-07
0.20312499999999978,4,0.5,0.10156249999999989,-9.678319753095959,0.4988347994632837,1.2495104444158514,0.6516846802734066,0.09889287890245671,9.808577670433376e-05,291833.65013840015,0.017133048219863556,3.0036016882221532,2.500073980603771,0.5106867384483238,9.555041937951513,0.9997300768622367,0.0001219759941844649,3.350471245525663e-05,0.0001219759941844649,7.964039090862046e-05,0.019770883230949957,0.3916,0.0,0.001487659562439705,5.660290753608557e-07
0.20312499999999978,5,0.5,0.10156249999999989,-9.785381020742184,0.4975604706537558,1.2496049492468781,0.6519842997220919,0.09907950767247664,0.000980671198553789,291771.1051357833,0.017136720915777864,3.00359791141206,2.4993778279124275,0.5094984213477957,9.55881999157427,0.999728160048662,0.0001228927275944383,3.37440268356563e-05,0.0001228927275944383,8.020923897232301e-05,0.01977039673392121,0.3916,0.0,0.0014876595879163978,5.701136300879678e-07
0.2531249999999996,1,0.5,0.1265624999999998,-9.733142310560687,0.4973891699129753,1.2495587427753598,0.6518445015055756,0.09934378495957802,0.000981286397230891,291647.09966700425,0.017144007280404577,3.0058597868266013,2.450117221024918,0.49651487997618904,9.556879529549185,0.9995882530930578,0.00017293591258075983,5.1481337443937346e-05,0.00017293591258075983,0.00012237066185865781,0.023775794912975018,0.3916,0.0,0.0015109104609243205,8.649423512812987e-07
0.2531249999999996,2,0.5,0.1265624999999998,-9.599490394745173,0.4987636435479781,1.2494407368529155,0.6514704129159116,0.0991085282631499,9.815212587588145e-05,291724.57953823823,0.017139453960013738,3.005867043916017,2.4511137607217517,0.4980015754007489,9.552147364878643,0.9995918845657098,0.00017131013253609867,5.1024606180562856e-05,0.00017131013253609867,0.00012128501587963596,0.02377663139777949,0.3916,0.0,0.0015109104219217444,8.57148258348153e-07
0.2531249999999996,3,0.5,0.1265624999999998,-9.59759154697781,0.4987706028470118,1.2494390618738624,0.6514650986766404,0.09910520790086187,9.815244934838278e-05,291725.7101288926,0.017139387535609594,3.005867119111221,2.4511258198078596,0.49802214413515616,9.55208114897534,0.9995919231207068,0.0001712936906569159,5.101974240387156e-05,0.0001712936906569159,0.00012127345472752925,0.02377664053674106,0.3916,0.0,0.0015109104215417822,8.570658119833776e-07
0.2531249999999996,4,0.5,0.1265624999999998,-9.599490394745173,0.4987636435479781,1.2494407368529155,0.6514704129159116,0.0991085282631499,9.815212587588145e-05,291724.57953823823,0.017139453960013738,3.005867043916017,2.4511137607217517,0.4980015754007489,9.552147364878643,0.9995918845657098,0.00017131013253609867,5.1024606180562856e-05,0.00017131013253609867,0.00012128501587963596,0.02377663139777949,0.3916,0.0,0.0015109104219217444,8.57148258348153e-07
0.2531249999999996,5,0.5,0.1265624999999998,-9.733142310560687,0.4973891699129753,1.2495587427753598,0.6518445015055756,0.09934378495957802,0.000981286397230891,291647.09966700425,0.017144007280404577,3.0058597868266013,2.450117221024918,0.49651487997618904,9.556879529549185,0.9995882530930578,0.00017293591258075983,5.1481337443937346e-05,0.00017293591258075983,0.00012237066185865781,0.023775794912975018,0.3916,0.0,0.0015109104609243205,8.649423512812987e-07
0.3031249999999994,1,0.5,0.1515624999999997,-9.681134205134622,0.4972566110766653,1.24951274057996,0.651706400566123,0.09956785261448889,0.0009818763226828648,291530.4356313752,0.01715086793312461,3.0086510020543553,2.4098881238551035,0.4859758497028858,9.554948927655984,0.9994252628677743,0.0002283711188090136,7.210351682241913e-05,0.0002283711188090136,0.00017138939106826507,0.027399936923176785,0.3916,0.0,0.0015341611798493074,1.2127344787651282e-06
0.3031249999999994,2,0.5,0.1515624999999997,-9.520802627414485,0.4987326901728009,1.2493711548779718,0.6512575621420871,0.09928268659672913,9.82159663546808e-05,291622.88542690256,0.017145430793884957,3.0086633364789495,2.411235932505099,0.4877703491417373,9.549260397342982,0.9994313460511166,0.0002257741157827241,7.133644381266511e-05,0.0002257741157827241,0.00016956606563504897,0.02740122371562835,0.3916,0.0,0.0015341611256901029,1.1995463356452112e-06
0.3031249999999994,3,0.5,0.1515624999999997,-9.518096868160189,0.49874264595824414,1.2493687673512435,0.6512499887139457,0.09927791624667322,9.82164323804458e-05,291624.48089200683,0.01714533699196392,3.008663487564291,2.4112552513780487,0.48779973189797665,9.549165622327449,0.9994314227119256,0.00022574290536069168,7.132675623341748e-05,0.00022574290536069168,0.00016954303834898376,0.027401240544926705,0.3916,0.0,0.0015341611250635526,1.1993806569458965e-06
0.3031249999999994,4,0.5,0.1515624999999997,-9.520802627414485,0.4987326901728009,1.2493711548779718,0.6512575621420871,0.09928268659672913,9.82159663546808e-05,291622.88542690256,0.017145430793884957,3.0086633364789495,2.411235932505099,0.4877703491417373,9.549260397342982,0.9994313460511166,0.0002257741157827241,7.133644381266511e-05,0.0002257741157827241,0.00016956606563504897,0.02740122371562835,0.3916,0.0,0.0015341611256901029,1.1995463356452112e-06
0.3031249999999994,5,0.5,0.1515624999999997,-9.681134205134622,0.4972566110766653,1.24951274057996,0.651706400566123,0.09956785261448889,0.0009818763226828648,291530.4356313752,0.01715086793312461,3.0086510020543553,2.4098881238551035,0.4859758497028858,9.554948927655984,0.9994252628677743,0.0002283711188090136,7.210351682241913e-05,0.0002283711188090136,0.00017138939106826507,0.027399936923176785,0.3916,0.0,0.0015341611798493074,1.2127344787651282e-06
