tag,strategy,T0_C,dt_s,grid_scale,parameters,objective,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
main,constant,-10.0,0.1,1,[0.5],16.438042187690698,success,16.438042187690698,8.219021093845349,0.5,0.4978702112407357,0.01758256066839683,0.01728499257838555,1.0807950352014276e-07,10.001900421389264,2.9094735509715974e-09,1.1844637683861015e-15,0.37257194635017804,0.018323930488120803,0.4855884780383668,6.962537213439646e-10,383128.37504817237,79.02022762122988,7761.132883759949,375446.26239203656,0.5672793399977593,10.001900529468767,0.0,0.007271796377726802,0.01758256066839683
main,constant,-10.0,0.1,1,[0.0],2007.1020735236787,time_limit,600.0,0.0,0.0,1.2499027064965211,0.0,0.0,-10.071020735236786,0.015221150324501664,1.4500801626127213e-07,1.3869114190434573e-15,0.3916,0.0,0.2836326084405353,0.0,0.0,-7671.071127028423,-1919.1406023802356,-5751.930524503179,1.2499565759745646,-10.071020735236786,0.0,0.0,0.0
main,constant,-10.0,0.1,1,[0.02],1618.450423283939,time_limit,600.0,12.0,0.02,0.6996422480066571,0.6385399439137952,0.2891322259370884,-6.184504232839391,0.702087451839235,5.718902684748173e-09,7.471454011032108e-15,0.29162473837313563,0.0007316943069993552,0.37290361427369273,1.3447021274259896e-12,454129.7835808499,4018.2542698518837,105073.54754056106,353074.4903101464,0.6996422480066571,-5.48640336924592,0.0,0.12163792745173312,0.6385399439137952
main,constant,-10.0,0.1,1,[0.04],1303.3510646160207,charge_exhausted,499.99999999999994,19.999999999999996,0.04,0.6535658879625514,0.9334569852234288,0.2904993089775026,-3.0335106461602077,1.4133061755782137,-1.1175870895385742e-08,1.031206370294413e-14,0.28571097927151645,0.0015198261102414331,0.12480644098037544,1.091748913495394e-11,790292.8183722342,9467.034721642196,159910.81175690255,639849.0413369627,0.6535658879625514,-1.8144839542135813,0.0,0.12221305928683535,0.9334569852234288
main,constant,-10.0,0.1,1,[0.06],1227.1947936620006,charge_exhausted,333.3333333333333,19.999999999999996,0.06,0.6586037532740191,0.7303617615765902,0.2335467090269664,-2.271947936620007,2.0830745198238576,4.773028194904327e-09,-2.229119666630197e-16,0.3047104884867299,0.002300390678527766,0.6214972611570307,3.7969627442180354e-11,801502.2295721789,8926.51610418704,120187.87721389734,690240.8684624734,0.6586037532740191,-0.6989728082284387,0.0,0.09825310048764477,0.7303617615765902
main,constant,-10.0,0.1,1,[0.08],1174.7489428770518,charge_exhausted,249.99999999999008,19.999999999999208,0.08,0.655474957456829,0.572956908761863,0.19442876401658818,-1.7474894287705176,2.717089457007303,7.712515071034431e-10,1.5846698953048133e-15,0.3157959311216933,0.003099971965429523,0.6146137722002564,9.338485540411057e-11,809966.1557783922,6843.772692940397,98166.44475490697,718643.4837164264,0.655474957456829,0.23095110912921357,0.0,0.08179618102177864,0.572956908761863
main,constant,-10.0,0.1,1,[0.1],1131.4107173085124,charge_exhausted,199.99999999999292,19.999999999999293,0.1,0.650486954943269,0.4554155886479443,0.16580323625545937,-1.3141071730851235,3.324153557247579,-2.5320332497358322e-09,2.5825695748604716e-15,0.3210013390551171,0.003911551489077784,0.6077977643067222,1.900115620401266e-10,816756.5138266903,3985.823159930115,84166.90851082988,736575.428475788,0.6517548817340694,1.175155197476851,0.0,0.06975342149267176,0.4554155886479443
main,constant,-10.0,0.1,1,[0.12],1090.9448590891986,charge_exhausted,166.6666666666666,19.999999999999993,0.12,0.6382519959527317,0.3646546210630193,0.14301386414858164,-0.9094485908919864,3.912396269906144,-6.664777174592018e-09,3.3731697990369014e-15,0.323254778341731,0.00474092794192592,0.6010672830190933,3.4284397543160594e-10,822538.5226785373,1626.9606088415346,74508.55116541195,749656.9321219602,0.6482204104677005,2.1818124092144773,0.0,0.0601659326473083,0.3646546210630193
main,constant,-10.0,0.1,1,[0.14],1050.5850942029201,charge_exhausted,142.85714285714283,20.0,0.14,0.6272945788881855,0.29155667748208586,0.12334020388463705,-0.5058509420292007,4.49240128658385,8.149072527885437e-10,1.0786510573623787e-14,0.3240330079171432,0.005556703058230792,0.5944171340127659,5.692371018994891e-10,827849.9511246033,233.66485941941738,67478.34541737901,760605.2705666445,0.6451377003449454,3.2286355657673114,0.0,0.051889223774266816,0.29155667748208586
main,constant,-10.0,0.1,1,[0.16],1009.5721480932433,charge_exhausted,124.99999999999717,19.99999999999955,0.16,0.6172722341528271,0.23101607570759483,0.10546831907584371,-0.09572148093243307,5.082155299378716,4.94765117764473e-09,1.3516531643942287e-14,0.3240930546176905,0.006382946856056867,0.587842019261319,8.89251339231123e-10,832941.6354919178,-501.26209716681825,62151.44530240037,770288.9280923556,0.6425273446912028,4.285365295735971,0.0,0.044370521835207455,0.23101607570759483
main,constant,-10.0,0.1,1,[0.18],105.78956732749766,success,105.78956732749766,19.042122118949578,0.18,0.607964061822271,0.18139839304335278,0.08937231617138273,1.001297534939101e-07,5.678081406301146,1.928128767758608e-09,1.3114943159253656e-14,0.3281193182627366,0.007144503684430424,0.5813373497494067,9.972831449545083e-10,798283.3955216226,-569.9024720161607,53635.61677371846,744077.8762758899,0.6391979298057833,5.093006152095512,0.0,0.03759893341330072,0.18139839304335278
main,constant,-10.0,0.1,1,[0.2],89.04600524902266,success,89.04600524902266,17.809201049804532,0.2,0.5992192329677005,0.14301131091016972,0.07588975403068499,1.009002567311306e-07,6.264672498966313,-1.7316779121756554e-09,9.151750537950143e-15,0.3333998843007939,0.00786856262314678,0.5748995301880828,9.965757108432172e-10,751663.7505033385,-474.70398754280666,45468.19191048653,705720.8546053075,0.6354912851505721,5.841406113152186,0.0,0.03192681952070918,0.14301131091016972
main,constant,-10.0,0.1,1,[0.22],75.47837142944336,success,75.47837142944336,16.60524171447754,0.22,0.5909301674429546,0.11364788197875697,0.06480439037934431,1.0029340252561442e-07,6.8410409257356735,8.149072527885437e-10,4.703052183807621e-15,0.33853963803840753,0.008576738149930537,0.56852590756952,9.971732328750704e-10,705628.8104969263,-374.2743984256749,38653.26003837438,666601.2760601271,0.6316289549895666,6.588044370169199,0.0,0.027263207032590154,0.11364788197875697
main,constant,-10.0,0.1,1,[0.24],64.40273625850739,success,64.40273625850739,15.456656702041773,0.24,0.5830174320376169,0.09136240540145218,0.05580926833986907,1.0045725891545798e-07,7.408555560050287,-1.2660166248679161e-09,2.2403953692240464e-15,0.3434251958193207,0.009272706853083831,0.5622146133831663,9.986016458185532e-10,661340.7416608984,-278.2308504674202,32948.75296337884,628113.7578470509,0.6275793783725186,7.302171447422139,0.0,0.02347895919058292,0.09136240540145218
main,constant,-10.0,0.1,1,[0.26],55.355100750923675,success,55.355100750923675,14.392326195240155,0.26,0.5754207042874663,0.07451267971396033,0.04856369724935346,1.0223407700520794e-07,7.9684326299765456,-5.093170329928398e-11,1.7824283715661693e-16,0.34800877084716486,0.009961026867519682,0.555964376874832,9.948544210658383e-10,620076.2196149096,-192.8305112075232,28202.949692143826,591680.4394115582,0.6233457703936351,7.952171460964096,0.0,0.020430747432803,0.07451267971396033
main,constant,-10.0,0.1,1,[0.28],47.975997185707506,success,47.975997185707506,13.433279211998103,0.28,0.5680930945794945,0.06174731997238722,0.04272922277526893,1.014313751437643e-07,8.514681367513246,1.3096723705530167e-09,1.012211148232467e-15,0.3520350461196382,0.010646949890051594,0.5497743554951592,9.956275803801873e-10,582791.8049942113,-121.75591617200747,24290.55802866824,558379.4910493724,0.6189522314031775,8.514681468944621,0.0,0.01797618402155564,0.06174731997238722
main,constant,-10.0,0.1,1,[0.3],41.95809004306826,success,41.95809004306826,12.587427012920477,0.3,0.5609974318986233,0.052000941305557824,0.038002834375186534,1.025868511267491e-07,8.979324146161336,-1.1714291758835316e-09,1.408920723144913e-15,0.35560250655902553,0.011332698582026637,0.5436440128088214,9.970770875611379e-10,549896.2479933957,-65.79082707566695,21086.66358409256,528743.7935822263,0.6144356122477719,8.979324248748187,0.0,0.015987792421640976,0.052000941305557824
main,constant,-10.0,0.1,1,[0.32],37.03371176719691,success,37.03371176719691,11.850787765503012,0.32,0.5541037507478781,0.04447037341511458,0.034134901884357596,1.0082769400855073e-07,9.347486134490197,-7.312337402254343e-10,1.9155683983473892e-15,0.3586233458616463,0.012020279146792632,0.537573023447612,3.998046338438144e-11,521293.3270862076,-23.435174155189344,18467.096589980356,502802.7953220713,0.6098316055481083,9.347486235317891,0.0,0.014360553222749243,0.04447037341511458
main,constant,-10.0,0.1,1,[0.34],32.9770514011385,success,32.9770514011385,11.212197476387091,0.34,0.5473875412820853,0.03856890952757789,0.030930521943926703,1.0336832785211074e-07,9.627936960793605,-8.803908713161945e-10,1.774676326032898e-15,0.36124088868165827,0.012711549668347555,0.531561208055799,6.882103775751602e-10,496574.0597551193,7.78367940682403,16317.80702330465,480264.0364112206,0.6051700196376443,9.627937064161932,0.0,0.013012470581809966,0.03856890952757789
main,constant,-10.0,0.1,1,[0.36],29.60520875453964,success,29.60520875453964,10.65787515163427,0.36,0.5408285003686499,0.033875383971827856,0.02824207020723916,1.0243013030093329e-07,9.832515926591403,9.222276275977492e-10,1.5726352511902242e-15,0.3634401343305294,0.01340516778469213,0.5256084566690907,6.044942324479052e-12,475207.0760595616,30.410989611795248,14541.774177633835,460695.71287154045,0.6004707114186082,9.832516029021534,0.0,0.011881438936185516,0.033875383971827856
main,constant,-10.0,0.1,1,[0.38],26.77447910308849,success,26.77447910308849,10.174302059173625,0.38,0.5344096207764774,0.030088318741318624,0.025958836672612482,1.0118929084171502e-07,9.973387134629798,-9.331415640190244e-10,1.4726176007784364e-15,0.36541557455035906,0.014101495348061844,0.519714713013492,7.968736781549524e-12,456660.932222839,46.586891846291294,13060.673833985895,443646.84528069844,0.5957520974612063,9.97338723581909,0.0,0.010920882588168073,0.030088318741318624
