case,strategy,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,guarded,90.7860150754,92.7860150754,152.786015075,2867.69131482,2110.26032541,15.6953399166,284.768823536,4708.87815661,3.51349171979e-10,8.94033111432e-18,0.554857401697,0.315097695918,6.40543410858,0.662073279866,6.5549807522,-13.9321907656,0.285758625957,0.0123083380553,0.433085516812,0,5.81898973451e-10,0.971260965,18.2358045226,-4.29860465505,0.556808864108,0.523700984036,0,2771.18817035,1.97682582109e-16,True
case2,guarded,84.7245963216,86.7245963216,146.724596322,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,7.10145917765e-16,True
case3,guarded,92.7587930799,94.7587930799,154.75879308,1779.69367208,2136.25944628,9.58457362121,363.934545134,3561.60314685,1.38015820994e-10,2.43126916169e-17,0.570391508528,0.26351522281,7.39876803626,0.475998332448,7.40865665938,-10.097533223,0.297333762294,0.0122911273367,0.50884405134,0,9.48364942133e-10,0.561927930407,18.827637924,-1.94225759793,0.585593124572,0.320569524429,0,1723.97124599,5.13447791228e-16,True
