case,strategy,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,dynamic,94.6396886587,96.6396886587,156.639688659,2828.46932138,2245.47459189,17.1738408623,296.206825314,4794.91092883,3.96482846554e-10,4.47396026476e-18,0.551350156543,0.341931752391,6.60958157854,0.0426327945813,6.54424780091,-13.4187711453,0.278059981053,0.0125141198163,0.4329979348,0,5.75337111286e-10,0.92259148371,19.3919065976,-4.11508309714,0.554993317918,0.537572251833,0,2752.90010564,1.90861866242e-16,True
case1,constant_hold,25.7412287951,27.7412287951,87.7412287951,3207.24083043,188.684421643,-1.07217246225,102.118335305,3292.73474431,2.86760837298e-10,3.34950708662e-19,0.661862018996,0.0121298600029,26.6760394992,1.57173329901,28.2477727982,-23.5449194036,0.3916,0.00467203584205,0.433085516812,0,3.28093108237e-11,1,1.6565271497,-8.2811454126,0.575303273915,0.276830434451,0,2976.01525249,5.80595684377e-17,True
case1,constant_first,25.7412287951,25.7412287951,85.7412287951,2976.01525249,162.506988392,-0.892996623755,89.7986937278,3047.83055053,2.67547761723e-10,2.78368907786e-19,0.662058326818,0.0121298600029,25.1812762622,1.0284218288e-07,25.181276365,-24.2744751926,0.3916,0.00433719369772,0.433085516812,0,2.78710388102e-11,1,1.6565271497,-9.57145499732,0.568611070311,0.293492970975,0,2976.01525249,4.00769912048e-17,True
case2,dynamic,84.7245963216,86.7245963216,146.724596322,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,7.10145917765e-16,True
case2,constant_hold,5.60608956814,7.60608956814,67.6060895681,879.361228123,12.972295307,-0.315094089349,41.419264559,850.599164781,3.24220650327e-11,8.16370354564e-20,0.737725131698,9.52752847762e-05,8.32514719879,2.55265493767,10.8778021365,-8.57229600198,0.3916,0.00125438768013,0.654533343384,0,1.902478175e-11,1,0.078570600615,-2.97647631707,0.616862296894,0.0345624656174,0,648.135650184,1.87856999921e-17,True
case2,constant_first,5.60608956814,5.60608956814,65.6060895681,648.135650184,6.96222528985,-0.227268912663,28.8937428891,625.976863672,2.09112727134e-11,7.23874356724e-20,0.7473794167,9.52752847762e-05,6.29774785598,1.03082217677e-07,6.29774795907,-8.86126928451,0.3916,0.000927947028208,0.654533343384,0,2.08864037177e-11,1,0.078570600615,-4.54137266766,0.611225485762,0.0581342302546,0,648.135650184,1.22333241627e-17,True
case3,dynamic,94.6535601258,96.6535601258,156.653560126,1758.79120459,2200.7155984,10.0341510396,371.11602297,3598.42493105,1.61321622727e-10,3.64465402303e-17,0.569163706111,0.274468471395,7.46563039432,0.466323319028,7.38806306743,-9.90839264747,0.293988815322,0.0123787432593,0.508630558467,0,9.41803079968e-10,0.548921065742,19.3960680377,-1.85635583498,0.584813652627,0.327294908162,0,1704.39484609,5.30500122997e-16,True
case3,constant_hold,17.0368783891,19.0368783891,79.0368783891,2200.90660384,86.6321214144,-0.784305002582,82.1632276714,2204.59119258,1.41284317579e-10,3.0303450721e-19,0.685120911685,0.00281760782854,19.4982275183,1.80080096349,21.2990284818,-18.7273105784,0.3916,0.00317087846366,0.510362262906,0,1.58486557211e-11,1,0.725638063114,-6.80134090261,0.591193484059,0.182525853147,0,1969.6810259,1.32985527972e-17,True
case3,constant_first,17.0368783891,17.0368783891,77.0368783891,1969.6810259,69.3061885875,-0.659696142562,69.7961234719,1968.53139487,1.26604504658e-10,2.47536908506e-19,0.686835744721,0.00281760782854,17.4686355894,1.02573699305e-07,17.468635692,-19.3063402658,0.3916,0.00284224602174,0.510362262906,0,1.34967592658e-11,1,0.725638063114,-8.16285282438,0.584926550983,0.20147600307,0,1969.6810259,1.3238108526e-17,True
