cooling_min,cv,x_mm,dx_mm,layer,material,node,capacity_J_m2K,k_W_mK,temperature_C
70.0,56,14.522149999999996,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-28.153147836267646
70.0,57,14.559649999999996,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-28.152571565532263
70.0,58,14.597149999999994,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-28.151996002781345
70.0,59,14.634649999999993,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-28.151421148235467
70.0,60,14.820066666666659,0.3333333333333333,BP2,BP,T2_C,505.56,95.0,-28.15112601698403
70.0,61,15.153399999999992,0.3333333333333333,BP2,BP,T2_C,505.56,95.0,-28.151112559989983
70.0,62,15.486733333333326,0.3333333333333333,BP2,BP,T2_C,505.56,95.0,-28.151101762403574
70.0,63,15.820066666666664,0.3333333333333333,BP2,BP,T3_C,505.56,95.0,-28.151093624240335
70.0,64,16.153399999999998,0.3333333333333333,BP2,BP,T3_C,505.56,95.0,-28.151088145511974
70.0,65,16.486733333333333,0.3333333333333333,BP2,BP,T3_C,505.56,95.0,-28.15108532622637
70.0,66,16.672149999999995,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-28.151082399178467
70.0,67,16.709649999999996,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-28.15107741347661
70.0,68,16.747149999999994,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-28.151073136331824
70.0,69,16.784649999999996,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-28.151069567745743
