cooling_min,cv,x_mm,dx_mm,layer,material,node,capacity_J_m2K,k_W_mK,temperature_C
65.0,4,2.2500000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.686143464587868
65.0,5,2.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.683691238917874
65.0,6,3.2500000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.68136266175855
65.0,7,3.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.679157857413315
65.0,8,4.25,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.677076943578392
65.0,9,4.750000000000001,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.675120031336498
65.0,10,5.250000000000001,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.67328722515095
65.0,11,5.750000000000002,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.67157862286007
65.0,12,6.250000000000002,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.669994315671957
65.0,13,6.750000000000003,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.668534388159628
65.0,14,7.250000000000003,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.667198918256506
65.0,15,7.7500000000000036,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.66598797725225
65.0,16,8.250000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.664901629788957
65.0,17,8.750000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.663939933857705
65.0,18,9.250000000000005,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.663102940795465
65.0,19,9.750000000000005,0.5,EP_L,EP,TEL_C,1975.0,15.0,-27.662390695282348
65.0,20,10.166666666666671,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-27.66206604636642
65.0,21,10.500000000000004,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-27.662007571321336
65.0,22,10.833333333333337,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-27.66195245920403
65.0,23,11.16666666666667,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-27.661900710093775
65.0,24,11.500000000000004,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-27.661852324065
65.0,25,11.833333333333336,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-27.661807301187302
