model,condition,t_s,n_scenarios,objective_tolerance_fraction,V_model_V_min,V_model_V_max,T_model_C_min,T_model_C_max,ice_max_bulk_min,ice_max_bulk_max,ice_pore_max_bulk_min,ice_pore_max_bulk_max,ice_mem_max_bulk_min,ice_mem_max_bulk_max,water_ice_kg_m2_min,water_ice_kg_m2_max
main,minus20,11.8,8,0.05,0.9528726638532501,0.9557401571271151,-11.258553647124018,-11.082804326705798,3.540416030243605e-07,0.00818889628434649,3.426744841500255e-07,0.00818889628434649,3.540416030243605e-07,0.008026715833620914,5.848430562527648e-09,0.0001254367266556859
main,minus20,12.0,8,0.05,0.9523925949881383,0.9553147780786029,-10.916766756284687,-10.732059622054749,3.74219272726087e-07,0.00849999327279208,3.5438112326964195e-07,0.00849999327279208,3.74219272726087e-07,0.008486848317022785,6.209453692058586e-09,0.000133221534478284
main,minus20,12.2,8,0.05,0.9501748361631696,0.9531635702524972,-10.550672314834117,-10.356692771572966,3.946104761483214e-07,0.00895039921661591,3.660461138991864e-07,0.008808931188643078,3.946104761483214e-07,0.00895039921661591,6.5810481973457445e-09,0.00014121213947274085
main,minus20,12.4,8,0.05,0.9495315768573714,0.952578318253167,-10.164431712439864,-9.961013526546765,4.151568558942529e-07,0.009416199323753559,3.7763159060327833e-07,0.009114793107927103,4.151568558942529e-07,0.009416199323753559,6.961541422200301e-09,0.00014937616241471314
main,minus20,12.6,8,0.05,0.9489055785118687,0.9520110245424727,-9.788688605766083,-9.57602780297077,4.3577229890370105e-07,0.009882119775720854,3.8910500418791913e-07,0.00941683527003713,4.3577229890370105e-07,0.009882119775720854,7.34979045187265e-09,0.00015768898811367577
main,minus20,12.8,8,0.05,0.9487006125686893,0.9518619787647024,-9.430969951376255,-9.20925765250098,4.5640498698175874e-07,0.010346882030330752,4.004478869227168e-07,0.009714725879053384,4.5640498698175874e-07,0.010346882030330752,7.745126051533752e-09,0.00016613659545482078
main,minus20,13.0,8,0.05,0.948446039815,0.9516641159734591,-9.094830036974372,-8.864334668766276,4.770248254463668e-07,0.0108097300782831,4.11651044816555e-07,0.01000839453551366,4.770248254463668e-07,0.0108097300782831,8.147616288136752e-09,0.0001747208832699328
main,minus20,13.2,8,0.05,0.9477797121893983,0.9510585018899329,-8.764255994964458,-8.525054767453867,4.976203759636737e-07,0.011270454273378451,4.227072900301542e-07,0.01029784005063255,4.976203759636737e-07,0.011270454273378451,8.55711005477485e-09,0.00018343616113971592
main,minus20,13.4,8,0.05,0.9475510974211429,0.9508871420852603,-8.439952418298219,-8.19219267684889,5.1815933370001e-07,0.011728414012598906,4.335959487958857e-07,0.010582691134915424,5.1815933370001e-07,0.011728414012598906,8.972624380294705e-09,0.00019226226805993328
main,minus20,13.6,8,0.05,0.946569120321298,0.9499687208195473,-8.108145937373138,-7.85183707225633,5.386129964318197e-07,0.012183043694137367,4.443003308904691e-07,0.010862634470362066,5.386129964318197e-07,0.012183043694137367,9.39327565320471e-09,0.0002011815362838257
main,minus20,13.8,8,0.05,0.946451195028938,0.9499065321834586,-7.7749505230207205,-7.510373511358807,5.589186432272657e-07,0.012633040622899862,4.547857743938736e-07,0.011136827815604704,5.589186432272657e-07,0.012633040622899862,9.817262533550001e-09,0.0002101579832358144
main,minus20,14.0,8,0.05,0.9472838250821435,0.9508679253277986,-7.488260758296462,-7.216428615396694,5.790260975258569e-07,0.01307719368477655,4.6503971651537414e-07,0.011404930053697086,5.790260975258569e-07,0.01307719368477655,1.0243908739917268e-08,0.00021917800550918235
main,minus20,14.2,8,0.05,0.9478868552252895,0.9516013179860238,-7.260283280779731,-6.981978771188437,5.989873534980557e-07,0.013516578417608265,4.75103055785386e-07,0.011667966079994324,5.989873534980557e-07,0.013516578417608265,1.0674890728633518e-08,0.00022827637895768969
main,minus20,14.4,8,0.05,0.9490396696276068,0.9528661481283043,-7.09560267998819,-6.8114302736223635,6.188968006315924e-07,0.013953281066974698,4.850288983136021e-07,0.01192726400218524,6.188968006315924e-07,0.013953281066974698,1.1112650463596595e-08,0.0002374978193430327
main,minus20,14.6,8,0.05,0.9499415029904612,0.9538807678310588,-6.993728293477602,-6.704007318938238,6.388890529005755e-07,0.014390259318532658,4.948869704311738e-07,0.012184583297790381,6.388890529005755e-07,0.014390259318532658,1.156034662313738e-08,0.0002469060455466897
main,minus20,14.8,8,0.05,0.9502984303532193,0.9543595588566862,-6.927820603732528,-6.632216775316294,6.591075920914412e-07,0.014830706231386102,5.047411998541887e-07,0.012441524657394757,6.591075920914412e-07,0.014830706231386102,1.2020850902576351e-08,0.0002565594235337739
main,minus20,15.0,8,0.05,0.9502228325144749,0.9544138719618891,-6.870315881465501,-6.567998828003681,6.796450869535159e-07,0.015276673193824695,5.146239116492045e-07,0.01269884174238194,6.796450869535159e-07,0.015276673193824695,1.2495537038167463e-08,0.0002664939032854987
main,minus20,15.2,8,0.05,0.9505123922975546,0.954821504423957,-6.821074201865031,-6.511419720536253,7.005327367740441e-07,0.015728764826980407,5.245396428279221e-07,0.012956546459908243,7.005327367740441e-07,0.015728764826980407,1.2984531169035817e-08,0.00027671124944445865
main,minus20,15.4,8,0.05,0.9511015350433314,0.9555184150482408,-6.796040706551935,-6.478823584671318,7.218041262780916e-07,0.016187550653394143,5.345012393546275e-07,0.013214886229251707,7.218041262780916e-07,0.016187550653394143,1.3488609000287336e-08,0.000287222485563039
main,minus20,15.6,8,0.05,0.9512296272341865,0.9557649405066526,-6.786959547149422,-6.461672271246982,7.435277260523913e-07,0.016654379784885653,5.445371659946009e-07,0.01347454699531436,7.435277260523913e-07,0.016654379784885653,1.400939752424239e-08,0.00029805684241185907
main,minus20,15.8,8,0.05,0.9509858336481695,0.9556495779623736,-6.771622466047006,-6.437541453957635,7.657463881531542e-07,0.01713006617740352,5.546576050964584e-07,0.01373574610265219,7.657463881531542e-07,0.01713006617740352,1.4547443905412455e-08,0.0003092197832891746
main,minus20,16.0,8,0.05,0.951145469951262,0.9559263984854284,-6.753586213069525,-6.41038693869001,7.884492366649625e-07,0.017614213315659842,5.648492236974101e-07,0.013998099575314456,7.884492366649625e-07,0.017614213315659842,1.510207886298405e-08,0.0003206909221351173
main,minus20,16.2,8,0.05,0.9509266456184482,0.9558367763029025,-6.731714734374407,-6.379145579871988,8.11636727561809e-07,0.018106671559028398,5.751077813095504e-07,0.0142614926819059,8.11636727561809e-07,0.018106671559028398,1.5673217761184177e-08,0.00033246341077895324
main,minus20,16.4,8,0.05,0.9514532058650326,0.9564704755841067,-6.71863656516274,-6.356840482280177,8.35295214369851e-07,0.018606982858612862,5.854235642556989e-07,0.014525675679054998,8.35295214369851e-07,0.018606982858612862,1.6260434672676086e-08,0.00034452366535468265
main,minus20,16.6,8,0.05,0.9518885972036838,0.957015738794939,-6.727911756967956,-6.357224650306819,8.594617718962272e-07,0.019115782725050573,5.958137252209455e-07,0.014791121992948393,8.594617718962272e-07,0.019115782725050573,1.6865052924899127e-08,0.000356896489604519
main,minus20,16.8,8,0.05,0.9515505780790613,0.9568125133046924,-6.734110323527943,-6.354143333555271,8.841993814564353e-07,0.019634337989533596,6.062996521255386e-07,0.015058414420821679,8.841993814564353e-07,0.019634337989533596,1.7488408890450687e-08,0.00036960727726742515
main,minus20,17.0,8,0.05,0.9516326607427217,0.9570169178153767,-6.732050547697781,-6.342500947582607,9.094963708303853e-07,0.02016226480405073,6.168672672792219e-07,0.015327175427669593,9.094963708303853e-07,0.02016226480405073,1.8129588132216945e-08,0.00038263233009788066
main,minus20,17.2,8,0.05,0.9517046450807354,0.9572127715407878,-6.7318198800960545,-6.332777358860994,9.353405241340752e-07,0.02069913007991424,6.275084034563186e-07,0.015597182549732724,9.353405241340752e-07,0.02069913007991424,1.8788575110460207e-08,0.0003959603566272824
main,minus20,17.4,8,0.05,0.9517680147976078,0.9574016459518662,-6.732860337897762,-6.324442810138805,9.617378054989927e-07,0.02124492381221753,6.382229062227062e-07,0.015868424145218673,9.617378054989927e-07,0.02124492381221753,1.9465584243907733e-08,0.00040958976808076134
main,minus20,17.6,8,0.05,0.9518246185663541,0.9575847960728268,-6.734837299752144,-6.317009636004002,9.886940387469182e-07,0.021799633783910803,6.49010560000976e-07,0.016140877504158675,9.886940387469182e-07,0.021799633783910803,2.0160742422320915e-08,0.00042351827332000715
main,minus20,17.8,8,0.05,0.9518755123336461,0.9577631653589795,-6.737503429846413,-6.31022136518294,1.0162144886095805e-06,0.022363224580605794,6.598710520010916e-07,0.016414504932668078,1.0162144886095805e-06,0.022363224580605794,2.0874153264107425e-08,0.0004377428815793146
main,minus20,18.0,8,0.05,0.9522697159054332,0.958272848224572,-6.750245763508644,-6.313726895553771,1.044306291004524e-06,0.022935683653981378,6.708061076877527e-07,0.01668931571595874,1.044306291004524e-06,0.022935683653981378,2.160611589745456e-08,0.00045226469440283164
main,minus20,18.2,8,0.05,0.9522518284291266,0.95838581220511,-6.768694017401572,-6.322887136817599,1.073012208808707e-06,0.023517772122752544,6.818313398517394e-07,0.016965686325903808,1.073012208808707e-06,0.023517772122752544,2.235790866462397e-08,0.0004671053497523604
main,minus20,18.4,8,0.05,0.952244518364483,0.9585093615242072,-6.783677182649797,-6.328242101418709,1.102349507340256e-06,0.02410970120984943,6.929486369422967e-07,0.01724361951422662,1.102349507340256e-06,0.02410970120984943,2.3129702661637536e-08,0.0004822623671539337
main,minus20,18.6,8,0.05,0.9518975839353342,0.9583071729319637,-6.786714771717925,-6.321128252431038,1.1323109605896759e-06,0.02471114347462371,7.041505738315508e-07,0.017522872092173045,1.1323109605896759e-06,0.02471114347462371,2.39210012753607e-08,0.0004977191933067155
main,minus20,18.8,8,0.05,0.9523070901377622,0.9588331871084641,-6.791905826332595,-6.316460155285085,1.1628538218846291e-06,0.02532099853767165,7.154186266866732e-07,0.017802915645585973,1.1628538218846291e-06,0.02532099853767165,2.4730547752218636e-08,0.00051344411714095
main,minus20,19.0,8,0.05,0.9519540069654329,0.9586283995976628,-6.795196786784459,-6.309928748708842,1.1939980617963778e-06,0.025939548174998397,7.267606539952278e-07,0.018083947649969498,1.1939980617963778e-06,0.025939548174998397,2.5559131437868814e-08,0.0005294496457614001
main,minus20,19.2,8,0.05,0.9520100258318196,0.9588175848071507,-6.791055190599309,-6.295920561287346,1.2257208099957122e-06,0.02656618382365884,7.381642950508427e-07,0.0183656301808004,1.2257208099957122e-06,0.02656618382365884,2.640574406930527e-08,0.0005457107087017369
main,minus20,19.4,8,0.05,0.9520545932793415,0.958997032636249,-6.789089735218511,-6.2843786021090295,1.258004746836167e-06,0.027200399444609606,7.496232306645463e-07,0.018647796811145728,1.258004746836167e-06,0.027200399444609606,2.7270060660284144e-08,0.0005622173724904624
