t_s,j_A_m2,T_model_C,T_MEA_C,T_min_C,T_max_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,s_ice_pore_max,s_liquid_pore_max,gas_porosity_min,ice_max_x_um,ice_max_layer,water_produced_kg_m2,water_stored_kg_m2,water_initial_kg_m2,water_vapor_kg_m2,water_liquid_pore_kg_m2,water_unfrozen_mem_kg_m2,water_ice_kg_m2,water_out_kg_m2,water_balance_kg_m2,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_integral_J_m2,energy_balance_J_m2,H2_balance_mol_m2,O2_balance_mol_m2,model_valid,thermal_iterations_max,ever_invalid,min_gas_porosity_all_steps,min_kappa_all_steps,max_j_over_jlim_all_steps,V_model_V,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,j_lim_A_m2,j_over_jlim,lambda_mean,lambda_min,kappa_min_S_m,cO2_cCL_mol_m3,active_area_factor,I_exp_A,I_consistent_25cm2_A,V_exp_V,T_exp_C,V_rel_error_pct,T_rel_error_pct,T_rel_error_K_pct
0.0,66.006600660066,-25.000000000000085,-25.0,-25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916,4.6875,aGDL,0.0,0.0013931999999999998,0.0013931999999999998,0.0,0.0,0.0013931999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.3916,0.48106890949899367,0.0,0.74358706206587,1.2631570173555453,0.5178562277461082,0.0017125050383697451,1.2225051974459396e-06,288662.7990634451,0.00022866334309173806,2.999999999999999,3.0,0.48106890949899367,10.313188806976289,1.0,2.0,0.165016501650165,0.799,-24.9954164846888,6.935286349703384,0.018337423239549153,0.0018470403594228278
0.2,69.3069306930693,-24.997837867347727,-24.988750254479868,-24.9989049972275,-24.983898529649878,3.544174270916783e-10,1.1708058792331873e-10,3.544174270916783e-10,2.782994721257873e-10,0.00026807796960949743,0.3916,164.89999999999992,PEM,1.2621876790985312e-06,0.0013942100534515822,0.0013931999999999998,5.896327420331869e-10,1.230033039465733e-06,0.0013929794288771572,1.9022170719174083e-12,2.5213422751616065e-07,5.579829540037703e-20,9.979159862665202,-0.631809016065861,0.010268621583905568,9.337082225015875,4.3903769508801815e-13,1.4280891465039136e-13,-1.300981620610403e-15,1,3,0,0.3916,0.4792156288117184,0.00023978802818858466,0.7414540741875335,1.2631429752180643,0.5198896615312323,0.0017979555216832116,1.2839776153623206e-06,288604.0470924247,0.00024014538739601922,2.999525040648487,2.990172411534422,0.4792156288117184,10.310693250378128,0.9999999990438374,2.1,0.17326732673267325,0.799,-24.9954164846888,7.202243530972032,0.009687306712452728,0.0009757557666781418
0.4,66.006600660066,-24.996336282839366,-24.98754858639552,-24.99766474852433,-24.982906264610648,1.106430161178679e-09,4.580060678704759e-10,1.106430161178679e-09,1.088676177491029e-09,0.0005361554189498987,0.3916,164.89999999999992,PEM,2.5243753581970623e-06,0.0013952209958626107,0.0013931999999999998,5.904565820542945e-10,2.414767399493879e-06,0.0013928056308213158,7.185218862841472e-12,5.033794955862227e-07,-1.5881867761018131e-21,19.958198930186168,-1.2599224834316594,0.04476905293247436,18.653507389262792,-4.5592417549644715e-09,2.910061785727641e-13,-4.501458342361098e-15,1,3,0,0.3916,0.4782999822353428,0.0002397885032501534,0.7436291834312143,1.2631420152166235,0.5177990387165787,0.0017125702043301301,1.2228645003265818e-06,288596.9401572338,0.00022871552492588517,2.999150798495512,2.9856148374855827,0.4782999822353428,10.310749490574956,0.9999999963094178,2.0,0.165016501650165,0.799,-24.9939652961073,6.930014589334885,0.009486236793460341,0.0009554418996472012
0.6,66.006600660066,-24.994860246008074,-24.986085432157438,-24.996451916630406,-24.981502150401184,2.0949847140794904e-09,1.0171859294612678e-09,2.0949847140794904e-09,2.4178415247474866e-09,0.0007976912409421615,0.3916,164.89999999999992,PEM,3.7557779719517236e-06,0.0013962011795039919,0.0013931999999999998,5.926968176096676e-10,3.5409723185209255e-06,0.0013926595991597273,1.532892609968516e-11,7.545984679596799e-07,1.0587911840678754e-20,29.679241861694763,-1.887972798213447,0.10320748523885621,27.688061564763537,-1.3478922908372049e-08,4.4576855770007973e-13,-6.4455141527905435e-15,1,3,0,0.3916,0.4777131963904461,0.0002397885032501534,0.7436328147230682,1.2631407283501812,0.5177939417470567,0.0017127489695283394,1.2229105279476881e-06,288587.7678550668,0.00022872279428425227,2.99883634616651,2.982659210456201,0.4777131963904461,10.310702804956824,0.9999999918951309,2.0,0.165016501650165,0.799,-24.9925613010652,6.929560109753672,0.009198516771364688,0.0009264058151652544
0.8,69.3069306930693,-24.99331103494282,-24.98404768503417,-24.995204240436124,-24.979249606456875,3.2491789082929383e-09,1.7949164749776373e-09,3.2491789082929383e-09,4.2664998216725395e-09,0.0010657676411210037,0.3916,164.89999999999992,PEM,5.017965651050254e-06,0.0013972121291861586,0.0013931999999999998,5.984252795686183e-10,4.67983134925574e-06,0.0013925316733792946,2.603232876332869e-11,1.0058364648920283e-06,5.761941623697378e-19,39.65817793700822,-2.516078541044081,0.18540705249683923,36.956692331019276,-1.2448022362887556e-08,5.710531331658275e-13,-7.11401965981795e-15,1,3,0,0.3916,0.4772610840498602,0.0002398112236330735,0.7414661995085647,1.2631387007374386,0.5198727008213425,0.0017985162806325133,1.284126898837136e-06,288576.1322223357,0.00024016861740897976,2.9985608815230282,2.9803276240263314,0.4772610840498602,10.310537574038497,0.9999999858306928,2.1,0.17326732673267325,0.799,-24.9911229816268,7.200725968890525,0.008755322110297939,0.0008817147072518874
1.0,66.006600660066,-24.991822658437627,-24.982879731334094,-24.993936667192514,-24.978295934824246,4.523664588116309e-09,2.796402596957053e-09,4.523664588116309e-09,6.647023049577022e-09,0.0013338436381805032,0.3916,164.89999999999992,PEM,6.280153330148784e-06,0.0013982229862728585,0.0013931999999999998,6.102707960448405e-10,5.805567728172076e-06,0.0013924167691000198,3.917387067238163e-11,1.2571670572910554e-06,9.357596484791883e-19,49.63705307005375,-3.144430251814445,0.29198944835502233,46.20063335830561,-1.1578676406553967e-08,7.182559126454879e-13,-8.78550704408454e-15,1,3,0,0.3916,0.4769658126630257,0.00023981170724081798,0.7436413289784066,1.263137784603256,0.5177822186157567,0.0017130140023696558,1.223006723103883e-06,288568.9552431093,0.0002287377053586992,2.9983134562877254,2.9788226915775833,0.4769658126630257,10.310592836247318,0.9999999780953817,2.0,0.165016501650165,0.8,-24.9896887304606,7.044833877699178,0.008539233921814646,0.0008598989766375724
1.2,66.006600660066,-24.9903590947184,-24.98143746929017,-24.992698584125975,-24.976910729666344,5.856311772483057e-09,4.016067185189066e-09,5.856311772483057e-09,9.546154469191979e-09,0.001595378004468399,0.3916,164.89999999999992,PEM,7.5115559439034455e-06,0.001399202857599782,0.0013931999999999998,6.310176479092313e-10,6.893165276087906e-06,0.0013923090068025537,5.450349238633334e-11,1.5086983441218764e-06,5.960994366302139e-19,59.357935718008775,-3.773305222059345,0.42232255789567386,55.16230792742429,-1.0629469859857466e-08,8.529982276073156e-13,-1.0807029099738075e-14,1,3,0,0.3916,0.47678282396453336,0.00023981170724081798,0.743644948822143,1.2631365218925303,0.5177772190589855,0.001713130958591907,1.223052809790757e-06,288559.73892913363,0.00022874501101581717,2.9980814099968853,2.9778537435767385,0.47678282396453336,10.310545188670474,0.9999999687501052,2.0,0.165016501650165,0.799,-24.9882968823982,6.928041449043429,0.008252712579437979,0.0008309953930416569
1.4,69.3069306930693,-24.988822380590477,-24.97941987126333,-24.991427486526675,-24.974676102471847,7.231001578591575e-09,5.454193225850751e-09,7.231001578591575e-09,1.2964566736036964e-08,0.0018634529033675232,0.3916,164.89999999999992,PEM,8.773743623001975e-06,0.0014002132296635562,0.0013931999999999998,6.438430479459352e-10,8.006135947620478e-06,0.00139220637793761,7.193527767800803e-11,1.7605139594466526e-06,1.0202511849678048e-18,69.33670819540212,-4.402870508627795,0.5762275865363812,64.35761009398581,-6.252136031115185e-09,9.73178840030925e-13,-1.2371153363874288e-14,1,3,0,0.3916,0.47660413770395316,0.00023983454902541863,0.7414782489088586,1.2631345172603747,0.5198561105217686,0.0017988735534109558,1.284276336589231e-06,288548.06640974584,0.00024019197756345955,2.9978604176089796,2.9768678572205114,0.47660413770395316,10.310379057776037,0.9999999578012772,2.1,0.17326732673267325,0.8,-24.9868705327381,7.31521888639268,0.007811493839619606,0.0007865180684047
1.6,59.4059405940594,-24.987491514159956,-24.97928846388146,-24.990192102565146,-24.975208498306728,8.625719454058173e-09,7.11206676729956e-09,8.625719454058173e-09,1.6905316775135632e-08,0.0021184451310517793,0.3916,164.89999999999992,PEM,9.974361171412772e-06,0.0014011620050684136,0.0013931999999999998,6.437705839870771e-10,9.053503993846172e-06,0.0013921077658719536,9.143203002474163e-11,2.0123561030004816e-06,1.5267768874258764e-18,78.80056501494242,-5.032469182235878,0.7539675514011005,73.0141282810666,-2.388388375962336e-10,1.1714700390297317e-12,-1.3640781212909125e-14,1,3,0,0.3916,0.4765584705233351,0.00023983454902541863,0.7483274666032861,1.2631349061675556,0.513264304679481,0.0015420340881857073,1.100796602772277e-06,288545.78411198006,0.00020588046634223184,2.9976480746596756,2.976767000568559,0.4765810013586203,10.31066137155729,0.999999945246191,1.8,0.1485148514851485,0.8,-24.985524800531,6.459066674589245,0.007871412126250346,0.0007925040952680616
1.8,72.6072607260726,-24.985926600061646,-24.97614022843399,-24.988956999616704,-24.97126940585929,1.0003258705288619e-08,8.977581663715954e-09,1.0003258705288619e-08,2.13396283901021e-08,0.0023799780512564084,0.3916,164.89999999999992,PEM,1.1205763785167437e-05,0.001402141582903843,0.0013931999999999998,6.438087689758931e-10,1.0131125560784773e-05,0.0013920097007894185,1.1274487068503288e-10,2.2641808813261613e-06,1.9138709443210916e-18,88.52231491090122,-5.662024113548899,0.9539015489684836,81.90638924987107,1.4872355569295337e-09,1.272844134779516e-12,-1.4951852689987222e-14,1,3,0,0.3916,0.4764557736875482,0.00025021772424189406,0.7394115661771654,1.2631314581306992,0.5218338124898463,0.0018847339096378383,1.3455540496006535e-06,288527.6000758205,0.0002516475398089907,2.997436909537938,2.9759733823678616,0.4764557736875482,10.3101713059692,0.9999999311888088,2.2,0.1815181518151815,0.8,-24.9841445358099,7.573554227854329,0.007132780748972254,0.0007180940538384423
