工况初温_摄氏度,时间_s,电流密度_A每m2,实验电压_V,模型电压_V,电压相对误差_pct,实验温度_摄氏度,模型温度_摄氏度,温度相对误差_pct_摄氏口径,温度相对误差_pct_开尔文口径,MEA平均温度_摄氏度,局部最高温度_摄氏度,模型最大冰体积分数,孔隙最大冰体积分数,膜最大冰体积分数,最大冰所在层,孔隙最大冰饱和度,膜平均未冻含水量_lambda,活化损失_V,欧姆损失_V,浓差损失_V,极限电流密度_A每m2,累计产水_kg每m2,累计排水_kg每m2,冰库存_kg每m2,冰库存与累计产水质量比,累计反应热_J每m2,累计相变热_J每m2,累计吸附等效热_J每m2,累计散热_J每m2,水质量守恒残差_kg每m2,冰质量收支残差_kg每m2,离散能量守恒残差_J每m2,相变潜热重建残差_J每m2,物理状态有效,曾有内部步失效,累计凝结_kg每m2,采样段平均凝结速率_kg每m2每s,累计蒸发_kg每m2,采样段平均蒸发速率_kg每m2每s,累计凝华_kg每m2,采样段平均凝华速率_kg每m2每s,累计升华_kg每m2,采样段平均升华速率_kg每m2每s,累计冻结_kg每m2,采样段平均冻结速率_kg每m2每s,累计融化_kg每m2,采样段平均融化速率_kg每m2每s
-20.0,0.0,60.0,0.799,0.769731108516351,3.663190423485492,-19.9953547791121,-20.000000000000057,0.023231500212295177,0.0018349340909409161,-19.999999999999943,-20.0,0.0,0.0,0.0,aGDL,0.0,2.999999999999999,0.48759369401438396,0.0014129888211639012,1.1223839719215878e-06,291556.4439571423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.2,60.0,0.799,0.7697634904454306,3.65913761634161,-19.9953547791121,-19.99819103778387,0.014184587886049269,0.0011203660392230827,-19.990730276568343,-19.986745396582876,2.2632602250459876e-06,8.318454406364422e-07,2.2632602250459876e-06,PEM,1.9772889009661093e-06,2.9994937675292133,0.4875497545692377,0.0014129572135273135,1.1226401969525304e-06,291504.2136947951,1.11934497590299e-06,2.5881092813601274e-07,1.3280789673161065e-08,0.011864786959397643,8.522902374174866,-0.6441576086134537,-0.6460818368922127,0.008756980107859295,1.8007920458626425e-18,1.6543612251060553e-24,-5.9313491965196086e-09,-1.1102230246251565e-16,1,0,0.0,0.0,1.0024202872076452e-09,5.012101436038226e-09,0.0,0.0,7.697527535752145e-14,3.8487637678760723e-13,1.3280866648436421e-08,6.64043332421821e-08,0.0,0.0
-20.0,0.4,70.0,0.8,0.7628103724196396,4.648703447545061,-19.9939052077991,-19.996687564748584,0.01391602551161239,0.0010990677320128414,-19.987869524503736,-19.983208861922833,7.0901390009308495e-06,3.261275352065371e-06,7.0901390009308495e-06,PEM,7.752021278976399e-06,2.999061958776333,0.4942638515957017,0.0016486403093850703,1.3098591752262878e-06,291488.2233802396,2.3319686997978965e-06,5.171261771607545e-07,4.9817071676745154e-08,0.021362667381025578,17.803451352304826,-1.2777588537111308,-1.289359722640791,0.03830368292703746,1.2581615640278564e-18,-6.617444900424222e-24,-4.904530885585512e-09,2.220446049250313e-16,1,0,0.0,0.0,2.007083381883513e-09,5.023315473379338e-09,0.0,0.0,1.590907974603702e-13,4.105776105142437e-13,4.981723076754262e-08,1.82681820595531e-07,0.0,0.0
-20.0,0.6,70.0,0.8,0.7628141124761858,4.648235940476781,-19.992502715072,-19.995139613700843,0.013189437392724655,0.0010416040042754006,-19.986059103984815,-19.981296389790316,1.3851673114059115e-05,7.4381395164768505e-06,1.3851673114059115e-05,PEM,1.7680388677149632e-05,2.998685839068839,0.49425814292422654,0.0016488384068282522,1.3099138867271265e-06,291478.37966141745,3.6378711716847178e-06,7.754077914060961e-07,1.0883621272371747e-07,0.029917555511817323,27.84407288336228,-1.9037788704443879,-1.932520607580949,0.09144212293037522,-2.8597949881673315e-19,-2.6469779601696886e-23,-4.349795648672661e-09,4.440892098500626e-16,1,0,0.0,0.0,3.0261681631763386e-09,5.09542390646413e-09,0.0,0.0,2.412080522709307e-13,4.1058627405280256e-13,1.0883645393176976e-07,2.950961158211358e-07,0.0,0.0
-20.0,0.8,60.0,0.8,0.7697722759322777,3.7784655084652923,-19.991066017965,-19.993822434324215,0.013788240990941905,0.0010888086451694857,-19.985968932874982,-19.98190876962485,2.1612018726716825e-05,1.3328717729063668e-05,2.1612018726716825e-05,PEM,3.168223848125426e-05,2.9983447907748646,0.48753595717772163,0.0014135009871715839,1.1227712509658335e-06,291476.0438240728,4.850494895579624e-06,1.0336944942642867e-06,1.8720460930543735e-07,0.038594950275288725,37.124536066461694,-2.5233626168472334,-2.5755860901157925,0.1684803150411122,3.3881317890172014e-21,2.6469779601696886e-23,-5.774815153847257e-09,-4.440892098500626e-16,1,0,0.0,0.0,4.0908704469636475e-09,5.323511418936543e-09,0.0,0.0,3.2331133010401454e-13,4.105163891654191e-13,1.8720493261676744e-07,3.918423934249883e-07,0.0,0.0
-20.0,1.0,60.0,0.8,0.7697722806302548,3.7784649212181525,-19.9896333486865,-19.99255569940368,0.014619331261388107,0.001154347639734004,-19.98484979199378,-19.98091591022478,2.9500870917815874e-05,2.0734800872597754e-05,2.9500870917815874e-05,PEM,4.9286429457089975e-05,2.9980174948336287,0.4875348910195002,0.0014136652175387831,1.1228086286627855e-06,291467.4939316955,5.969839871482612e-06,1.2920343621479934e-06,2.801310759996251e-07,0.04692438692330527,45.64727232151957,-3.1382312100252294,-3.2185669170993383,0.26683286795174416,2.804737846595802e-18,1.0587911840678754e-22,-8.173550780643524e-09,-4.440892098500626e-16,1,0,0.0,0.0,5.246002555690821e-09,5.7756605436358685e-09,0.0,0.0,4.0539605544676417e-13,4.1042362671374824e-13,2.801314813956804e-07,4.6463274389456494e-07,0.0,0.0
-20.0,1.2,70.0,0.8,0.7628166746917627,4.647915663529664,-19.9882428989544,-19.99106477408995,0.014117674824216258,0.0011146530059919643,-19.982026110345572,-19.977415118671217,3.7565694582769126e-05,2.9641889670019942e-05,3.7565694582769126e-05,PEM,7.045849695749926e-05,2.997701001192664,0.4942514859104697,0.0016493880729115153,1.31005596153109e-06,291451.3794799614,7.182463595377517e-06,1.5504982753211881e-06,3.8695116926555723e-07,0.05387443516102064,54.92772486570986,-3.7487921541753533,-3.861461246518765,0.38610756392401496,2.6668832344301646e-18,5.293955920339377e-23,-1.8593177719683496e-08,-2.220446049250313e-15,1,0,0.0,0.0,6.566639611384758e-09,6.603185278469689e-09,0.0,0.0,4.87478045555331e-13,4.1040995054283434e-13,3.8695165674360274e-07,5.341008767396118e-07,0.0,0.0
-20.0,1.4,70.0,0.8,0.7628183025733968,4.647712178325408,-19.9868180776747,-19.98952900511057,0.013563576880180414,0.001070822153238287,-19.980240377207082,-19.975526621762214,4.611304690370628e-05,4.020086878745248e-05,4.611304690370628e-05,PEM,9.555709243511405e-05,2.997401838800926,0.4942479737229807,0.0016495322939000248,1.3101109505060182e-06,291441.4365164679,8.488366067264345e-06,1.809219451363089e-06,5.09963070078358e-07,0.060077883780842924,64.9682739153004,-4.3546222597867965,-4.504257571486977,0.5287996479447069,1.6423968847260884e-18,0.0,-3.020123451324963e-08,0.0,1,0,0.0,0.0,8.194777829755345e-09,8.140691091852933e-09,0.0,0.0,5.695614285119083e-13,4.1041691478288674e-13,5.099636396397866e-07,6.150599144809192e-07,0.0,0.0
-20.0,1.6,70.0,0.8,0.7628183817782662,4.6477022777167285,-19.985473550325,-19.988009861740807,0.012690774674012565,0.0010018431299893442,-19.97867012721764,-19.973969469193634,5.491977898109478e-05,5.2427408648729145e-05,5.491977898109478e-05,PEM,0.00012461946434211824,2.9971169662602026,0.49424632638076704,0.0016496776184167954,1.3101641694191402e-06,291431.45535006427,9.794268539151173e-06,2.068375682507051e-06,6.489019395965397e-07,0.06625323136716621,75.00881644468306,-4.956260024922685,-5.146944780912901,0.6957388500102875,5.844527336054672e-20,-2.117582368135751e-22,-2.6128843977346605e-08,8.881784197001252e-16,1,0,0.0,0.0,1.0314920788761719e-08,1.060071479503186e-08,0.0,0.0,6.516349145275878e-13,4.103674300783971e-13,6.489025912314544e-07,6.946947579583387e-07,0.0,0.0
-20.0,1.8,60.0,0.8,0.7697742471044378,3.778219111945286,-19.9840946143707,-19.98670859432997,0.013080302158837749,0.001032516584445296,-19.97860933242501,-19.974580826446328,6.624989405337522e-05,6.624989405337522e-05,6.365314627038149e-05,cCL,0.00015747538401087526,2.9968402034464874,0.48752663335188845,0.0014141808903909512,1.1229859886387464e-06,291429.01736683503,1.1006892263046078e-05,2.327967946964188e-06,8.021637819594897e-07,0.07287831685721403,84.28923983997913,-5.5541406995342895,-5.789524643626123,0.886353351581592,7.957874539454152e-19,-2.117582368135751e-22,-3.0171331211192864e-08,8.881784197001252e-16,1,0,0.0,0.0,1.2886338056108146e-08,1.2857086336732141e-08,0.0,0.0,8.193718330447267e-13,8.386845925856945e-13,8.02164601331323e-07,7.663100504993432e-07,0.0,0.0
