model,condition,kf_s_inv,j0_reoptimized_A_m2,training_objective,mean_squared_relative_objective,V_RMSE,T_RMSE,ice_at35_bulk,ice_pore_at35,ice_mem_at35,water_ice_at35_kg_m2,valid_samples,ever_invalid
main,minus20,0.0001,167.62575178920932,0.7417074167995229,0.7417074167995229,0.35774913661132485,9.482183162888646,3.00730518494114e-06,1.2400067954538432e-06,3.00730518494114e-06,7.713150182070499e-08,176,0
main,minus25,0.0001,167.62575178920932,0.7417074167995229,0.5963815052499634,0.34475090634912553,10.212870319732291,6.781014140255484e-06,2.2839603947625695e-06,6.781014140255484e-06,1.7676055516395347e-07,176,0
main,minus20,0.001,167.6080568197529,0.7417185468294957,0.7417185468294957,0.3577421225599217,9.482493929647093,3.0065424173075364e-05,1.243254168702981e-05,3.0065424173075364e-05,7.774061649407261e-07,176,0
main,minus25,0.001,167.6080568197529,0.7417185468294957,0.5963907984203847,0.34474235670460585,10.213381462981056,6.778827676689309e-05,2.2860234904738346e-05,6.778827676689309e-05,1.7716343492347724e-06,176,0
main,minus20,0.01,167.43185016071905,0.7418296181711341,0.7418296181711341,0.35767216720536876,9.485593655844365,0.00029989377591057643,0.00012420180713813294,0.00029989377591057643,7.75866081624313e-06,176,0
main,minus25,0.01,167.43185016071905,0.7418296181711341,0.5964834822671397,0.3446570614093559,10.218478592962372,0.0006757044947913955,0.00022829408524671795,0.0006757044947913955,1.7658075514291668e-05,176,0
main,minus20,0.03,167.04414538890285,0.7420749243751992,0.7420749243751992,0.3575176747886289,9.492435775518326,0.0008946544465421825,0.0003715683401719035,0.0008946544465421825,2.313266223085115e-05,176,0
main,minus25,0.03,167.04414538890285,0.7420749243751992,0.5966876191167201,0.34446858784565176,10.229717706498652,0.002012748260720226,0.0006826901101534084,0.002012748260720226,5.2559682884650976e-05,176,0
main,minus20,0.1,165.72194926913238,0.742917499162661,0.742917499162661,0.3569856929104325,9.515931621596641,0.0029250022390134743,0.0012265992303240225,0.0029250022390134743,7.546413635798019e-05,176,0
main,minus25,0.1,165.72194926913238,0.742917499162661,0.597381893780435,0.34381887056130567,10.268164797574059,0.006546992630070469,0.002250600116990554,0.006546992630070469,0.00017051073489421218,176,0
main,minus20,0.3,162.21358264479417,0.7451963343672219,0.7451963343672219,0.35553489805373456,9.57947745131487,0.00831959271803315,0.003582379668859297,0.00831959271803315,0.00021329141379152717,176,0
main,minus25,0.3,162.21358264479417,0.7451963343672219,0.5992076951571941,0.3420418921199035,10.37102629307074,0.01837693487579861,0.006551159660375851,0.01837693487579861,0.00047503367857083426,176,0
main,minus20,1.0,161.21689292240654,0.7520104932836366,0.7520104932836366,0.3534564857512623,9.71346839331943,0.02409660701111697,0.011140672262656326,0.02409660701111697,0.0006043378808016422,176,0
main,minus25,1.0,161.21689292240654,0.7520104932836366,0.6057359767995237,0.3388860013234516,10.612090957048055,0.05058757321722344,0.02005738811950722,0.05058757321722344,0.0012748448298228394,176,0
main,minus20,3.0,173.00861582258955,0.7659556193189342,0.7659556193189342,0.3520284937258494,9.91551226630099,0.054962852073558534,0.029147920845368436,0.054962852073558534,0.0013122824147759897,176,0
main,minus25,3.0,173.00861582258955,0.7659556193189342,0.6186959259759625,0.33509840546441794,10.984878448468866,0.10423534194669201,0.05088941214281944,0.10423534194669201,0.002451867118583461,176,0
