condition,t_s,I_exp_A,j_A_m2,V_exp_V,T_exp_C,implied_area_cm2,I_from_25cm2_A
minus25,26.4,80.0,2640.26402640264,0.606,-20.4500320317769,303.00000000000006,6.6006600660066
minus25,26.6,82.0,2706.27062706271,0.605,-20.387770177953,302.9999999999996,6.765676567656775
minus25,26.8,84.2,2778.87788778878,0.604,-20.3234972932413,302.9999999999999,6.94719471947195
minus25,27.0,86.0,2838.28382838284,0.603,-20.2573315163051,302.9999999999998,7.0957095709571005
minus25,27.2,87.4,2884.48844884488,0.602,-20.1897284342133,303.00000000000045,7.2112211221122005
minus25,27.4,88.0,2904.2904290429,0.601,-20.121367718675,303.0000000000004,7.26072607260725
minus25,27.6,89.8,2963.69636963696,0.6,-20.0520330928385,303.0000000000004,7.4092409240923995
minus25,27.8,91.5,3019.80198019802,0.599,-19.9811186912389,303.0,7.5495049504950495
minus25,28.0,92.9,3066.00660066007,0.6,-19.9088581589731,302.9999999999996,7.665016501650175
minus25,28.2,92.9,3066.00660066007,0.602,-19.8362085290258,302.9999999999996,7.665016501650175
minus25,28.4,92.9,3066.00660066007,0.605,-19.7639533785968,302.9999999999996,7.665016501650175
minus25,28.6,92.7,3059.40594059406,0.607,-19.6922044662986,302.99999999999994,7.64851485148515
minus25,28.8,92.8,3062.70627062706,0.609,-19.620906678104,303.0000000000003,7.65676567656765
minus25,29.0,92.8,3062.70627062706,0.611,-19.549949608231,303.0000000000003,7.65676567656765
minus25,29.2,92.8,3062.70627062706,0.613,-19.4793879220992,303.0000000000003,7.65676567656765
minus25,29.4,93.0,3069.30693069307,0.615,-19.4091101680522,302.9999999999999,7.673267326732676
minus25,29.6,92.3,3046.20462046205,0.617,-19.3394978439257,302.9999999999996,7.615511551155126
minus25,29.8,93.0,3069.30693069307,0.619,-19.2702731034892,302.9999999999999,7.673267326732676
minus25,30.0,92.7,3059.40594059406,0.621,-19.2012196511554,302.99999999999994,7.64851485148515
minus25,30.2,92.9,3066.00660066007,0.622,-19.1326071895612,302.9999999999996,7.665016501650175
minus25,30.4,92.9,3066.00660066007,0.624,-19.0642679707173,302.9999999999996,7.665016501650175
minus25,30.6,92.7,3059.40594059406,0.625,-18.9964144354131,302.99999999999994,7.64851485148515
minus25,30.8,92.7,3059.40594059406,0.627,-18.9290413002308,302.99999999999994,7.64851485148515
minus25,31.0,92.7,3059.40594059406,0.628,-18.8620356699279,302.99999999999994,7.64851485148515
minus25,31.2,92.9,3066.00660066007,0.629,-18.7952853800418,302.9999999999996,7.665016501650175
minus25,31.4,92.9,3066.00660066007,0.631,-18.7287861310029,302.9999999999996,7.665016501650175
minus25,31.6,93.0,3069.30693069307,0.632,-18.6625870154186,302.9999999999999,7.673267326732676
minus25,31.8,92.8,3062.70627062706,0.633,-18.5967899791813,303.0000000000003,7.65676567656765
minus25,32.0,92.8,3062.70627062706,0.634,-18.5314429371323,303.0000000000003,7.65676567656765
minus25,32.2,92.7,3059.40594059406,0.635,-18.4664871207278,302.99999999999994,7.64851485148515
minus25,32.3999999999999,92.9,3066.00660066007,0.636,-18.4018111821687,302.9999999999996,7.665016501650175
minus25,32.6,92.9,3066.00660066007,0.637,-18.3373574064374,302.9999999999996,7.665016501650175
minus25,32.7999999999999,92.8,3062.70627062706,0.638,-18.2732798935056,303.0000000000003,7.65676567656765
minus25,33.0,92.9,3066.00660066007,0.639,-18.2095202811312,302.9999999999996,7.665016501650175
minus25,33.1999999999999,92.7,3059.40594059406,0.64,-18.1461262895538,302.99999999999994,7.64851485148515
minus25,33.3999999999999,92.9,3066.00660066007,0.641,-18.0830401222479,302.9999999999996,7.665016501650175
minus25,33.5999999999999,92.9,3066.00660066007,0.642,-18.020151906979,302.9999999999996,7.665016501650175
minus25,33.7999999999999,93.1,3072.60726072607,0.642,-17.9574570413802,303.0000000000002,7.681518151815175
minus25,33.9999999999999,92.8,3062.70627062706,0.643,-17.8951079224325,303.0000000000003,7.65676567656765
minus25,34.1999999999999,93.0,3069.30693069307,0.643,-17.8330990682988,302.9999999999999,7.673267326732676
minus25,34.3999999999999,92.8,3062.70627062706,0.644,-17.7713730337817,303.0000000000003,7.65676567656765
minus25,34.5999999999999,92.8,3062.70627062706,0.644,-17.7100291967992,303.0000000000003,7.65676567656765
minus25,34.7999999999999,92.8,3062.70627062706,0.644,-17.6489579867738,303.0000000000003,7.65676567656765
minus25,34.9999999999999,93.1,3072.60726072607,0.644,-17.5879985360918,303.0000000000002,7.681518151815175
