condition,t_s,I_exp_A,j_A_m2,V_exp_V,T_exp_C,implied_area_cm2,I_from_25cm2_A
minus20,14.8,61.9,1990.0,0.517,-18.4669961897243,311.05527638190955,4.9750000000000005
minus20,15.0,62.1,2000.0,0.521,-18.4097608264111,310.5,5.0
minus20,15.2,61.7,2000.0,0.526,-18.3530378325231,308.5,5.0
minus20,15.4,61.8,1990.0,0.53,-18.2968607981815,310.55276381909545,4.9750000000000005
minus20,15.6,62.0,1990.0,0.534,-18.2408500768948,311.55778894472365,4.9750000000000005
minus20,15.8,61.9,2000.0,0.538,-18.185156048898,309.5,5.0
minus20,16.0,62.0,2000.0,0.54,-18.1297802088295,310.0,5.0
minus20,16.2,62.1,2010.0,0.545,-18.07458404113,308.95522388059703,5.025
minus20,16.4,62.0,2000.0,0.549,-18.0196740285984,310.0,5.0
minus20,16.6,61.9,1990.0,0.552,-17.9651575039938,311.05527638190955,4.9750000000000005
minus20,16.8,62.2,2000.0,0.555,-17.9107954783297,311.0,5.0
minus20,17.0,61.9,2000.0,0.558,-17.8567000534508,309.5,5.0
minus20,17.2,61.9,2000.0,0.561,-17.8030414302596,309.5,5.0
minus20,17.4,61.9,2000.0,0.564,-17.7496455656364,309.5,5.0
minus20,17.6,62.0,2000.0,0.567,-17.6964564674006,310.0,5.0
minus20,17.8,62.0,2000.0,0.57,-17.6434773320284,310.0,5.0
minus20,18.0,61.8,1990.0,0.573,-17.5908835498837,310.55276381909545,4.9750000000000005
minus20,18.2,61.8,1990.0,0.576,-17.538679352748,310.55276381909545,4.9750000000000005
minus20,18.4,61.8,1990.0,0.579,-17.4867562797198,310.55276381909545,4.9750000000000005
minus20,18.6,62.0,2000.0,0.581,-17.435007153861,310.0,5.0
minus20,18.8,62.0,1990.0,0.584,-17.3834382620672,311.55778894472365,4.9750000000000005
minus20,19.0,61.9,2000.0,0.587,-17.3322242155644,309.5,5.0
minus20,19.2,62.0,2000.0,0.589,-17.2813135531451,310.0,5.0
minus20,19.4,62.0,2000.0,0.591,-17.2306589946743,310.0,5.0
minus20,19.6,62.1,2000.0,0.594,-17.1802653092875,310.5,5.0
minus20,19.8,62.0,2000.0,0.596,-17.1301908810118,310.0,5.0
minus20,20.0,61.9,1990.0,0.599,-17.0805443528141,311.05527638190955,4.9750000000000005
minus20,20.2,62.0,2000.0,0.601,-17.0312068954266,310.0,5.0
minus20,20.4,61.9,2000.0,0.603,-16.9821706775262,309.5,5.0
minus20,20.6,62.0,2000.0,0.605,-16.9334243695405,310.0,5.0
minus20,20.8,62.1,2000.0,0.607,-16.8848441698689,310.5,5.0
minus20,21.0,61.8,1990.0,0.609,-16.836635370647,310.55276381909545,4.9750000000000005
minus20,21.2,62.0,2000.0,0.611,-16.788728988147,310.0,5.0
minus20,21.4,61.9,2000.0,0.614,-16.741004635948,309.5,5.0
minus20,21.6,61.9,2000.0,0.616,-16.6935638366185,309.5,5.0
minus20,21.8,62.0,1990.0,0.618,-16.6462931275465,311.55778894472365,4.9750000000000005
minus20,22.0,61.9,2000.0,0.619,-16.5992452104321,309.5,5.0
minus20,22.2,62.1,2000.0,0.621,-16.5523661575757,310.5,5.0
minus20,22.4,61.8,2000.0,0.623,-16.5057657032842,308.99999999999994,5.0
minus20,22.6,61.9,1990.0,0.625,-16.459499538498,311.05527638190955,4.9750000000000005
minus20,22.8,61.8,1990.0,0.627,-16.4134621978536,310.55276381909545,4.9750000000000005
minus20,23.0,61.9,2010.0,0.629,-16.3676541343872,307.9601990049751,5.025
minus20,23.2,61.8,1990.0,0.63,-16.3220759105454,310.55276381909545,4.9750000000000005
minus20,23.4,62.1,2000.0,0.632,-16.2766226768509,310.5,5.0
minus20,23.6,61.9,2000.0,0.634,-16.2313497340608,309.5,5.0
minus20,23.8,61.7,1990.0,0.635,-16.1865241631253,310.0502512562814,4.9750000000000005
minus20,24.0,62.1,2000.0,0.637,-16.1418277666211,310.5,5.0
minus20,24.2,62.8,1990.0,0.636,-16.0967852311446,315.57788944723615,4.9750000000000005
minus20,24.4,64.2,2050.0,0.633,-16.0508682326829,313.1707317073171,5.125
minus20,24.6,65.7,2100.0,0.63,-16.003652599772,312.85714285714283,5.25
minus20,24.8,67.5,2150.0,0.628,-15.954924907593,313.95348837209303,5.375
minus20,25.0,70.0,2230.0,0.626,-15.9041485054811,313.9013452914798,5.575
minus20,25.2,71.4,2280.0,0.624,-15.85153635345,313.15789473684214,5.7
minus20,25.4,72.1,2330.0,0.622,-15.7980596470316,309.4420600858369,5.825
minus20,25.6,73.8,2350.0,0.621,-15.7435587577437,314.04255319148933,5.875
minus20,25.8,75.4,2410.0,0.619,-15.6875525748034,312.86307053941914,6.025
minus20,26.0,77.0,2450.0,0.618,-15.6300999784535,314.28571428571433,6.125
minus20,26.2,78.7,2510.0,0.617,-15.571151876878,313.5458167330677,6.275
minus20,26.4,80.0,2560.0,0.616,-15.510876700356,312.5,6.4
minus20,26.6,82.0,2620.0,0.614,-15.4491178623264,312.97709923664127,6.55
minus20,26.8,84.2,2670.0,0.614,-15.385393061507,315.3558052434457,6.675
minus20,27.0,86.0,2750.0,0.613,-15.319818389165,312.7272727272727,6.875
minus20,27.2,87.4,2790.0,0.612,-15.2528373209109,313.2616487455198,6.9750000000000005
minus20,27.4,88.0,2840.0,0.611,-15.185111268293,309.85915492957747,7.1000000000000005
minus20,27.6,89.8,2870.0,0.611,-15.1164297314632,312.8919860627177,7.175
minus20,27.8,91.5,2920.0,0.61,-15.0462048026215,313.3561643835617,7.3
minus20,28.0,92.9,2970.0,0.611,-14.9746642060939,312.7946127946128,7.425
minus20,28.2,92.9,3000.0,0.613,-14.9027369568893,309.6666666666667,7.5
minus20,28.4,92.9,3000.0,0.616,-14.831182629642,309.6666666666667,7.5
minus20,28.6,92.7,2990.0,0.618,-14.7601095009262,310.03344481605353,7.4750000000000005
minus20,28.8,92.8,3000.0,0.621,-14.6894646887449,309.3333333333333,7.5
minus20,29.0,92.8,2990.0,0.623,-14.6191413134848,310.3678929765886,7.4750000000000005
minus20,29.2,92.8,2990.0,0.625,-14.5491931186382,310.3678929765886,7.4750000000000005
minus20,29.4,93.0,3000.0,0.627,-14.4795119052527,310.0,7.5
minus20,29.6,92.3,2990.0,0.629,-14.4104686112941,308.69565217391306,7.4750000000000005
minus20,29.8,93.0,2990.0,0.631,-14.3417932806758,311.03678929765886,7.4750000000000005
minus20,30.0,92.7,2990.0,0.633,-14.2732706016666,310.03344481605353,7.4750000000000005
minus20,30.2,92.9,2990.0,0.634,-14.2051619299249,310.70234113712377,7.4750000000000005
minus20,30.4,92.9,2990.0,0.636,-14.137304368696,310.70234113712377,7.4750000000000005
minus20,30.6,92.7,2990.0,0.638,-14.0699049965948,310.03344481605353,7.4750000000000005
minus20,30.8,92.7,2990.0,0.64,-14.0029588016267,310.03344481605353,7.4750000000000005
minus20,31.0,92.7,2990.0,0.641,-13.9363558826567,310.03344481605353,7.4750000000000005
minus20,31.2,92.9,2990.0,0.643,-13.8699869366413,310.70234113712377,7.4750000000000005
minus20,31.4,92.9,3000.0,0.644,-13.8038476928033,309.6666666666667,7.5
minus20,31.6,93.0,2990.0,0.646,-13.7379858828126,311.03678929765886,7.4750000000000005
minus20,31.8,92.8,3000.0,0.647,-13.6725009946981,309.3333333333333,7.5
minus20,32.0,92.8,2990.0,0.648,-13.6074399128289,310.3678929765886,7.4750000000000005
minus20,32.2,92.7,3000.0,0.65,-13.5427454678577,309.0,7.5
minus20,32.4,92.9,2990.0,0.651,-13.4783090102148,310.70234113712377,7.4750000000000005
minus20,32.6,92.9,3000.0,0.652,-13.4140741989528,309.6666666666667,7.5
minus20,32.8,92.8,3000.0,0.654,-13.3501915977414,309.3333333333333,7.5
minus20,33.0,92.9,3000.0,0.655,-13.2866042833791,309.6666666666667,7.5
minus20,33.2,92.7,3000.0,0.656,-13.2233588964154,309.0,7.5
minus20,33.4,92.9,3000.0,0.657,-13.1603988969644,309.6666666666667,7.5
minus20,33.6,92.9,2990.0,0.658,-13.0976166336497,310.70234113712377,7.4750000000000005
minus20,33.8,93.1,3000.0,0.66,-13.035007611381,310.3333333333333,7.5
minus20,34.0,92.8,2990.0,0.661,-12.9727210038924,310.3678929765886,7.4750000000000005
minus20,34.2,93.0,3000.0,0.662,-12.9107516174725,310.0,7.5
minus20,34.4,92.8,3000.0,0.663,-12.8490433399805,309.3333333333333,7.5
minus20,34.6,92.8,3000.0,0.664,-12.7876936566284,309.3333333333333,7.5
minus20,34.8,92.8,2990.0,0.665,-12.72659536523,310.3678929765886,7.4750000000000005
minus20,35.0,93.1,3000.0,0.666,-12.6655908431115,310.3333333333333,7.5
minus25,0.0,2.0,66.006600660066,0.799,-24.9954164846888,303.00000000000006,0.165016501650165
minus25,0.2,2.1,69.3069306930693,0.799,-24.9954164846888,303.00000000000006,0.17326732673267325
minus25,0.4,2.0,66.006600660066,0.799,-24.9939652961073,303.00000000000006,0.165016501650165
minus25,0.6,2.0,66.006600660066,0.799,-24.9925613010652,303.00000000000006,0.165016501650165
minus25,0.8,2.1,69.3069306930693,0.799,-24.9911229816268,303.00000000000006,0.17326732673267325
minus25,1.0,2.0,66.006600660066,0.8,-24.9896887304606,303.00000000000006,0.165016501650165
minus25,1.2,2.0,66.006600660066,0.799,-24.9882968823982,303.00000000000006,0.165016501650165
minus25,1.4,2.1,69.3069306930693,0.8,-24.9868705327381,303.00000000000006,0.17326732673267325
minus25,1.6,1.8,59.4059405940594,0.8,-24.985524800531,303.00000000000006,0.1485148514851485
minus25,1.8,2.2,72.6072607260726,0.8,-24.9841445358099,303.00000000000006,0.1815181518151815
minus25,2.0,2.0,66.006600660066,0.8,-24.9826913133056,303.00000000000006,0.165016501650165
minus25,2.2,2.1,69.3069306930693,0.8,-24.9812806025465,303.00000000000006,0.17326732673267325
minus25,2.4,2.0,66.006600660066,0.8,-24.9798738175426,303.00000000000006,0.165016501650165
minus25,2.6,2.0,66.006600660066,0.8,-24.9785092749632,303.00000000000006,0.165016501650165
minus25,2.8,2.0,66.006600660066,0.8,-24.9771485174843,303.00000000000006,0.165016501650165
minus25,3.0,2.2,72.6072607260726,0.8,-24.9757148215872,303.00000000000006,0.1815181518151815
minus25,3.2,2.1,69.3069306930693,0.8,-24.9742466427357,303.00000000000006,0.17326732673267325
minus25,3.4,2.0,66.006600660066,0.8,-24.9728594600344,303.00000000000006,0.165016501650165
minus25,3.6,2.1,69.3069306930693,0.8,-24.9714761302039,303.00000000000006,0.17326732673267325
minus25,3.8,2.1,69.3069306930693,0.8,-24.9700582752618,303.00000000000006,0.17326732673267325
minus25,4.0,2.0,66.006600660066,0.8,-24.9686827526186,303.00000000000006,0.165016501650165
minus25,4.2,1.9,62.7062706270627,0.8,-24.9673874768015,303.0,0.15676567656765675
minus25,4.4,2.0,66.006600660066,0.8,-24.9660957798237,303.00000000000006,0.165016501650165
minus25,4.6,2.0,66.006600660066,0.801,-24.9647695179154,303.00000000000006,0.165016501650165
minus25,4.8,2.0,66.006600660066,0.8,-24.9634469494401,303.00000000000006,0.165016501650165
minus25,5.0,2.0,66.006600660066,0.8,-24.9621280589219,303.00000000000006,0.165016501650165
minus25,5.2,2.2,72.6072607260726,0.801,-24.9607362991643,303.00000000000006,0.1815181518151815
minus25,5.4,2.0,66.006600660066,0.801,-24.9593484385975,303.00000000000006,0.165016501650165
minus25,5.6,1.9,62.7062706270627,0.801,-24.9580790687409,303.0,0.15676567656765675
minus25,5.8,2.0,66.006600660066,0.801,-24.9568132021896,303.00000000000006,0.165016501650165
minus25,6.0,2.0,66.006600660066,0.802,-24.9555127513403,303.00000000000006,0.165016501650165
minus25,6.2,2.2,72.6072607260726,0.797,-24.9541394625192,303.00000000000006,0.1815181518151815
minus25,6.4,3.7,122.112211221122,0.765,-24.9521054808169,303.00000000000034,0.305280528052805
minus25,6.6,5.3,174.917491749175,0.739,-24.9488051436863,302.99999999999983,0.43729372937293753
minus25,6.8,6.8,224.422442244224,0.717,-24.9441735627157,303.00000000000057,0.56105610561056
minus25,7.0,9.3,306.930693069307,0.698,-24.9377337624151,302.99999999999994,0.7673267326732675
minus25,7.2,11.0,363.036303630363,0.682,-24.9292996921439,303.0,0.9075907590759076
minus25,7.4,11.7,386.138613861386,0.666,-24.9197055043265,303.0000000000001,0.965346534653465
minus25,7.6,13.3,438.943894389439,0.652,-24.9089823155497,303.0,1.0973597359735974
minus25,7.8,14.9,491.749174917492,0.64,-24.8966369295883,302.9999999999999,1.22937293729373
minus25,8.0,16.4,541.254125412541,0.627,-24.8826915344138,303.00000000000006,1.3531353135313526
minus25,8.2,18.2,600.660066006601,0.616,-24.8670092636456,302.9999999999998,1.5016501650165026
minus25,8.4,19.6,646.864686468647,0.606,-24.8496233679612,302.99999999999994,1.6171617161716176
minus25,8.6,21.4,706.270627062706,0.595,-24.8305172389075,303.00000000000006,1.7656765676567652
minus25,8.8,23.8,785.478547854785,0.586,-24.8090830422651,303.00000000000017,1.9636963696369625
minus25,9.0,25.1,828.382838283829,0.576,-24.7856011553827,302.9999999999998,2.0709570957095726
minus25,9.2,26.7,881.188118811881,0.567,-24.760557849607,303.00000000000006,2.2029702970297027
minus25,9.4,27.8,917.491749174918,0.559,-24.7340827000465,302.99999999999983,2.293729372937295
minus25,9.6,29.4,970.29702970297,0.551,-24.7061837464223,303.00000000000006,2.4257425742574252
minus25,9.8,30.9,1019.80198019802,0.544,-24.6766182570565,302.9999999999999,2.54950495049505
minus25,10.0,32.7,1079.20792079208,0.537,-24.6452668796771,302.99999999999983,2.6980198019802
minus25,10.2,34.1,1125.41254125413,0.53,-24.612201248928,302.99999999999875,2.813531353135325
minus25,10.4,35.9,1184.81848184818,0.525,-24.5774298614072,303.0000000000012,2.96204620462045
minus25,10.6,37.4,1234.32343234323,0.519,-24.5408981444579,303.000000000001,3.085808580858075
minus25,10.8,39.6,1306.93069306931,0.512,-24.502356050682,302.99999999999926,3.2673267326732756
minus25,11.0,40.5,1336.63366336634,0.51,-24.4622045349604,302.99999999999926,3.34158415841585
minus25,11.2,41.9,1382.83828382838,0.506,-24.420975736585,303.00000000000057,3.4570957095709502
minus25,11.4,43.8,1445.54455445545,0.502,-24.3780235322533,302.99999999999903,3.613861386138625
minus25,11.6,45.4,1498.3498349835,0.499,-24.3332268849088,302.99999999999966,3.74587458745875
minus25,11.8,47.1,1554.45544554455,0.496,-24.2867261926526,303.00000000000085,3.886138613861375
minus25,12.0,48.3,1594.05940594059,0.493,-24.2387931247637,303.00000000000074,3.9851485148514754
minus25,12.2,50.9,1679.86798679868,0.491,-24.1888437255502,302.99999999999994,4.1996699669967
minus25,12.4,52.2,1722.77227722772,0.489,-24.136822357349,303.0000000000005,4.3069306930693
minus25,12.6,53.9,1778.87788778878,0.487,-24.0833346389909,302.9999999999998,4.44719471947195
minus25,12.8,55.7,1838.28382838284,0.485,-24.0280913521115,302.9999999999997,4.5957095709571005
minus25,13.0,56.5,1864.68646864686,0.484,-23.9720651514521,303.0000000000008,4.66171617161715
minus25,13.2,58.3,1924.09240924092,0.483,-23.9151078238034,303.0000000000006,4.8102310231023
minus25,13.4,59.7,1970.29702970297,0.482,-23.8566678660219,303.00000000000006,4.925742574257425
minus25,13.6,61.4,2026.40264026403,0.482,-23.7968930851244,302.99999999999943,5.066006600660075
minus25,13.8,61.8,2039.60396039604,0.487,-23.7363164314894,302.9999999999999,5.0990099009901
minus25,14.0,62.2,2052.80528052805,0.493,-23.675764553626,303.0000000000004,5.132013201320125
minus25,14.2,61.8,2039.60396039604,0.498,-23.6157234077732,302.9999999999999,5.0990099009901
minus25,14.4,62.1,2049.50495049505,0.504,-23.5562817267264,302.99999999999994,5.123762376237624
minus25,14.6,61.8,2039.60396039604,0.509,-23.4972907226152,302.9999999999999,5.0990099009901
minus25,14.8,61.9,2042.90429042904,0.513,-23.4388364561636,303.0000000000004,5.1072607260726
minus25,15.0,62.1,2049.50495049505,0.518,-23.3805827491521,302.99999999999994,5.123762376237624
minus25,15.2,61.7,2036.30363036304,0.522,-23.3228196350011,302.9999999999995,5.0907590759076
minus25,15.4,61.8,2039.60396039604,0.526,-23.2655894165557,302.9999999999999,5.0990099009901
minus25,15.6,62.0,2046.20462046205,0.53,-23.2085088864539,302.99999999999943,5.115511551155125
minus25,15.8,61.9,2042.90429042904,0.534,-23.1516906025147,303.0000000000004,5.1072607260726
minus25,16.0,62.0,2046.20462046205,0.537,-23.0951876329309,302.99999999999943,5.115511551155125
minus25,16.2,62.1,2049.50495049505,0.541,-23.0388738306811,302.99999999999994,5.123762376237624
minus25,16.4,62.0,2046.20462046205,0.544,-22.9828684661874,302.99999999999943,5.115511551155125
minus25,16.6,61.9,2042.90429042904,0.547,-22.9272916543083,303.0000000000004,5.1072607260726
minus25,16.8,62.2,2052.80528052805,0.551,-22.8719054033521,303.0000000000004,5.132013201320125
minus25,17.0,61.9,2042.90429042904,0.553,-22.8168337558885,303.0000000000004,5.1072607260726
minus25,17.2,61.9,2042.90429042904,0.556,-22.7622594931437,303.0000000000004,5.1072607260726
minus25,17.4,61.9,2042.90429042904,0.559,-22.7080085728985,303.0000000000004,5.1072607260726
minus25,17.6,62.0,2046.20462046205,0.562,-22.6540310058563,302.99999999999943,5.115511551155125
minus25,17.8,62.0,2046.20462046205,0.565,-22.6003329305343,302.99999999999943,5.115511551155125
minus25,18.0,61.8,2039.60396039604,0.568,-22.5470949039305,302.9999999999999,5.0990099009901
minus25,18.2,61.8,2039.60396039604,0.57,-22.4943192562649,302.9999999999999,5.0990099009901
minus25,18.4,61.8,2039.60396039604,0.573,-22.4418905964999,302.9999999999999,5.0990099009901
minus25,18.6,62.0,2046.20462046205,0.576,-22.3896928834486,302.99999999999943,5.115511551155125
minus25,18.8,62.0,2046.20462046205,0.578,-22.337724316282,302.99999999999943,5.115511551155125
minus25,19.0,61.9,2042.90429042904,0.581,-22.2861487918866,303.0000000000004,5.1072607260726
minus25,19.2,62.0,2046.20462046205,0.583,-22.2348957071518,302.99999999999943,5.115511551155125
minus25,19.4,62.0,2046.20462046205,0.585,-22.1838944970653,302.99999999999943,5.115511551155125
minus25,19.6,62.1,2049.50495049505,0.588,-22.1331314831823,302.99999999999994,5.123762376237624
minus25,19.8,62.0,2046.20462046205,0.59,-22.0826508436632,302.99999999999943,5.115511551155125
minus25,20.0,61.9,2042.90429042904,0.592,-22.0325550832597,303.0000000000004,5.1072607260726
minus25,20.2,62.0,2046.20462046205,0.594,-21.9827211808523,302.99999999999943,5.115511551155125
minus25,20.4,61.9,2042.90429042904,0.597,-21.9331433945714,303.0000000000004,5.1072607260726
minus25,20.6,62.0,2046.20462046205,0.599,-21.8838185036031,302.99999999999943,5.115511551155125
minus25,20.8,62.1,2049.50495049505,0.601,-21.8346326329055,302.99999999999994,5.123762376237624
minus25,21.0,61.8,2039.60396039604,0.603,-21.7858115700338,302.9999999999999,5.0990099009901
minus25,21.2,62.0,2046.20462046205,0.605,-21.7372996027683,302.99999999999943,5.115511551155125
minus25,21.4,61.9,2042.90429042904,0.607,-21.6889862379797,303.0000000000004,5.1072607260726
minus25,21.6,61.9,2042.90429042904,0.609,-21.6409850738953,303.0000000000004,5.1072607260726
minus25,21.8,62.0,2046.20462046205,0.611,-21.5931862401356,302.99999999999943,5.115511551155125
minus25,22.0,61.9,2042.90429042904,0.612,-21.5456467414467,303.0000000000004,5.1072607260726
minus25,22.2,62.1,2049.50495049505,0.614,-21.4983089327524,302.99999999999994,5.123762376237624
minus25,22.4,61.8,2039.60396039604,0.616,-21.4512841878099,302.9999999999999,5.0990099009901
minus25,22.6,61.9,2042.90429042904,0.618,-21.4046276805359,303.0000000000004,5.1072607260726
minus25,22.8,61.8,2039.60396039604,0.62,-21.3582291716582,302.9999999999999,5.0990099009901
minus25,23.0,61.9,2042.90429042904,0.621,-21.3120887063724,303.0000000000004,5.1072607260726
minus25,23.2,61.8,2039.60396039604,0.623,-21.2662060606365,302.9999999999999,5.0990099009901
minus25,23.4,62.1,2049.50495049505,0.625,-21.2204718296628,302.99999999999994,5.123762376237624
minus25,23.6,61.9,2042.90429042904,0.626,-21.1749404227378,303.0000000000004,5.1072607260726
minus25,23.8,61.7,2036.30363036304,0.628,-21.1298826485921,302.9999999999995,5.0907590759076
minus25,24.0,62.1,2049.50495049505,0.629,-21.0849716614398,302.99999999999994,5.123762376237624
minus25,24.2,62.8,2072.60726072607,0.628,-21.0397204580467,303.0000000000004,5.181518151815175
minus25,24.4,64.2,2118.81188118812,0.625,-20.9935880236675,302.99999999999983,5.2970297029703
minus25,24.6,65.7,2168.31683168317,0.622,-20.9461376322838,302.9999999999998,5.420792079207926
minus25,24.8,67.5,2227.72277227723,0.62,-20.8971498722965,302.9999999999997,5.569306930693075
minus25,25.0,70.0,2310.23102310231,0.618,-20.8460744945177,303.00000000000006,5.775577557755774
minus25,25.2,71.4,2356.43564356436,0.615,-20.7931279645042,302.9999999999996,5.8910891089109
minus25,25.4,72.1,2379.53795379538,0.613,-20.7393043651668,302.99999999999994,5.94884488448845
minus25,25.6,73.8,2435.64356435644,0.612,-20.6844413326095,302.99999999999943,6.0891089108911
minus25,25.8,75.4,2488.44884488449,0.61,-20.6280449647517,302.99999999999983,6.2211221122112255
minus25,26.0,77.0,2541.25412541254,0.609,-20.5701748151091,303.00000000000017,6.35313531353135
minus25,26.2,78.7,2597.3597359736,0.607,-20.5107797717003,302.9999999999997,6.493399339934
