工况初温_摄氏度,时间_s,电流密度_A每m2,实验电压_V,模型电压_V,电压相对误差_pct,实验温度_摄氏度,模型温度_摄氏度,温度相对误差_pct_摄氏口径,温度相对误差_pct_开尔文口径,模型最大冰体积分数,孔隙最大冰体积分数,膜最大冰体积分数,孔隙最大冰饱和度,膜平均未冻含水量_lambda,活化损失_V,欧姆损失_V,浓差损失_V,极限电流密度_A每m2,累计产水_kg每m2,累计排水_kg每m2,累计反应热_J每m2,累计相变热_J每m2,累计散热_J每m2,水质量守恒残差_kg每m2,离散能量守恒残差_J每m2,物理状态有效
-25.0,0.0,66.006600660066,0.799,0.74358706206587,6.935286349703384,-24.9954164846888,-25.000000000000085,0.018337423239549153,0.0018470403594228278,0.0,0.0,0.0,0.0,2.999999999999999,0.5178562277461082,0.0017125050383697451,1.2225051974459396e-06,288662.7990634451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-25.0,5.0,66.006600660066,0.8,0.7437200576686828,7.03499279141466,-24.9621280589219,-24.962712168806945,0.0023399843301340102,0.00023534989058024162,6.877038351187446e-08,6.877038351187446e-08,3.316821968561823e-08,1.6346656408812565e-07,2.996464940417425,0.5176766270828572,0.0017132985144659636,1.2239150168799991e-06,288389.78521069617,3.127762638936844e-05,6.29192971645188e-06,247.14516651791823,-15.731193289099654,7.3637672336209095,4.769642525988965e-18,1.6151411763587475e-08,1
-25.0,10.0,1079.20792079208,0.537,0.6004679041397166,11.818976562330835,-24.6452668796771,-24.645305808482533,0.00015795651807863086,1.566521689366582e-05,3.558564695415492e-07,3.429728683106958e-07,3.558564695415492e-07,8.152433285255426e-07,3.1078068838331094,0.635410641502614,0.026685961580197513,2.0189692695342695e-05,287024.4306349821,0.00024366379219670388,1.2651862621775676e-05,2175.4455020355936,-31.62988551415587,55.73698783740727,9.803559331521272e-18,6.148077602574631e-08,1
-25.0,15.0,2049.50495049505,0.518,0.5598607514744082,8.081226153360648,-23.3805827491521,-23.43168971744646,0.21858723044964581,0.020461659740764658,2.130702113254741e-06,1.0584019232509996e-06,2.130702113254741e-06,2.515811559902542e-06,3.549429100861065,0.6584445870345029,0.04288472090394417,3.896037766210689e-05,284697.10942331125,0.0010327465870906907,1.973045905526071e-05,9879.921880471884,-49.31882469058314,403.86443617034286,4.089475069343762e-18,6.826155640737852e-08,1
-25.0,20.0,2042.90429042904,0.592,0.5705967400710096,3.615415528545675,-22.0325550832597,-22.05383268940787,0.09657348440868913,0.008473169259595799,5.18786832794349e-06,1.9924581643212362e-06,5.18786832794349e-06,4.736054585978693e-06,4.117971875082661,0.6542629597903622,0.035105103857945796,3.928238502072822e-05,283014.39198057237,0.001986283201051616,2.8093502777769108e-05,19227.992099099472,-70.20733578370171,1296.2590695459294,4.9398961483870796e-18,7.519520295318216e-08,1
-25.0,25.0,2310.23102310231,0.618,0.5696041687583387,7.831040653990493,-20.8460744945177,-20.759878317233046,0.4134887712663804,0.034163629088197686,9.211389123687474e-06,2.9795838396126383e-06,9.211389123687474e-06,7.082443165230897e-06,4.705521821172694,0.6556706006160286,0.033484012026679146,4.4979369853208536e-05,281158.5044499225,0.00294970182098792,3.786776815687416e-05,28585.301336052325,-94.6132276924636,2718.832900122367,-1.6825462464259422e-17,9.531549949315377e-08,1
-25.0,30.0,3059.40594059406,0.621,0.5564877273119638,10.388449708218383,-19.2012196511554,-18.953416206745857,1.290560958686985,0.09758008842142975,1.4482803899714117e-05,4.0292986493802375e-06,1.4482803899714117e-05,9.57760553691523e-06,5.297377120973752,0.6621659306437497,0.03829917037880402,6.081289569485291e-05,277980.3654967382,0.004271458601526846,4.918562769918865e-05,41653.31361924281,-122.86813400092791,4739.60106961022,-5.656147208585316e-17,1.0714938980527222e-07,1
-25.0,34.9999999999999,3072.60726072607,0.644,0.5648368618738859,12.292412752502187,-17.5879985360918,-17.117242062835146,2.676577851030793,0.18420440854276837,2.038398310265332e-05,5.095418296694326e-06,2.038398310265332e-05,1.2111762055370397e-05,5.884772400535101,0.6572129693634166,0.03330287876118783,6.217156949869714e-05,275034.9090701633,0.005700624475050504,6.201044641270088e-05,55735.769080170605,-154.87916763145927,7509.42010369726,-1.1331267955189128e-16,9.112682164413854e-08,1
