case,cooling_min,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,mean_capacity_C,mean_length_C,mean_seven_nodes_C,field_min_C,field_max_C,field_range_K,cell_range_K,center_minus_left_EP_K,surface_left_C,surface_right_C,relative_field_range,Bi_stack
case1,-1.0,-30.0,-29.999999999999996,-29.999999999999996,-29.999999999999996,-29.999999999999993,-30.0,-30.0,-30.0,-29.999999999999993,-30.0,-30.0,-30.0,0.0,7.105427357601002e-15,3.552713678800501e-15,-30.0,-30.0,0.0,0.1396374269005848
case2,20.0,-9.087881969273099,-8.979009585661107,-8.949288960039002,-8.979009374705992,-9.087891327592377,-9.255414187841481,-9.255443318399895,-9.212324985868404,-9.16251914465596,-9.084848389073278,-9.456025460537937,-8.949045374704603,0.5069800858333338,0.13860236755337496,0.30612522780247886,-9.455996611742734,-9.456025460537937,0.02438849392674676,0.1396374269005848
case3,40.0,-22.095803630831313,-22.05465291175142,-22.043419345808587,-22.054652832419542,-22.095807168872458,-22.159126128803553,-22.159137140395664,-22.142839614819792,-22.124014398326892,-22.094657022697508,-22.234951586233407,-22.043327277357157,0.19162430887624993,0.0523878230638708,0.11570678299496606,-22.234940681113958,-22.234951586233407,0.02438849399557661,0.1396374269005848
