case,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor
case1,0.342680400302,95.8006970252,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1
case2,1,60,0,0,1,2,0.6,0.8,0.1,0.7,0.02,0,0
case3,3.31088635536,108.900887923,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1
