case,scale,dt_s,period_s,elapsed_wall_s,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,4,0.0125,0.2,2.69526419998,94.6400979519,96.6400979519,96.6400979519,2827.43281995,2246.20651287,17.0379785826,296.171886034,4794.50542537,3.592504072e-11,1.0459298358e-16,0.550992854018,0.349593199368,6.61559038472,0.0425413276529,6.54804671584,-13.4211806999,0.277517070661,0.0125215843842,0.431820647837,0,9.74015534894e-10,0.922541926224,19.3920293856,0.0425413276529,0.576969136023,0.349402700826,0,2751.84888121,1.0459298358e-16,True
case1,8,0.00625,0.2,6.0365317,94.6402891323,96.6402891323,96.6402891323,2826.99325958,2246.59778493,16.9672734118,296.154325602,4794.40399232,7.79380116001e-10,1.39734686495e-16,0.550803244095,0.353531075278,6.61820729569,0.0424428037179,6.54965987004,-13.4218372007,0.277241231366,0.0125254132564,0.431148766198,0,9.98479521286e-10,0.922518969167,19.3920867397,0.0424428037179,0.57674891877,0.35333840925,0,2751.40319902,3.26835455401e-16,True
case1,16,0.003125,0.2,18.6078085,94.6403816305,96.6403816305,96.6403816305,2826.8079648,2246.79709439,16.9313927582,296.145525478,4794.39092646,2.51816345553e-10,4.59358571146e-16,0.550707111467,0.355518761938,6.619343625,0.0423935084878,6.55033577778,-13.4219618038,0.27710331754,0.0125274148029,0.430796522701,0,9.99587967954e-10,0.922509256452,19.3921144891,0.0423935084878,0.576638107648,0.355325001683,0,2751.21473081,4.59358571146e-16,True
case2,4,0.0125,0.2,2.44365209999,84.7115852803,86.7115852803,86.7115852803,0,1818.25894734,-0.356608253373,422.603733209,1395.29860587,1.46656020661e-10,5.77554497283e-17,0.596325240158,0.137195362149,8.83467767309,0.209043833136,9.04372132941,-5.22534699759,0.327674541268,0.0118557546431,0.635154766658,0,9.99818894343e-10,0,16.4134755841,0.209043833136,0.608628748002,0.137090795359,0,0,1.23377328319e-16,True
case2,8,0.00625,0.2,5.1067304,84.7053904339,86.7053904339,86.7053904339,0,1818.16939866,-0.410291400177,422.565342363,1395.1937649,1.6814283299e-10,3.98486582273e-16,0.596248512444,0.138180569215,8.83483603863,0.209050893245,9.04388593228,-5.22589121975,0.327542659781,0.0118576513954,0.634313480916,0,9.99165195026e-10,0,16.4116171302,0.209050893245,0.608534239045,0.138074917635,0,0,3.98486582273e-16,True
case2,16,0.003125,0.2,16.4133496,84.70251403,86.70251403,86.70251403,0,1818.13269555,-0.437553527279,422.547320124,1395.1478219,-1.01181285572e-10,1.27930218502e-15,0.596209753554,0.138674255687,8.83487145484,0.209054137912,9.04392393628,-5.22612571575,0.327476209166,0.0118586321503,0.633896702038,0,9.99823335235e-10,0,16.410754209,0.209054137912,0.608487013164,0.138568059262,0,0,1.27930218502e-15,True
case3,4,0.0125,0.2,1.90915249998,94.6536642164,96.6536642164,96.6536642164,1758.13249913,2201.23856417,9.90668865259,371.088517243,3598.1892347,1.93551841221e-10,5.35368190752e-17,0.568894395427,0.279508990266,7.47034304052,0.466326306114,7.39011444296,-9.90977120037,0.293547598941,0.0123850703832,0.507464369665,0,9.92972815084e-10,0.548878774543,19.3960992649,0.466326306114,0.590091576645,0.279035312509,0,1703.74070327,1.30006682503e-16,True
case3,8,0.00625,0.2,5.70346220001,94.6537147611,96.6537147611,96.6537147611,1757.83791758,2201.51624547,9.84006710116,371.074752805,3598.11947735,5.42797806702e-10,4.94416790495e-16,0.568752677149,0.282088864016,7.47242207916,0.466327779742,7.39095160281,-9.91019740898,0.293323282219,0.0123884155497,0.506797645188,0,9.99900606757e-10,0.548857941091,19.3961144283,0.466327779742,0.589923907682,0.281609314673,0,1703.44834472,4.94752351067e-16,True
case3,16,0.003125,0.2,17.7970406,94.6537395857,96.6537395857,96.6537395857,1757.70797871,2201.65743693,9.80619381534,371.067866971,3598.10374248,4.60431692773e-11,6.90311523222e-16,0.568681031143,0.283386306431,7.4733257042,0.466328546707,7.3912727022,-9.91030376572,0.293209407762,0.0123900986636,0.506445687304,0,9.99634153231e-10,0.548848510909,19.3961218757,0.466328546707,0.589839833738,0.282903797411,0,1703.3194084,6.93378731167e-16,True
