time_s,input_current_density_A_m2,experiment_voltage_V,model_voltage_V,voltage_relative_error_percent,experiment_temperature_C,model_mean_temperature_full_domain_C,temperature_relative_error_percent_C_basis,model_max_ice_volume_fraction,voltage_absolute_error_V,temperature_absolute_error_C,model_mean_temperature_MEA_C,missing_value_reason
0.0,60.0,0.799,0.7766628049429591,2.795643937051427,-19.9953547791121,-19.999999999999996,0.023231500211993127,0.0,0.022337195057040904,0.004645220887898205,-20.000000000000007,
5.0,70.0,0.801,0.7694730971765497,3.9359429242759534,-19.9620982843207,-19.964336066191816,0.011210153558225959,2.8589147887007757e-24,0.03152690282345039,0.00223778187111634,-19.959990030735344,
10.0,1020.0,0.538,0.6264944798361464,16.448788073633146,-19.6517115275147,-19.681348206592183,0.1508096586701326,2.356062960105541e-24,0.08849447983614633,0.02963667907748402,-19.60507194145766,
15.0,2000.0,0.521,0.5900692460979262,13.2570529938438,-18.4097608264111,-18.548091805248855,0.7514001954838041,4.016635494921388e-12,0.0690692460979262,0.1383309788377538,-18.39172806880662,
20.0,1990.0,0.599,0.6025344008903416,0.5900502321104553,-17.0805443528141,-17.245918114074335,0.9681995950731398,2.6495178594309425e-11,0.003534400890341627,0.16537376126023418,-17.092191735123652,
25.0,2230.0,0.626,0.6010673785569992,3.9828468758787205,-15.9041485054811,-16.025550470371613,0.7633352068403646,5.336728407231768e-11,0.02493262144300079,0.12140196489051291,-15.853092579454717,
30.0,2990.0,0.633,0.5886337400790155,7.008887823220304,-14.2732706016666,-14.329692766930108,0.39529948557775546,1.2090218370584355e-10,0.04436625992098453,0.05642216526350907,-14.09481630393484,
35.0,3000.0,0.666,0.5963218121135261,10.462190373344438,-12.6655908431115,-12.587510496719196,0.6164761467466079,2.0177010567061713e-10,0.06967818788647395,0.07808034639230499,-12.353587735861682,
