case,first_success_s,stop_s,margin_until_deadline_s,E_aux_J,post_min_T_C,remains_above_freezing_after_shutdown
case1,94.6396886587,96.6396886587,0.026978007966675932,2828.46932138,-4.11508309714,False
case2,84.7245963216,86.7245963216,9.942070345066668,0,0.209030238911,True
case3,94.6535601258,96.6535601258,0.013106540866672844,1758.79120459,-1.85635583498,False
