case,comparison,metric,base,refined,absolute_change,relative_change_percent
case1,time_step_halved,E_aux_J,2828.46932138,2828.11200338,-0.3573180000003049,-0.012632910574613222
case1,time_step_halved,first_success_s,94.6396886587,94.640081951,0.0003932923000036226,0.0004155680408268843
case1,time_step_halved,stop_s,96.6396886587,96.640081951,0.0003932923000036226,0.0004069676811486876
case1,time_step_halved,min_voltage_V,0.551350156543,0.551252481226,-9.76753170000011e-05,-0.017715659611385885
case1,time_step_halved,max_ice_bulk,0.341931752391,0.339256472815,-0.0026752795760000003,-0.7824016217542763
case1,time_step_halved,dTmax_K,6.60958157854,6.61144597386,0.0018643953200001562,0.028207463632092502
case1,spatial_mesh_doubled,E_aux_J,2828.46932138,2827.75154724,-0.7177741400000741,-0.025376769497711033
case1,spatial_mesh_doubled,first_success_s,94.6396886587,94.6397019863,1.3327600001389328e-05,1.4082463911576017e-05
case1,spatial_mesh_doubled,stop_s,96.6396886587,96.6397019863,1.3327600001389328e-05,1.3791021252622289e-05
case1,spatial_mesh_doubled,min_voltage_V,0.551350156543,0.551083499548,-0.00026665699500005857,-0.04836436370527481
case1,spatial_mesh_doubled,max_ice_bulk,0.341931752391,0.354940715506,0.013008963114999994,3.804549599162176
case1,spatial_mesh_doubled,dTmax_K,6.60958157854,6.61392997266,0.004348394119999988,0.06578924956639252
case1,control_period_halved,E_aux_J,2828.46932138,2830.21586295,1.746541569999863,0.061748648175110186
case1,control_period_halved,first_success_s,94.6396886587,94.6259131849,-0.013775473799995552,-0.014555704900587928
case1,control_period_halved,stop_s,96.6396886587,96.6259131849,-0.013775473799995552,-0.014254468315441344
case1,control_period_halved,min_voltage_V,0.551350156543,0.551416461068,6.630452500000494e-05,0.012025846771448922
case1,control_period_halved,max_ice_bulk,0.341931752391,0.341576930111,-0.00035482228000000005,-0.10376991242224844
case1,control_period_halved,dTmax_K,6.60958157854,6.60636053468,-0.0032210438599999947,-0.04873294658255047
case2,time_step_halved,E_aux_J,0.0,0.0,0.0,undefined_zero_baseline
case2,time_step_halved,first_success_s,84.7245963216,84.7228104889,-0.0017858327000084273,-0.0021078090395730107
case2,time_step_halved,stop_s,86.7245963216,86.7228104889,-0.0017858327000084273,-0.0020591997838606715
case2,time_step_halved,min_voltage_V,0.59647254395,0.596439552183,-3.299176700000128e-05,-0.005531145957116654
case2,time_step_halved,max_ice_bulk,0.135272828288,0.134251556556,-0.0010212717320000064,-0.7549718187496514
case2,time_step_halved,dTmax_K,8.83425893993,8.8352452345,0.0009862945699996573,0.011164429033675939
case2,spatial_mesh_doubled,E_aux_J,0.0,0.0,0.0,undefined_zero_baseline
case2,spatial_mesh_doubled,first_success_s,84.7245963216,84.713278532,-0.011317789599999628,-0.013358328149524897
case2,spatial_mesh_doubled,stop_s,86.7245963216,86.713278532,-0.011317789599999628,-0.013050264953704685
case2,spatial_mesh_doubled,min_voltage_V,0.59647254395,0.596356181184,-0.00011636276600002216,-0.01950848654817151
case2,spatial_mesh_doubled,max_ice_bulk,0.135272828288,0.139142803253,0.003869974964999995,2.8608664533580237
case2,spatial_mesh_doubled,dTmax_K,8.83425893993,8.83377029181,-0.0004886481200010451,-0.005531285910042806
case2,control_period_halved,E_aux_J,0.0,0.0,0.0,undefined_zero_baseline
case2,control_period_halved,first_success_s,84.7245963216,84.7245963216,0.0,0.0
case2,control_period_halved,stop_s,86.7245963216,86.7245963216,0.0,0.0
case2,control_period_halved,min_voltage_V,0.59647254395,0.59647254395,0.0,0.0
case2,control_period_halved,max_ice_bulk,0.135272828288,0.135272828288,0.0,0.0
case2,control_period_halved,dTmax_K,8.83425893993,8.83425893993,0.0,0.0
case3,time_step_halved,E_aux_J,1758.79120459,1758.57368197,-0.21752261999995426,-0.012367734125135222
case3,time_step_halved,first_success_s,94.6535601258,94.6536791891,0.00011906330000499565,0.00012578850689477894
case3,time_step_halved,stop_s,96.6535601258,96.6536791891,0.00011906330000499565,0.00012318563315208268
case3,time_step_halved,min_voltage_V,0.569163706111,0.569095390494,-6.83156169999366e-05,-0.012002806269346607
case3,time_step_halved,max_ice_bulk,0.274468471395,0.272403883441,-0.0020645879539999967,-0.7522131571275283
case3,time_step_halved,dTmax_K,7.46563039432,7.46731134881,0.0016809544900002749,0.022515908251755652
case3,spatial_mesh_doubled,E_aux_J,1758.79120459,1758.3299479,-0.46125669000002745,-0.026225778750556872
case3,spatial_mesh_doubled,first_success_s,94.6535601258,94.653543663,-1.6462800005001554e-05,-1.7392689702449174e-05
case3,spatial_mesh_doubled,stop_s,96.6535601258,96.653543663,-1.6462800005001554e-05,-1.7032792153309513e-05
case3,spatial_mesh_doubled,min_voltage_V,0.569163706111,0.568958055413,-0.0002056506979999373,-0.03613208217458453
case3,spatial_mesh_doubled,max_ice_bulk,0.274468471395,0.283568401254,0.009099929858999989,3.315473654496318
case3,spatial_mesh_doubled,dTmax_K,7.46563039432,7.468833413,0.003203018679999836,0.04290352603628431
case3,control_period_halved,E_aux_J,1758.79120459,1759.72568127,0.9344766799999888,0.05313175762769572
case3,control_period_halved,first_success_s,94.6535601258,94.6210743964,-0.03248572939999406,-0.03432066301237763
case3,control_period_halved,stop_s,96.6535601258,96.6210743964,-0.03248572939999406,-0.03361048403981402
case3,control_period_halved,min_voltage_V,0.569163706111,0.56920261399,3.8907879000071866e-05,0.006835973302992714
case3,control_period_halved,max_ice_bulk,0.274468471395,0.274201182815,-0.00026728858000002464,-0.09738407425869966
case3,control_period_halved,dTmax_K,7.46563039432,7.46629112353,0.0006607292099998219,0.008850280218834806
