case,strategy,initial_shift_K,G_factor,G_EP_factor,h_factor,seed,noise_T_K,noise_V_V,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,constant_hold,-1,1,1,1,6000,0.2,0.005,26.9287241518,29,29,3352.77088011,206.783859255,-1.11009803696,104.652158771,3453.79248256,2.84472889689e-10,2.80672837402e-19,0.659118134848,0.014129223141,27.5437769323,1.60269403371,29.146470966,-24.0531961849,0.3916,0.00489280559463,0.423858397741,0,2.65245603259e-11,1,1.81289046112,1.60269403371,0.659123378558,0.0140442886179,0,3113.30490258,3.13063377305e-19,0.659186215554,0.014129223141,26.0659542139,2.1025,1,2.07127584815,0.638936726757,6.05466633873e-05,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6001,0.2,0.005,26.9287241518,29.6,29.6,3422.13855349,215.396868201,-1.1712306005,108.473055245,3527.89113585,2.89603008241e-10,3.02627931395e-19,0.659118134848,0.014129223141,27.9497635128,2.05933839277,30.0091019056,-23.8236024831,0.3916,0.00499379754335,0.423858397741,0,2.71072053692e-11,1,1.81289046112,2.05933839277,0.659145470455,0.0139882044812,0,3113.30490258,3.18890963982e-19,0.659186215554,0.014129223141,26.0659542139,2.1904,1,2.67127584815,0.694241104571,5.14920963663e-05,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6002,0.2,0.005,26.9287241518,29.6,29.6,3422.13855349,215.396868201,-1.1712306005,108.473055245,3527.89113585,2.89603008241e-10,3.02627931395e-19,0.659118134848,0.014129223141,27.9497635128,2.05933839277,30.0091019056,-23.8236024831,0.3916,0.00499379754335,0.423858397741,0,2.71072053692e-11,1,1.81289046112,2.05933839277,0.659145470455,0.0139882044812,0,3113.30490258,3.18890963982e-19,0.659186215554,0.014129223141,26.0659542139,2.1904,1,2.67127584815,0.710164419313,8.27805925384e-05,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6003,0.2,0.005,26.9287241518,29.4,29.4,3399.0159957,212.50676043,-1.15063142041,107.193337876,3503.17878683,2.8764191029e-10,3.0913314443e-19,0.659118134848,0.014129223141,27.8155084818,1.90748940203,29.7229978838,-23.9003866688,0.3916,0.00496012329369,0.423858397741,0,2.69011479759e-11,1,1.81289046112,1.90748940203,0.65913623982,0.0140084347756,0,3113.30490258,3.13063377305e-19,0.659186215554,0.014129223141,26.0659542139,2.1609,1,2.47127584815,0.626991712411,0.000111293754102,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6004,0.2,0.005,26.9287241518,29.4,29.4,3399.0159957,212.50676043,-1.15063142041,107.193337876,3503.17878683,2.8764191029e-10,3.0913314443e-19,0.659118134848,0.014129223141,27.8155084818,1.90748940203,29.7229978838,-23.9003866688,0.3916,0.00496012329369,0.423858397741,0,2.69011479759e-11,1,1.81289046112,1.90748940203,0.65913623982,0.0140084347756,0,3113.30490258,3.13063377305e-19,0.659186215554,0.014129223141,26.0659542139,2.1609,1,2.47127584815,0.648471194736,5.52265642006e-05,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6005,0.2,0.005,26.9287241518,29.4,29.4,3399.0159957,212.50676043,-1.15063142041,107.193337876,3503.17878683,2.8764191029e-10,3.0913314443e-19,0.659118134848,0.014129223141,27.8155084818,1.90748940203,29.7229978838,-23.9003866688,0.3916,0.00496012329369,0.423858397741,0,2.69011479759e-11,1,1.81289046112,1.90748940203,0.65913623982,0.0140084347756,0,3113.30490258,3.13063377305e-19,0.659186215554,0.014129223141,26.0659542139,2.1609,1,2.47127584815,0.632536700329,4.24270257731e-05,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6006,0.2,0.005,26.9287241518,29.4,29.4,3399.0159957,212.50676043,-1.15063142041,107.193337876,3503.17878683,2.8764191029e-10,3.0913314443e-19,0.659118134848,0.014129223141,27.8155084818,1.90748940203,29.7229978838,-23.9003866688,0.3916,0.00496012329369,0.423858397741,0,2.69011479759e-11,1,1.81289046112,1.90748940203,0.65913623982,0.0140084347756,0,3113.30490258,3.13063377305e-19,0.659186215554,0.014129223141,26.0659542139,2.1609,1,2.47127584815,0.592423648609,0.000101496506609,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6007,0.2,0.005,26.9287241518,29.2,29.2,3375.8934379,209.635754937,-1.13026388513,105.919700836,3478.47922812,2.86235035674e-10,2.98020072162e-19,0.659118134848,0.014129223141,27.6801814949,1.7552757923,29.4354572872,-23.9769183871,0.3916,0.00492645941847,0.423858397741,0,2.67128541509e-11,1,1.81289046112,1.7552757923,0.65912886397,0.0140271328217,0,3113.30490258,3.13063377305e-19,0.659186215554,0.014129223141,26.0659542139,2.1316,1,2.27127584815,0.606713188671,9.68517237804e-05,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6008,0.2,0.005,26.9287241518,29.6,29.6,3422.13855349,215.396868201,-1.1712306005,108.473055245,3527.89113585,2.89603008241e-10,3.02627931395e-19,0.659118134848,0.014129223141,27.9497635128,2.05933839277,30.0091019056,-23.8236024831,0.3916,0.00499379754335,0.423858397741,0,2.71072053692e-11,1,1.81289046112,2.05933839277,0.659145470455,0.0139882044812,0,3113.30490258,3.18890963982e-19,0.659186215554,0.014129223141,26.0659542139,2.1904,1,2.67127584815,0.655488910835,5.79325677542e-05,0,98.6666666667,True,sensor,0.2
case1,constant_hold,-1,1,1,1,6009,0.2,0.005,26.9287241518,29.4,29.4,3399.0159957,212.50676043,-1.15063142041,107.193337876,3503.17878683,2.8764191029e-10,3.0913314443e-19,0.659118134848,0.014129223141,27.8155084818,1.90748940203,29.7229978838,-23.9003866688,0.3916,0.00496012329369,0.423858397741,0,2.69011479759e-11,1,1.81289046112,1.90748940203,0.65913623982,0.0140084347756,0,3113.30490258,3.13063377305e-19,0.659186215554,0.014129223141,26.0659542139,2.1609,1,2.47127584815,0.682950589902,9.21072513473e-05,0,98.6666666667,True,sensor,0.2
