case,stage,evaluation_dt_s,evaluation_scale,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C,selected
case3,warm_start_recheck,0.1,1,0.876907516016,3.31088635536,87.1207103384,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,75.7049449682,78.6,78.6,1966.80543774,1587.83213388,6.43747842743,304.970935069,3256.10411498,1.37561073643e-11,3.24935391094e-18,0.584716927546,0.168808405544,6.65096393249,0.843200978059,7.49130566949,-11.6986883642,0.327078853429,0.0115826185638,0.510362262906,0,9.93832571794e-10,0.700621688128,13.7114834905,0.843200978059,0.601787417806,0.168082016978,0,1866.82418167,3.63072202511e-18,0.584716927546,0.168808405544,6.64574710922,14.58,1,2.89505503178,0,0,0,98.6666666667,True,sensor,0.2,
case3,warm_start_recheck,0.1,1,0.84258444956,3.31088635536,98.0107991307,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,85.1853281498,88.2,88.2,1889.82264022,1911.2110656,8.22910859678,341.635254432,3467.62755998,1.21644916362e-11,2.17382535583e-18,0.576538904869,0.216796395675,7.08872949046,0.782579674744,7.6648566115,-10.6387422493,0.31035249418,0.0119800438559,0.510362262906,0,9.98902294214e-10,0.623877717927,16.5555984449,0.782579674744,0.597480604098,0.215893434531,0,1797.07525776,3.29760090761e-18,0.576538904869,0.216796395675,7.08872949046,17.46,1,3.01467185021,0,0,0,98.6666666667,True,sensor,0.2,
case3,warm_start_recheck,0.1,1,0.7969546777,3.31088635536,108.900887923,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,94.6528274298,97.6,97.6,1787.48016764,2229.98832951,10.4009490559,377.074724129,3650.79472208,-1.86446413863e-11,1.10734988887e-17,0.569938322638,0.268761201871,7.44694031968,0.687286178751,7.5702916401,-9.6920377654,0.293838967816,0.0124020261457,0.510304262526,0,9.99480942454e-10,0.552873344263,19.3958482289,0.687286178751,0.592227443023,0.267800313226,0,1706.95407526,1.10734988887e-17,0.569938322638,0.268761201871,7.44694031968,20.28,1,2.94717257023,0,0,0,98.6666666667,True,sensor,0.2,
case3,warm_start_recheck,0.1,1,10.7349035747,3.31088635536,114.345932319,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,-1,-1,98.6666666667,1636.286809,2271.68635876,12.6719838015,372.812444359,3547.83270721,-1.99520400201e-11,1.17749776943e-17,0.567092554046,0.295937351725,7.60397175728,-0.160770539242,6.79274410269,-10.020341926,0.290301361853,0.0124884504748,0.509944710258,0,9.99700100479e-10,0.504462028238,-1,,,,,,1.17749776943e-17,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case3,warm_start_recheck,0.1,1,0.880532460139,3.31088635536,85.378296132,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,74.1884160042,77,77,1974.9357818,1534.17354718,6.19369806918,298.709665298,3216.59336175,-9.94759830064e-12,2.99863215855e-18,0.586210781172,0.161553935107,6.57022698924,0.835999420094,7.40622640933,-11.8891162589,0.329817953573,0.0115197966992,0.510362262906,0,9.9985442148e-10,0.713755297903,13.2565248013,0.835999420094,0.60233384498,0.160885002696,0,1875.9741738,3.20978053164e-18,0.586210781172,0.161553935107,6.54810273345,14.1,1,2.81158399582,0,0,0,98.6666666667,True,sensor,0.2,
case3,warm_start_recheck,0.1,1,0.848391697329,3.31088635536,96.0505831485,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,83.4806963205,86.4,86.4,1902.84764717,1850.53790558,7.90429387254,334.59184145,3426.69800517,2.6147972676e-12,7.57586268024e-19,0.577879443729,0.207841815967,7.01655664179,0.772976566668,7.63908792913,-10.84160828,0.313453355728,0.0119040077649,0.510362262906,0,9.99571980742e-10,0.63654419431,16.0442088962,0.772976566668,0.598243411187,0.207014776018,0,1811.20129543,2.79100744252e-18,0.577879443729,0.207841815967,7.01655664179,16.92,1,2.91930367947,0,0,0,98.6666666667,True,sensor,0.2,
case3,warm_start_recheck,0.1,1,0.807755576613,3.31088635536,106.722870165,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,92.7581637144,95.8,95.8,1811.70537534,2168.66769955,9.9149005528,370.47792371,3619.81005174,-8.35598257254e-12,1.01600585584e-17,0.571154758319,0.258086123266,7.38043879772,0.724105929232,7.61503788535,-9.85774953215,0.297043813414,0.012317795659,0.510362262906,0,9.99650140443e-10,0.567071489888,18.8274491143,0.724105929232,0.593406547692,0.257081769573,0,1726.51877129,1.01600585584e-17,0.571154758319,0.258086123266,7.38043879772,19.74,1,3.04183628559,0,0,0,98.6666666667,True,sensor,0.2,
case3,warm_start_recheck,0.1,1,10.7625599038,3.31088635536,112.059013673,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,97.4012794256,-1,98.6666666667,1710.33653832,2268.79963606,11.5945206593,377.236040116,3613.49465491,1.27329258248e-11,1.26895022268e-17,0.568255360971,0.284470660233,7.53954471722,0.286614136267,7.19872598453,-9.78948513642,0.291195206043,0.0124689118782,0.510094767187,0,9.98520377493e-10,0.526570474942,20.2203838277,,,,,1677.20625022,1.26895022268e-17,0.568255360971,0.284470660233,7.53954471722,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case3,default_recheck,0.1,1,0.908829847615,1,60,0.15,0.015,1,2,0.6,0.8,0.1,0.7,0.02,0.1,1,57.3502211094,60.4,60.4,2038.4036556,978.394840009,3.53524177395,236.221288987,2784.11244839,-2.245315045e-11,-9.45966395494e-20,0.606010454577,0.090149471934,5.16963127949,0.189090465601,5.35872174509,-13.7987583789,0.357709759014,0.0109199650707,0.510362262906,0,9.96502436124e-10,0.902375269208,8.22261965324,0.189090465601,0.606013509108,0.0899496624376,0,1929.39747082,1.1113072268e-19,0.607445243884,0.090149471934,3.70760138918,9.12,1,3.04977889061,0,0,0,98.6666666667,True,sensor,0.2,
case3,DE_seed_260927,0.1,1,0.961217518291,3.52631586588,19.4957965398,0.0835977352494,0.00887599258996,0.131567851574,2,0.6,0.8,0.1,0.7,0.02,0.331787625411,1,28.306238246,31.2,31.2,2155.90333906,244.04298895,-1.03863509094,140.760712398,2258.14698052,-6.62225829728e-12,4.31647989921e-20,0.654733282037,0.0092173576965,7.12880151553,0.721814050837,5.04823263991,-16.4707336269,0.3916,0.00528366609544,0.510362262906,0,7.83222375844e-10,1,2.00310780909,0.721814050837,0.654733282037,0.00918304569439,0,2011.21525136,7.23704950134e-20,0.658099609952,0.0092173576965,7.12880151553,2.4336,1,2.89376175404,0,0,0,98.6666666667,True,sensor,0.2,
