elapsed_wall_s,workers,coarse_dt_s,coarse_mesh_scale,final_dt_s,final_mesh_scale,hold_s,deadline_s,DE_maxiter,DE_popsize,evaluated_unique_candidates,target,optimality_claim,phase,ray_shape_count,ray_level_count,bracket_steps
425.9852345,4,0.05,1,0.025,2,2,96.6666666667,15,7,2844,minimum_auxiliary_energy_subject_to_common_success_hold_and_deadline,finite_search_best_found,,,,
369.2502035,4,,,,,,,,,3704,,finite_search_best_found,deterministic_low_power_ray_refinement,4,13,9
