node,capacity_J_m2K,capacity_J_K
T1_C,4610.799660000002,11.526999150000007
T2_C,3094.11966,7.7352991499999995
T3_C,3094.11966,7.7352991499999995
T4_C,3094.11966,7.7352991499999995
T5_C,4610.799660000001,11.526999150000002
TEL_C,39500.0,98.75
TER_C,39500.0,98.75
