case,candidate,stage,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,1,training,2005,0.2,0.005,1,1,0.8,1,92.277416265,96.6,96.6,2419.83596503,2230.61710127,14.6055620306,315.416526718,4349.64210162,3.46744855051e-11,2.72384111794e-17,0.555990320929,0.320958082625,6.71651046991,0.57623576373,7.29274623364,-14.5931777776,0.282680921714,0.0124593926003,0.442382767417,0,3.55301343902e-10,0.868967950091,18.6832248795,0.57623576373,0.583558364852,0.318338946325,0,2265.48761624,2.77853911754e-17,0.555990320929,0.320958082625,6.70110701563,19.98,1,4.32258373499,2.0286548264,0.00132324321504,0,98.6666666667,True,sensor,0.2
case1,2,training,2000,0.2,0.005,-1,1,1.2,1.2,92.6621832728,95.6,95.6,3536.70352102,2205.15912498,15.5266286021,353.870695277,5403.51857933,-9.83391146292e-12,2.61471616927e-17,0.553351164931,0.327832230458,6.33934462171,0.810633519981,7.07069737711,-11.7158000832,0.280839608581,0.0124355953745,0.423858397741,0,3.66740415814e-10,1,18.7986549819,0.810633519981,0.582175623565,0.326430651093,0,3389.81268466,2.61471616927e-17,0.553351164931,0.327832230458,6.33934462171,19.68,1,2.93781672716,1.7833282779,0.00176732626506,0,98.6666666667,True,sensor,0.2
case1,2,training,2001,0.2,0.005,0,1,1.2,1,90.3106920004,93.8,93.8,3310.79129631,2139.42210495,14.7329238035,295.38829272,5169.55803234,-5.19548848388e-11,2.24955687758e-17,0.555639370828,0.312905914886,6.37803116967,1.0148253077,7.10153614505,-11.7040103997,0.285595105064,0.0123330791201,0.433085516812,0,3.52073037391e-10,1,18.0932076001,1.0148253077,0.584618833648,0.310858767286,0,3136.32589633,2.24955687758e-17,0.555639370828,0.312905914886,6.37803116967,19.14,1,3.48930799961,1.73648650546,0.000571174006055,0,98.6666666667,True,sensor,0.2
case1,2,training,2002,0.2,0.005,1,0.8,1,0.8,89.3106457829,92.2,92.2,2760.37439861,2077.27679487,12.9889960946,236.91691305,4613.72327653,-6.01971805736e-11,2.68258722527e-17,0.558364276727,0.30316161319,7.8553505811,0.913003673792,8.32035724748,-13.3947072745,0.289766807177,0.012252010797,0.442435445386,0,3.63225893807e-10,0.955055194178,17.7931937349,0.913003673792,0.585548283996,0.301622780843,0,2628.40749788,2.68258722527e-17,0.558364276727,0.30316161319,7.8553505811,18.66,1,2.88935421706,0.772453764242,0.000655993172715,0,98.6666666667,True,sensor,0.2
case1,2,training,2003,0.2,0.005,-1,1,1,1,90.0716778398,93.2,93.2,3087.75485583,2124.48570379,15.6511798829,283.385618541,4944.50612096,-1.25055521494e-12,1.97845212435e-17,0.553963861582,0.320168961662,6.32055902169,1.00245024543,6.87793172455,-14.0542045204,0.284548804896,0.0123225002882,0.423858397741,0,3.66916275141e-10,1,18.0215033519,1.00245024543,0.583118398426,0.318266384641,0,2931.37230885,1.97845212435e-17,0.553963861582,0.320168961662,6.32055902169,18.96,1,3.12832216025,0.667057279633,0.000633436692166,0,98.6666666667,True,sensor,0.2
case1,2,training,2004,0.2,0.005,0,1.2,1,1.2,89.5204866052,93.2,93.2,3001.52877653,2121.82532532,15.8214439813,351.698919698,4787.47662614,-4.61000126961e-11,1.62581536775e-17,0.556481709652,0.310636938693,5.53203590371,1.15532133655,6.05741539741,-13.5597155377,0.286718643595,0.0123017363683,0.433085516812,0,3.39567485241e-10,1,17.8561459815,1.15532133655,0.585139315871,0.308302260609,0,2819.4029668,1.62581536775e-17,0.556481709652,0.310636938693,5.53203590371,18.96,1,3.67951339484,0.691691893867,0.000823807867668,0,98.6666666667,True,sensor,0.2
case1,2,training,2005,0.2,0.005,1,1,0.8,1,89.5002708077,93.4,93.4,2452.88060911,2119.51926066,13.6348911548,304.88322333,4281.1515376,2.36468622461e-11,2.56890862749e-17,0.558712402189,0.300612581044,6.5391892273,1.29577371898,7.26885324439,-15.0187401275,0.288802997631,0.0122883658761,0.442435445386,0,3.41125794279e-10,0.899014790848,17.8500812423,1.29577371898,0.587294856861,0.297841906129,0,2291.34069331,2.56890862749e-17,0.558712402189,0.300612581044,6.5391892273,19.02,1,3.89972919226,2.02174179539,0.00108199189493,0,98.6666666667,True,sensor,0.2
case1,3,training,2000,0.2,0.005,-1,1,1.2,1.2,90.2770879984,93.6,93.6,3604.9051962,2131.53549373,13.8550533539,352.475026653,5397.82071663,-7.1452177508e-11,2.42031871975e-17,0.55726075064,0.304950670591,6.44908943966,0.910494007525,7.29483872702,-11.7781855372,0.286081581027,0.0123233855378,0.423858397741,0,3.71916719644e-10,1,18.0831263995,0.910494007525,0.585360082966,0.303292524365,0,3438.75959612,2.42031871975e-17,0.55726075064,0.304950670591,6.44908943966,19.08,1,3.32291200161,1.80386429571,0.00163072291319,0,98.6666666667,True,sensor,0.2
case1,3,training,2001,0.2,0.005,0,1,1.2,1,87.443583703,91.2,91.2,3370.2624215,2046.19276198,13.0887641326,291.069439624,5138.47450799,-7.16795511835e-11,2.0315780308e-17,0.559575689393,0.288088726086,6.25535975001,1.06627703988,7.31284659157,-11.8831936814,0.291607513622,0.0121994416398,0.433085516812,0,3.57936791318e-10,1,17.2330751109,1.06627703988,0.587731601327,0.286011186567,0,3182.44160665,2.0315780308e-17,0.559575689393,0.288088726086,6.25314292829,18.36,1,3.75641629696,1.74997445037,0.000506152353124,0,98.6666666667,True,sensor,0.2
case1,3,training,2002,0.2,0.005,1,0.8,1,0.8,85.3202264786,88.4,88.4,2796.56662341,1945.39083078,11.7533802323,228.206069893,4525.50476453,-5.07327513333e-11,1.77055635778e-17,0.562397188418,0.275734797623,7.56464389011,1.08061704442,8.32649737736,-13.8600368346,0.297401766662,0.0120687377193,0.442435445386,0,3.68668207074e-10,0.998771866295,16.5960679436,1.08061704442,0.588857788966,0.274126643776,0,2649.76239599,1.77055635778e-17,0.562397188418,0.275734797623,7.56464389011,17.52,1,3.07977352143,0.772453732475,0.000705773899691,0,98.6666666667,True,sensor,0.2
case1,3,training,2003,0.2,0.005,-1,1,1,1,86.6240911722,89.8,89.8,3113.75275234,2004.56259815,14.1512666809,274.696619208,4857.76999796,1.81898940355e-11,1.2502477352e-17,0.557971936182,0.294083625896,6.06836960188,0.94355315127,6.9377547203,-14.4939617775,0.291610868842,0.0121584229029,0.423858397741,0,3.72445185803e-10,1,16.9872273517,0.94355315127,0.58588543856,0.292482017414,0,2954.95731095,1.2502477352e-17,0.557971936182,0.294083625896,6.06836960188,17.94,1,3.17590882778,0.667057280191,0.000593420637694,0,98.6666666667,True,sensor,0.2
case1,3,training,2004,0.2,0.005,0,1.2,1,1.2,85.9159513831,89,89,3000.49831055,1975.2934722,14.3432260625,335.527742794,4654.60726602,-3.35376171279e-11,1.00722381824e-17,0.560494960099,0.283577787801,5.324820774,0.953477788925,5.9702078163,-14.1908354602,0.29473529375,0.0121097592684,0.433085516812,0,3.45873552021e-10,1,16.7747854149,0.953477788925,0.587373190568,0.282059582746,0,2846.30763965,1.00722381824e-17,0.560494960099,0.283577787801,5.324820774,17.7,1,3.08404861689,0.692012954582,0.000766111815635,0,98.6666666667,True,sensor,0.2
case1,3,training,2005,0.2,0.005,1,1,0.8,1,85.3023855448,88.2,88.2,2433.90337034,1941.0609132,12.6696497645,285.329717328,4102.30421597,2.50111042988e-12,1.48118279794e-17,0.562761155504,0.272999519099,6.29715022586,0.983714365521,6.95090199898,-15.8512155606,0.29797961312,0.0120607106091,0.442435445386,0,3.47220474595e-10,0.913612224523,16.5907156634,0.983714365521,0.588939185878,0.271629525163,0,2309.96820379,1.48118279794e-17,0.562761155504,0.272999519099,6.29715022586,17.46,1,2.89761445523,1.9744168058,0.000910883269839,0,98.6666666667,True,sensor,0.2
case1,4,training,2000,0.2,0.005,-1,1,1.2,1.2,92.0438796878,95.4,95.4,3556.60730569,2196.59140197,14.9910071492,355.700552424,5412.48916239,-5.3091753216e-11,2.62328136644e-17,0.554287801201,0.321903999129,6.78518561757,0.417243524154,7.20224271566,-11.6436196294,0.281775844562,0.0124295241586,0.423858397741,0,3.75993014501e-10,1,18.6131639063,0.417243524154,0.582176401459,0.320493637897,0,3401.91630867,2.62328136644e-17,0.554287801201,0.321903999129,6.34883695413,19.62,1,3.35612031222,1.79160723759,0.00177397563226,0,98.6666666667,True,sensor,0.2
case1,4,training,2001,0.2,0.005,0,1,1.2,1,89.6611214161,93,93,3304.25733222,2111.4023703,14.455630546,292.980660926,5137.13467213,-5.25233190274e-11,2.20103883036e-17,0.556479268503,0.30736220043,6.451734654,0.631424177896,7.0831588319,-11.8206126476,0.287147821264,0.0123037949643,0.433085516812,0,3.53210793946e-10,1,17.8983364248,0.631424177896,0.584308289882,0.305705701997,0,3145.940121,2.20103883036e-17,0.556479268503,0.30736220043,6.3192861231,18.9,1,3.33887858391,1.73581596148,0.000556879403787,0,98.6666666667,True,sensor,0.2
case1,4,training,2002,0.2,0.005,1,0.8,1,0.8,88.6213856459,91.8,91.8,2773.27395898,2062.70691156,12.633691636,236.843734822,4611.77082735,-5.75255398871e-11,2.61384880754e-17,0.559111291012,0.297854064939,7.80158280609,0.666165071125,8.41908194356,-13.3885859322,0.290850081246,0.0122367739258,0.442435445386,0,3.64238861295e-10,0.960176649204,17.5864156938,0.666165071125,0.585717726709,0.296140572743,0,2635.64127015,2.61384880754e-17,0.559111291012,0.297854064939,7.80158280609,18.54,1,3.17861435414,0.77245498462,0.000662651498302,0,98.6666666667,True,sensor,0.2
case1,4,training,2003,0.2,0.005,-1,1,1,1,89.1376742721,92.2,92.2,3078.82027495,2089.51139673,15.3231931907,280.277237748,4903.37762712,3.74029696104e-11,1.6959090382e-17,0.554938528137,0.31348680736,6.263015964,0.618539212298,6.85409531179,-14.211619654,0.28646425235,0.0122835269105,0.423858397741,0,3.68281405372e-10,1,17.7413022816,0.618539212298,0.582943393302,0.311939456217,0,2935.15549917,1.69899901439e-17,0.554938528137,0.31348680736,6.263015964,18.66,1,3.06232572794,0.667057279767,0.000623091490371,0,98.6666666667,True,sensor,0.2
case1,4,training,2004,0.2,0.005,0,1.2,1,1.2,88.6934331775,91.8,91.8,2965.01134611,2073.84181783,15.663577592,344.592616607,4709.92412492,-2.12025952351e-11,1.35666217843e-17,0.557342740281,0.304580924728,5.567695884,0.329908172017,5.89760405601,-13.8447480414,0.288992591766,0.0122616981815,0.433085516812,0,4.57872184612e-10,1,17.6080299532,0.329908172017,0.58366119932,0.303086649495,0,2824.39972673,1.35666217843e-17,0.557342740281,0.304580924728,5.48772614324,18.54,1,3.10656682253,0.691759605657,0.000808134052604,0,98.6666666667,True,sensor,0.2
case1,4,training,2005,0.2,0.005,1,1,0.8,1,88.7175569773,91.8,91.8,2411.66612141,2065.48764549,13.6808278162,297.336709374,4193.49788534,9.49285094975e-12,2.19865358558e-17,0.559464465976,0.295257464273,6.62045047178,0.411865733952,7.03231620573,-15.3442568306,0.291189704891,0.0122426962767,0.442435445386,0,3.524081027e-10,0.88079800951,17.6152670932,0.411865733952,0.585461187168,0.293692180935,0,2295.6919095,2.19865358558e-17,0.559464465976,0.295257464273,6.49469035274,18.54,1,3.08244302273,1.99724685492,0.00100901529808,0,98.6666666667,True,sensor,0.2
case1,5,training,2000,0.2,0.005,-1,1,1.2,1.2,90.4203904748,93.8,93.8,3604.64147321,2138.58263888,13.9265219209,353.136562091,5404.01407192,-6.62225829728e-11,2.37424012742e-17,0.557011375039,0.306313315243,6.44023897775,0.926390230141,7.30119624219,-11.7504716233,0.285677851505,0.0123327607049,0.423858397741,0,3.71565000989e-10,1,18.1261171424,0.926390230141,0.585258017747,0.304589478821,0,3435.66099695,2.37424012742e-17,0.557011375039,0.306313315243,6.44023897775,19.14,1,3.37960952521,1.80333885739,0.00162637149881,0,98.6666666667,True,sensor,0.2
case1,5,training,2001,0.2,0.005,0,1,1.2,1,87.6827550411,91.2,91.2,3354.12017958,2046.87464387,13.3096629791,290.039790335,5124.26469609,-3.13775672112e-11,1.88607809926e-17,0.559220322603,0.290203042642,6.24250764826,0.999739424916,7.23476495048,-11.9386832377,0.291333892009,0.012203401469,0.433085516812,0,3.57333274081e-10,1,17.3048265123,0.999739424916,0.587220630985,0.288366430477,0,3178.25793164,1.88607809926e-17,0.559220322603,0.290203042642,6.24057809508,18.36,1,3.51724495888,1.74497732573,0.000512547354824,0,98.6666666667,True,sensor,0.2
case1,5,training,2002,0.2,0.005,1,0.8,1,0.8,85.798091352,89,89,2800.30892776,1965.86473182,11.8341101415,230.010084471,4547.99768524,-8.52651282912e-11,2.01986864734e-17,0.561914632398,0.278856482118,7.59946150456,1.12517691421,8.37803019003,-13.7565563496,0.296348149669,0.0120946013584,0.442435445386,0,3.68019836827e-10,0.999637838416,16.7394274056,1.12517691421,0.58867813393,0.277090435346,0,2647.97330037,2.01986864734e-17,0.561914632398,0.278856482118,7.59946150456,17.7,1,3.20190864802,0.772452303997,0.000705133743018,0,98.6666666667,True,sensor,0.2
case1,5,training,2003,0.2,0.005,-1,1,1,1,86.8157004595,89.8,89.8,3102.11053532,2005.04702634,14.3147723088,273.943835845,4847.52849812,2.04636307899e-11,1.3671247294e-17,0.557714430809,0.295664463461,6.08517955929,0.890441554865,6.87391276135,-14.5324441865,0.291404064546,0.012161488012,0.423858397741,0,3.72093467149e-10,1,17.0447101378,0.890441554865,0.585491872814,0.294233987811,0,2952.89555829,1.3671247294e-17,0.557714430809,0.295664463461,6.08517955929,17.94,1,2.98429954052,0.667057280155,0.000596102687387,0,98.6666666667,True,sensor,0.2
case1,5,training,2004,0.2,0.005,0,1.2,1,1.2,86.2316764832,89.2,89.2,2992.45289183,1982.57446551,14.5276068626,335.706541902,4653.8484223,-4.08704181609e-11,1.02549262485e-17,0.56013892266,0.285915539348,5.34385324774,0.924046080177,5.92677013921,-14.1863419133,0.294220439413,0.0121208125202,0.433085516812,0,3.45303341476e-10,1,16.8695029449,0.924046080177,0.586996396388,0.284487846546,0,2844.08537766,1.02549262485e-17,0.56013892266,0.285915539348,5.34385324774,17.76,1,2.96832351685,0.691981708738,0.000770496527959,0,98.6666666667,True,sensor,0.2
case1,5,training,2005,0.2,0.005,1,1,0.8,1,85.8563922167,88.4,88.4,2418.82180891,1948.51503389,12.9207720803,285.090043374,4095.16757151,7.56017470849e-12,1.39927132381e-17,0.56227218818,0.276151331061,6.32619424065,0.878141959988,6.86889285827,-15.8644159515,0.297355365121,0.0120742230126,0.442435445386,0,3.46512596394e-10,0.908279895315,16.756917665,0.878141959988,0.588241116515,0.275034556483,0,2310.85965401,1.39927132381e-17,0.56227218818,0.276151331061,6.32619424065,17.52,1,2.54360778332,1.96964230365,0.00090048356307,0,98.6666666667,True,sensor,0.2
case1,6,training,2000,0.2,0.005,-1,1,1.2,1.2,88.2166790843,91.2,91.2,3630.97160969,2045.93571501,12.6982066536,346.63039695,5342.9751344,-2.60911292571e-11,2.143467695e-17,0.561086316356,0.285387646251,6.55461405016,0.81337565637,7.31044658167,-12.0407114201,0.29144133183,0.0122058545845,0.423858397741,0,3.76944253588e-10,1,17.4650037253,0.81337565637,0.58734370552,0.284144697361,0,3481.8055639,2.143467695e-17,0.561086316356,0.285387646251,6.55461405016,18.36,1,2.9833209157,1.80486276488,0.00166100964179,0,98.6666666667,True,sensor,0.2
case1,6,training,2001,0.2,0.005,0,1,1.2,1,85.1780117273,88.4,88.4,3385.40523827,1947.87609779,12.0105172024,283.757957877,5061.53389539,-2.56932253251e-11,1.53192345961e-17,0.563308547744,0.267807813593,6.37236958088,0.908224618621,7.27551562586,-12.2452216442,0.297392471634,0.0120706633428,0.433085516812,0,3.63413743543e-10,1,16.5534035182,0.908224618621,0.589485620638,0.266399242213,0,3224.30582464,1.53192345961e-17,0.563308547744,0.267807813593,6.3688696054,17.52,1,3.22198827267,1.74952731016,0.000469377157794,0,98.6666666667,True,sensor,0.2
case1,6,training,2002,0.2,0.005,1,0.8,1,0.8,81.8350780129,85.2,85.2,2822.8854822,1834.67979717,10.7696507383,220.888821364,4447.44610874,-2.50395260082e-11,1.22720843904e-17,0.566102511552,0.253268342248,7.29469889127,1.16365102929,8.29012216064,-14.2596473998,0.303859056752,0.011920764561,0.442435445386,0,3.73592268232e-10,1,15.5505234039,1.16365102929,0.591438354151,0.251477198682,0,2657.76149348,1.22720843904e-17,0.566102511552,0.253268342248,7.29469889127,16.56,1,3.36492198706,0.772453754901,0.000669264176265,0,98.6666666667,True,sensor,0.2
case1,6,training,2003,0.2,0.005,-1,1,1,1,83.9380623698,87.2,87.2,3151.38063219,1912.21549565,12.7660364629,269.524313652,4806.83785064,1.14823706099e-11,1.01497586377e-17,0.561872252121,0.271548998241,6.12393633423,0.943644810951,7.06758114518,-14.7649643744,0.29741658875,0.0120320016647,0.423858397741,0,3.7776937134e-10,1,16.1814187109,0.943644810951,0.588496596647,0.270042219521,0,2988.28375068,1.01497586377e-17,0.561872252121,0.271548998241,6.0544877714,17.16,1,3.26193763018,0.667057280714,0.000549008833591,0,98.6666666667,True,sensor,0.2
case1,6,training,2004,0.2,0.005,0,1.2,1,1.2,82.8626153946,85.8,85.8,3015.28978553,1863.29230801,13.0101829062,324.687220663,4566.90505578,-4.19504431193e-11,6.48840790124e-18,0.564275278777,0.260989985054,5.13347057328,0.861089825366,5.99456039864,-14.6224414747,0.301170249871,0.0119642494101,0.433085516812,0,3.51694673384e-10,1,15.8587846184,0.861089825366,0.589532019568,0.259791999261,0,2868.42055526,6.48840790124e-18,0.564275278777,0.260989985054,5.13232772396,16.74,1,2.93738460541,0.69230956966,0.000706015839139,0,98.6666666667,True,sensor,0.2
case1,6,training,2005,0.2,0.005,1,1,0.8,1,81.6028118253,84.6,84.6,2447.72716337,1816.75479094,11.6217646169,273.73651264,4002.36720629,1.79056769412e-11,6.64805667114e-18,0.56647249815,0.250605534116,6.07666936877,0.96876987814,6.8736867589,-16.3491250255,0.304846135478,0.0119000533773,0.442435445386,0,3.52699203177e-10,0.953279197131,15.4808435476,0.96876987814,0.591148774659,0.249184590522,0,2317.2227041,6.64805667114e-18,0.56647249815,0.250605534116,6.07666936877,16.38,1,2.99718817473,1.95091203592,0.000820834241581,0,98.6666666667,True,sensor,0.2
case1,7,training,2000,0.2,0.005,-1,1,1.2,1.2,89.7736851215,92.8,92.8,3596.85268614,2103.58977348,13.6467865465,349.446311082,5364.64293508,-5.67297320231e-11,2.28197452254e-17,0.558154399392,0.300168956528,6.5764687563,0.667641291671,7.24411004797,-11.9088823743,0.287608147772,0.0122910942619,0.423858397741,0,3.73061581627e-10,1,17.9321055365,0.667641291671,0.585242996273,0.298949043493,0,3449.69660364,2.28197452254e-17,0.558154399392,0.300168956528,6.47883008946,18.84,1,3.02631487847,1.79937791352,0.0016420524173,0,98.6666666667,True,sensor,0.2
case1,7,training,2001,0.2,0.005,0,1,1.2,1,87.0067112088,91.2,91.2,3379.73580782,2044.95134386,12.7098230027,292.842709547,5144.55426513,-1.796252036e-11,2.03331275428e-17,0.560261323108,0.284175836675,7.09794150009,0.337660929229,7.43560242932,-11.7969871374,0.292028333072,0.0122163247471,0.433085516812,0,4.28327484592e-10,1,17.1020133626,0.337660929229,0.586689895493,0.282293889867,0,3190.15241962,2.03331275428e-17,0.560261323108,0.284175836675,6.27541256434,18.36,1,4.19328879118,1.75639326966,0.000494488588036,0,98.6666666667,True,sensor,0.2
case1,7,training,2002,0.2,0.005,1,0.8,1,0.8,84.9201362848,87.6,87.6,2772.8799752,1918.46872552,11.7729644726,225.294243196,4477.827422,-4.34283720097e-11,1.65975089575e-17,0.562842018838,0.272890667539,7.6123409159,0.618799066335,8.1969500507,-14.0325663082,0.298635115324,0.0120469728051,0.442435445386,0,4.04259514752e-10,1,16.4760408854,0.618799066335,0.588000256542,0.271700104545,0,2652.62481321,1.65975089575e-17,0.562842018838,0.272890667539,7.53213215773,17.28,1,2.67986371517,0.772455733185,0.000709072658698,0,98.6666666667,True,sensor,0.2
