冷却时间_min,初始场均温_C,初始场T1_C,初始场T3_C,初始场T5_C,feasible,first_success_s,elapsed_s,min_voltage_V,max_ice_bulk,dTmax_K,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,final_min_T_C,final_max_T_C,final_left_EP_C
10,3.8038863627369324,4.0065780456914135,4.2315559870300055,4.006578045672375,True,0.05,0.05,0.9874584191703646,0.0,0.24475897781322686,5.780639448464948,0.0003585324050678302,-0.002190944022045855,0.34099095138067176,5.437816085467256,-4.1799896877137144e-14,4.099095138057674,4.343854115870901,3.734010368319799
15,-3.4981098159780117,-3.3392016754829665,-3.16282134357814,-3.339201675502331,True,1.900000000000001,1.900000000000001,0.801611798413007,1.5565570816657898e-06,2.43941028282191,219.66429904166793,0.7389126454672366,-0.07218077765364986,10.809858932968249,209.52117197651432,1.0551559626037488e-12,0.06392057379772313,2.503330856619633,-3.498972891774956
20,-9.222797763584254,-9.098215458338942,-8.95993513938868,-9.09821545835771,True,5.649999999999988,5.649999999999988,0.7470900524018056,9.752116739295916e-05,6.3413038341248775,653.2122576765403,7.073701175079656,-0.21528047339942705,29.164818460429327,630.9058599177882,-2.9416469260468148e-12,0.04333039746477416,6.384634231589652,-8.86489506103557
25,-13.710892703019738,-13.613221490376567,-13.504811179520853,-13.613221490394517,True,9.149999999999995,9.149999999999995,0.7215780486091924,0.0004679210538682247,9.707114855359839,1057.8570190690873,19.18279004799413,-0.347077865829277,43.720465688300266,1032.9722655629491,-2.7569058147491887e-12,0.027525381401790613,9.73464023676163,-12.78423997466565
30,-17.229511773567964,-17.15293857353705,-17.06794603381586,-17.152938573555403,True,12.250000000000039,12.250000000000039,0.7055740643252402,0.0010733609229628775,12.485765129538182,1416.2566648739082,35.06219369255669,-0.4591992051683122,55.01428044961285,1395.8453789116843,5.400124791776761e-13,0.020812398909824593,12.506577528448007,-15.645000882662844
40,-22.150754095559876,-22.10368918571273,-22.051449417485138,-22.103689185730254,True,17.100000000000108,17.100000000000108,0.6867540848224154,0.0029945375953759723,17.526953378402062,1976.978691374999,69.82155096659004,-0.6212428290586878,70.18709823180868,1975.9919012807475,2.5778490453376435e-11,0.045448975573393044,17.572402353975455,-19.294546854598753
50,-25.175543786007808,-25.146615835507408,-25.114507212845602,-25.14661583552489,True,20.300000000000153,20.300000000000153,0.6766747300649659,0.005545031397721872,20.61953136308463,2346.9396160767615,99.50061769021309,-0.7127315173745103,78.5020555121085,2367.2254467374873,-4.206412995699793e-12,0.03111832864804639,20.650649691732674,-21.339189803744215
60,-27.034698867754486,-27.01691860803204,-26.997183381675377,-27.016918608049114,True,22.350000000000183,22.350000000000183,0.6708703206972396,0.0077755323101349385,22.436564233930756,2583.94583346383,121.36951351801227,-0.7626347289990348,83.18126713304117,2621.371445119839,3.703348738781642e-11,0.019644145222759982,22.456208379153516,-22.51750384285898
70,-28.177408930838823,-28.166480481681916,-28.154350432865932,-28.166480481698816,True,23.6500000000002,23.6500000000002,0.6674168124332757,0.009445980853404468,23.524243650554936,2734.242459123922,136.39933593209435,-0.7914993341031891,85.93449339911704,2783.9158023227837,-1.2249756764504127e-11,0.019725110821875672,23.543968761376814,-23.208395613384308
80,-28.879763619315952,-28.8730465632591,-28.865590956609275,-28.873046563276333,True,24.450000000000212,24.450000000000212,0.665335373265047,0.010597714220750789,24.16904088609129,2826.732690299363,146.1041519939034,-0.8064143901124567,87.49286206875382,2884.5375658343896,-1.0686562745831907e-11,0.011028482191991117,24.180069368283284,-23.625056825111844
90,-29.31145852107906,-29.30732995337487,-29.30274744330277,-29.30732995339229,True,24.95000000000022,24.95000000000022,0.6640678253448374,0.011355659789288803,24.562846237962578,2884.539084784014,152.3434996447569,-0.8156995253890398,88.44713758725746,2947.6197473160664,-5.796607638330897e-11,0.008921137219435308,24.571767375182013,-23.875393593947376
100,-29.5767952395002,-29.57425765886216,-29.571441067299876,-29.57425765887955,True,25.250000000000224,25.250000000000224,0.6632950182066283,0.011841056340567932,24.79557162766697,2919.2229214748045,156.15573451243452,-0.820672975318611,88.9694351620748,2985.588547849805,-4.072830961376894e-11,0.0004495367410762452,24.796021164408046,-24.03075523229127
