case,strategy,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,guarded,85.2443816423,88,148,2929.996488,1941.57238708,13.4538500764,272.960994728,4612.06173043,2.03613126359e-10,1.17343201128e-17,0.560443360118,0.277253495352,6.06034318389,0.881909075051,6.76249635449,-14.4714086111,0.295884961556,0.0120708584924,0.433085516812,0,6.73200162282e-10,1,16.5733144927,-4.50752048091,0.559666956598,0.501041919045,0,2792.21557011,1.72519333888e-16,0.560443360118,0.277253495352,6.06034318389,17.4,1,2.75561835766,0,0,5.97142335579e-11,98.6666666667,True,sensor,0.2
case2,guarded,74.3083841026,78.2,138.2,293.608834529,1533.86210157,-2.02026702251,394.05556874,1431.39510034,2.6147972676e-11,1.0534650409e-17,0.604971210122,0.0872925449365,9.05430897361,0.432521120844,9.48683009445,-5.11507385932,0.343959134969,0.0115014823149,0.640814256234,0,9.91715154441e-10,0.124293047235,13.2925152308,0.432521120844,0.613762011268,0.0870240518232,0,293.608834529,5.86807078623e-16,0.604971210122,0.0872925449365,8.95687975728,14.46,1,3.89161589742,0,0,8.89599505172e-12,98.6666666667,True,sensor,0.2
case3,guarded,88.5387718379,91.6,151.6,1855.38499027,2027.48430384,8.31831151051,354.474035496,3536.71357013,6.66773303237e-11,1.17896144236e-17,0.573318737735,0.239568485324,7.24290087739,0.763163745763,7.67340538943,-10.288106126,0.303472783173,0.0121374232595,0.509304387785,0,8.96942964346e-10,0.597823985589,17.5616315514,-1.90991621456,0.588533483112,0.295656262093,0,1765.09540261,4.66955033668e-16,0.573318737735,0.239568485324,7.24290087739,18.48,1,3.06122816205,0,0,3.33084670956e-11,98.6666666667,True,sensor,0.2
