time_s,j_A_cm2,charge_C_cm2,heater_on,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_V,cell2_V,cell3_V,cell4_V,cell5_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_lambda_mean,cell2_lambda_mean,cell3_lambda_mean,cell4_lambda_mean,cell5_lambda_mean,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg
0.0625,0,0,1,-29.8646211532,-29.7976420442,-29.7973807826,-29.7976420442,-29.8646211532,-29.999933011,-29.999933011,1.267456424,1.26739770046,1.26739747283,1.26739770046,1.267456424,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.9998266244,2.99982659203,2.99982659195,2.99982659203,2.9998266244,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,7.8125,0,-0.00251639552229,0.000931549218989,7.80905205526,1.21652384347e-12,4.45790793162e-21
0.06875,0,0,1,-29.8511269464,-29.7774324567,-29.777119116,-29.7774324567,-29.8511269464,-29.9999196313,-29.9999196313,1.26744449969,1.26737984251,1.26737956919,1.26737984251,1.26744449969,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99980940343,2.99980936393,2.99980936381,2.99980936393,2.99980940343,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,8.59375,0,-0.00276637701671,0.00111764053602,8.58986598245,1.34592293907e-12,6.39787807863e-21
0.075,0,0,1,-29.8376406506,-29.7572276383,-29.7568575312,-29.7572276383,-29.8376406506,-29.9999050403,-29.9999050403,1.26743258237,1.26736198878,1.26736166562,1.26736198878,1.26743258237,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99979218129,2.99979213395,2.9997921338,2.99979213395,2.99979218129,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,9.375,0,-0.00301638167437,0.00132058972279,9.3706630286,1.83329610173e-12,1.11660118272e-20
0.08125,0,0,1,-29.8241622569,-29.7370275879,-29.7365960348,-29.7370275879,-29.8241622569,-29.9998892386,-29.9998892386,1.26742067204,1.26734413926,1.26734376212,1.26734413926,1.26742067204,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99977495797,2.99977490208,2.9997749019,2.99977490208,2.99977495797,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,10.15625,0,-0.00326640961926,0.0015403869017,10.1514432035,1.14725568455e-12,4.25581116436e-21
0.0875,0,0,1,-29.8106917563,-29.7168323045,-29.7163346336,-29.7168323045,-29.8106917563,-29.9998722272,-29.9998722272,1.26740876868,1.26732629395,1.26732585871,1.26732629395,1.26740876868,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99975773346,2.99975766833,2.9997576681,2.99975766833,2.99975773346,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,10.9375,0,-0.00351646095432,0.00177702220635,10.9322065168,1.34294637043e-12,1.71039774852e-20
0.09375,0,0,1,-29.7972291399,-29.6966417868,-29.6960733342,-29.6966417868,-29.7972291399,-29.9998540069,-29.9998540069,1.26739687229,1.26730845285,1.26730795539,1.26730845285,1.26739687229,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99974050776,2.99974043268,2.99974043239,2.99974043268,2.99974050776,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,11.71875,0,-0.00376653576545,0.00203048578152,11.7129529785,1.41908056486e-12,1.31266284023e-20
0.1,0,0,1,-29.7837743987,-29.6764560338,-29.6758121434,-29.6764560338,-29.7837743987,-29.9998345784,-29.9998345784,1.26738498285,1.26729061596,1.26729005217,1.26729061596,1.26738498285,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99972328085,2.99972319513,2.99972319478,2.99972319513,2.99972328085,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,12.5,0,-0.0040166341245,0.00230076778315,12.4936825981,2.0814543665e-12,5.56738874362e-21
0.10625,0,0,1,-29.7703275238,-29.6562750444,-29.6555510676,-29.6562750444,-29.7703275238,-29.9998139426,-29.9998139426,1.26737310037,1.26727278329,1.26727214904,1.26727278329,1.26737310037,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99970605273,2.99970595567,2.99970595526,2.99970595567,2.99970605273,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,13.28125,0,-0.0042667560916,0.00258785837835,13.2743953855,2.59077351586e-12,1.44779106509e-20
0.1125,0,0,1,-29.7568885064,-29.6360988175,-29.6352901137,-29.6360988175,-29.7568885064,-29.9997921003,-29.9997921003,1.26736122483,1.26725495482,1.26725424602,1.26725495482,1.26736122483,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.9996888234,2.99968871431,2.99968871382,2.99968871431,2.9996888234,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,14.0625,0,-0.00451690171694,0.00289174774533,14.0550913505,2.67847636432e-12,7.20666219436e-21
0.11875,0,0,1,-29.7434573375,-29.6159273519,-29.6150292882,-29.6159273519,-29.7434573375,-29.9997690524,-29.9997690524,1.26734935623,1.26723713056,1.26723634312,1.26723713056,1.26734935623,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99967159285,2.99967147104,2.99967147047,2.99967147104,2.99967159285,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,14.84375,0,-0.00476707104225,0.00321242607345,14.8357705029,3.47147787946e-12,1.00426343809e-20
