strategy,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,E1_J,E2_J,E3_J,E4_J,E5_J,th_s,startup_s,elapsed_s,charge_C_cm2,first_success_s,best_min_T_C,switch_min_T_C,post_switch_min_T_C,min_voltage_V,max_ice_bulk,max_end_ice_bulk,max_pore_ice_saturation,max_end_pore_ice_saturation,max_pore_ice_bulk,max_mem_ice_bulk,min_porosity,max_j_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,energy_residual_J,water_residual_kg,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,final_min_T_C,final_max_T_C,final_left_EP_C,max_mirror_error_K,ice_at_switch,post_subzero_duration_s,min_V_before_success_V,post_min_T1_C,post_min_T2_C,post_min_T3_C,post_min_T4_C,post_min_T5_C,feasible,result,scope
P,1.0,1.0,1.0,1.0,1.0,642.8395450735084,642.8395450735084,642.8395450735084,642.8395450735084,642.8395450735084,25.713581802940332,25.713581802940332,25.713581802940332,0.0,25.713581802940332,0.00010000000020316565,0.00010000000020316565,0.00010000000020316565,1.2131456248796153,4.2383265776309767e-20,4.2383265776309767e-20,0.0,0.0,0.0,4.2383265776309767e-20,0.3916,0.0,0.43308551681194474,0.0,0.0,9.745377838044078e-10,-1.0286774687270905e-17,3214.197725367346,0.0,-1.072955958145592,90.06455061911437,3123.0602187910604,0.00010000000020316565,31.598520156459358,-24.313652894949353,1.3073986337985843e-12,4.2383265776309767e-20,0.0,1.2131456248796153,0.00010000000108159425,24.16666142779789,31.598520156459358,24.1666614277974,0.00010000000020316565,True,success,first_success
C,1.0,1.0,0.6245115587719579,1.0,1.0,643.3669516165202,643.3669516165202,401.79009781639587,643.3669516165202,643.3669516165202,25.73467806466081,25.73467806466081,25.73467806466081,1.6556841377293356,25.73467806466081,1.0000613327457454e-07,1.0000613327457454e-07,1.0000613327457454e-07,0.6620082742891529,0.012339418698814145,0.012339418698814145,0.01783579650266831,0.01783579650266831,0.00750351958867256,0.012339418698814145,0.3916,0.0043363676753532905,0.43308551681194474,0.0,9.993144090003625e-10,-3.1306512937590014e-11,-1.1662152905704548e-17,2975.2579042823563,162.43594009048027,-0.9194686663405912,89.72492682907904,3047.0494488773857,1.0000613327457454e-07,25.184335282674905,-24.278786584569072,1.2647660696529783e-12,0.012339418698814145,0.0,0.6620082742891529,1.0000681954453548e-07,21.937357218982577,25.184335282674905,21.93735721898218,1.0000613327457454e-07,True,success,first_success
R,1.0,1.0,1.0,1.0,1.0,1298.134810267732,1298.134810267732,1298.134810267732,1298.134810267732,1298.134810267732,51.92539241070928,51.92539241070928,51.92539241070928,0.0,51.92539241070928,16.551923284161855,16.551923284161855,16.551923284161855,1.1879567250687415,4.2383265776309767e-20,4.2383265776309767e-20,0.0,0.0,0.0,4.2383265776309767e-20,0.3916,0.0,0.43308551681194474,0.0,0.0,1.3964154277346097e-09,-3.129969699221247e-17,6490.67405133772,0.0,-2.1535387631397174,293.208103152966,6195.312409423011,16.551923284161855,60.1048700667782,-13.764824012206757,1.3073986337985843e-12,1.8311756957300165e-20,0.0,1.1879567250687415,16.551923284162648,49.3612475539914,60.1048700667782,49.36124755399105,16.551923284161855,True,success,postload_no_subzero_extra_constraint
