time_s,feasible,energy_J,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,max_mirror_q_difference
10.0,0,nan,,,,,,,,,,,,,
11.0,0,nan,,,,,,,,,,,,,
12.0,0,nan,,,,,,,,,,,,,
13.0,0,nan,,,,,,,,,,,,,
14.0,0,nan,,,,,,,,,,,,,
15.0,0,nan,,,,,,,,,,,,,
16.0,0,nan,,,,,,,,,,,,,
17.0,0,nan,,,,,,,,,,,,,
18.0,0,nan,,,,,,,,,,,,,
19.0,0,nan,,,,,,,,,,,,,
20.0,0,nan,,,,,,,,,,,,,
21.0,0,nan,,,,,,,,,,,,,
22.0,0,nan,,,,,,,,,,,,,
23.0,0,nan,,,,,,,,,,,,,
23.699219425035306,0,nan,,,,,,,,,,,,,
23.749219425035307,0,nan,,,,,,,,,,,,,
23.799219425035307,0,nan,,,,,,,,,,,,,
23.849219425035308,0,nan,,,,,,,,,,,,,
23.89921942503531,0,nan,,,,,,,,,,,,,
23.94921942503531,0,nan,,,,,,,,,,,,,
23.99921942503531,0,nan,,,,,,,,,,,,,
24.0,0,nan,,,,,,,,,,,,,
24.04921942503531,0,nan,,,,,,,,,,,,,
24.09921942503531,0,nan,,,,,,,,,,,,,
24.149219425035312,0,nan,,,,,,,,,,,,,
24.199219425035313,0,nan,,,,,,,,,,,,,
24.249219425035314,0,nan,,,,,,,,,,,,,
24.299219425035314,0,nan,,,,,,,,,,,,,
24.349219425035315,0,nan,,,,,,,,,,,,,
24.399219425035316,0,nan,,,,,,,,,,,,,
24.449219425035317,0,nan,,,,,,,,,,,,,
24.499219425035317,0,nan,,,,,,,,,,,,,
24.549219425035318,0,nan,,,,,,,,,,,,,
24.59921942503532,0,nan,,,,,,,,,,,,,
24.64921942503532,0,nan,,,,,,,,,,,,,
24.69921942503532,0,nan,,,,,,,,,,,,,
24.74921942503532,0,nan,,,,,,,,,,,,,
24.79921942503532,0,nan,,,,,,,,,,,,,
24.849219425035322,0,nan,,,,,,,,,,,,,
24.899219425035323,0,nan,,,,,,,,,,,,,
24.949219425035324,0,nan,,,,,,,,,,,,,
24.999219425035324,0,nan,,,,,,,,,,,,,
25.0,0,nan,,,,,,,,,,,,,
25.049219425035325,0,nan,,,,,,,,,,,,,
25.099219425035326,0,nan,,,,,,,,,,,,,
25.149219425035326,0,nan,,,,,,,,,,,,,
25.199219425035327,0,nan,,,,,,,,,,,,,
25.249219425035328,0,nan,,,,,,,,,,,,,
