strategy,th_s,elapsed_s,charge_C_cm2,first_success_s,best_min_T_C,switch_min_T_C,post_switch_min_T_C,min_voltage_V,max_ice_bulk,max_end_ice_bulk,max_pore_ice_saturation,max_end_pore_ice_saturation,max_pore_ice_bulk,max_mem_ice_bulk,min_porosity,max_j_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,energy_residual_J,water_residual_kg,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,final_min_T_C,final_max_T_C,final_left_EP_C,max_mirror_error_K,ice_at_switch,post_subzero_duration_s,min_V_before_success_V,post_min_T1_C,post_min_T2_C,post_min_T3_C,post_min_T4_C,post_min_T5_C,feasible
P,25.713581802940332,122.38024846960701,20.000000000000007,25.713581802940332,0.00010000000020316565,0.00010000000020316565,-12.317426619419011,0.5626517089922676,0.3764132525139863,0.3764132525139863,0.1989384746057257,0.1989384746057257,0.08369341626662881,0.3764132525139863,0.2953665321423786,0.012556529427407198,0.43308551681194474,0.0,9.980034576528851e-10,1.6465833141410258e-09,5.954254016921068e-16,3214.197725367346,2177.9913736303197,14.15195408556764,490.7210399368788,4915.620013148001,-5.925190411013664,2.4330642352960887,-11.545591615402202,5.565325977840985e-12,4.2383265776309767e-20,96.66666666669163,1.2131456248796153,-12.31742661941848,-5.005297777543151,-2.585823459830316,-5.005297777543423,-12.317426619419011,True
C,25.73467806466081,96.66666666666667,20.0,25.73467806466081,1.0000613327457454e-07,1.0000613327457454e-07,-9.57339629724403,0.565153169818578,0.3642432280542648,0.3642432280542648,0.17732513805224437,0.17732513805224437,0.07460068557857921,0.3642432280542648,0.3047395553601428,0.012521818506184652,0.43308551681194474,0.0,9.993144090003625e-10,3.7567815525108017e-10,1.347087046944806e-15,2975.2579042823563,2143.8682042073415,9.003874721840093,403.07655469550593,4725.053428516408,-6.628739364523195,2.4340054436062677,-12.393313096706043,4.1389114358025836e-12,0.012339418698814145,70.93198860203084,0.6620082742891529,-9.573396297243024,-0.4064584576390929,2.3499554356510655,-0.4064584576401081,-9.57339629724403,True
R,51.92539241070928,148.59205907737595,20.0,51.92539241070928,16.551923284161855,16.551923284161855,0.0010000000167481701,0.6244825527308964,4.2383265776309767e-20,4.2383265776309767e-20,0.0,0.0,0.0,4.2383265776309767e-20,0.32924190855414065,0.012126184528569913,0.43308551681194474,0.0,9.950369417310867e-10,1.305124897044152e-09,1.9029406956444504e-15,6490.67405133772,2066.7813552952503,-13.04005579503485,933.3072306302423,7611.108120208998,5.085670267055884,14.474097232528118,-0.5809525630925132,1.3073986337985843e-12,1.8311756957300165e-20,0.0,1.1879567250687415,0.0010000000169413323,8.022172249277324,10.64515528739398,8.02217224927727,0.0010000000167481701,True
