mode,dt,scale,q1,q2,q3,q4,q5,th_s,horizon_s,E_J,min_T_C,min_V,ice,constraint_min
R,0.25,1,0.8,0.7,0.5,0.7,0.8,80.0,96.66666666666667,7000.0,0.5397061108970935,0.6272910363505493,8.255788996352803e-19,0.05387061108970935
R,0.25,1,0.29988991105524926,0.12528043885316753,0.5118798247327665,0.12528043885316753,0.29988991105524926,31.746471524143693,96.66666666666667,1081.142377305449,-23.03979896534606,0.5102407419512334,0.5518111299798985,-2.304079896534606
R,0.25,1,0.6423618022367197,0.7927980563063824,0.4445083329920874,0.7927980563063824,0.6423618022367197,61.913994473130884,96.66666666666667,5130.856139298164,-5.99649022942713,0.5993318675990978,0.14455996236045673,-0.599749022942713
R,0.25,1,0.5014364784755039,0.28329910396900554,0.6681958449567085,0.28329910396900554,0.5014364784755039,88.85779758715692,96.66666666666667,4970.854055708258,-7.669879186035974,0.5935972598796748,0.18375643041840725,-0.7670879186035975
R,0.25,1,0.9590128717189706,0.41973561369689316,0.9378663589629532,0.41973561369689316,0.9590128717189706,132.7401160845219,96.66666666666667,12263.073934285781,18.30094095476809,0.6653246415922421,8.255788996352803e-19,0.3320283748537999
R,0.25,1,0.33276147298203873,0.010644685880781934,0.18531183332606882,0.010644685880781934,0.33276147298203873,146.32138063901107,96.66666666666667,3190.2602467627917,-16.760583183360986,0.5580534150590131,0.38515098240600365,-1.6761583183360986
R,0.25,1,0.689983615899118,0.2073879498972671,0.3520758096163251,0.2073879498972671,0.689983615899118,178.26215428346578,96.66666666666667,9567.41423291206,6.779624367563625,0.6431687405475068,8.255788996352803e-19,0.3313534628562659
R,0.25,1,0.8874138327526689,0.34543172842238007,0.15094317883387776,0.34543172842238007,0.8874138327526689,225.68598606050276,96.66666666666667,14763.442310561002,23.757545211809223,0.6785489304471937,8.255788996352803e-19,0.33311843318699513
R,0.25,1,0.4207434592558648,0.9885164953075505,0.6193769767317362,0.9885164953075505,0.4207434592558648,158.54003847148573,96.66666666666667,13626.107613625452,22.94545371766356,0.6746627174532243,8.255788996352803e-19,0.33258494210857986
R,0.25,1,0.2336389798865819,0.40524563735152486,0.48211802014569904,0.40524563735152486,0.2336389798865819,14.308978000164373,96.66666666666667,629.5547002288656,-24.9001545689153,0.49858963224155733,0.5894562556752391,-2.4901154568915302
