辅助冷启动策略,加热功率密度分配_W_cm-2,加热持续时间_s,各片辅助加热能耗_J,总辅助加热能耗_J,总启动时间_s,最大冰体积分数,最低电压_V,累计电荷量_C_cm-2,启动结果
纯预加热启动,"[1.0, 1.0, 1.0, 1.0, 1.0]",25.713581802940332,"[642.8395450735084, 642.8395450735084, 642.8395450735084, 642.8395450735084, 642.8395450735084]",3214.197725367346,25.713581802940332,4.2383265776309767e-20,1.2131456248796153,0.0,成功
恒定功率协同启动,"[1.0, 1.0, 0.6245115587719579, 1.0, 1.0]",25.73467806466081,"[643.3669516165202, 643.3669516165202, 401.79009781639587, 643.3669516165202, 643.3669516165202]",2975.2579042823563,25.73467806466081,0.012339418698814145,0.6620082742891529,1.6556841377293356,成功
