strategy,scope,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,residual_J
P,heater_interval,3214.197725367346,0.0,-1.072955958145592,90.06455061911437,3123.0602187910604,9.745377838044078e-10
C,heater_interval,2975.2579042823563,162.43594009048027,-0.9194686663405912,89.72492682907904,3047.0494488773857,-3.1306512937590014e-11
R,heater_interval,6490.67405133772,0.0,-2.1535387631397174,293.208103152966,6195.312409423011,1.3964154277346097e-09
