mode,dt,scale,q1,q2,q3,q4,q5,th_s,horizon_s,E_J,min_T_C,min_V,ice,constraint_min
C,0.2,1,1.0,1.0,1.0,1.0,1.0,24.0,24.0,3000.0,0.09856035987918094,0.6666114439193319,0.011530183389663098,0.0
C,0.2,1,0.5261848306245205,0.6853193135455624,0.3140552909842786,0.6853193135455624,0.5261848306245205,5.137928264493716,9.690692432630405,351.5709081481851,-25.85940273131287,0.6529538889046657,0.0045956908643779715,-2.586040273131287
C,0.2,1,0.5148026532548469,0.5033190487530356,0.016761739174794732,0.5033190487530356,0.5148026532548469,14.83354989339088,31.14822235696957,761.3338555726314,-22.678756747746764,0.5834206421486738,0.07068425024407482,-2.2679756747746764
C,0.2,1,0.7035189924029519,0.4210616691122123,0.2888694277129619,0.4210616691122123,0.7035189924029519,2.142363597956298,53.87937530360135,135.934617272153,-22.358828239090446,0.5195728102999789,0.2567355245743114,-2.235982823909045
C,0.2,1,0.6620771772983991,0.0001521945772219313,0.37319125732299635,0.0001521945772219313,0.6620771772983991,12.06370236097745,62.10508051436516,511.99860815181654,-19.150501674516033,0.5155384979981782,0.3068273356092189,-1.9151501674516034
C,0.2,1,0.20471829728210716,0.22409694643678785,0.06804591977612773,0.22409694643678785,0.20471829728210716,49.99967446457181,57.00667569229522,1157.0879755057574,-15.94400802436523,0.541833800744693,0.22414242142416904,-1.594500802436523
C,0.2,1,0.6270821926861274,0.044745539266857315,0.22374643591124704,0.044745539266857315,0.6270821926861274,30.017656565024396,35.878849643375666,1176.2432982019993,-18.830785564103287,0.584171789980865,0.08146184121042198,-1.883178556410329
C,0.2,1,0.6070716683756484,0.6535964134607833,0.3775843516544557,0.6535964134607833,0.6070716683756484,70.9083382724616,86.70682572633437,5138.940913145208,4.3222906756781185,0.6224033842117398,0.06199810102342659,0.15798487453872767
C,0.2,1,0.4466627090093395,0.2280338851191719,0.5985821113165635,0.2280338851191719,0.4466627090093395,37.621348058138395,72.12421955624707,1832.1364188478576,-12.356176563113552,0.5461677186146384,0.29179427258664126,-1.2357176563113552
C,0.2,1,0.006084148753738083,0.7043844130835474,0.40312686025647865,0.7043844130835474,0.006084148753738083,16.33572411624556,44.13083769942317,744.9351502969351,-20.90021676145914,0.55429715287596,0.15036341858774036,-2.0901216761459143
C,0.2,1,0.397957362654598,0.738259089932207,0.8772641599294826,0.738259089932207,0.397957362654598,18.97727186258328,49.30996327015315,1494.3164372310514,-16.70904665637904,0.560041905310254,0.15542456673729976,-1.6710046656379043
C,0.2,1,0.26220695436129365,0.9376346527793655,0.8567619613655545,0.9376346527793655,0.26220695436129365,4.33148379893014,6.252246612799123,352.6309880104661,-26.51821158647199,0.674763962083263,0.0015136860632047756,-2.651921158647199
C,0.2,1,0.2780490696197811,0.4685544122158413,0.8071975443652571,0.4685544122158413,0.2780490696197811,57.38565027567167,89.66325654287687,3300.255214769031,-4.82623761651513,0.583956999814149,0.23522512508412738,-0.4827237616515131
C,0.2,1,0.755729231973461,0.873583187658525,0.7649730982644467,0.873583187658525,0.755729231973461,87.14142466218087,95.8227325389633,8765.551413600975,22.919988049849465,0.6484813854498817,0.024502721961450768,0.08681307876782426
C,0.2,1,0.07561146438452176,0.5610870368120043,0.2669111329829241,0.5610870368120043,0.07561146438452176,41.46224106641159,91.1236915182283,1596.6156806378417,-11.39631726865543,0.5307491924923988,0.44481685868194804,-1.139731726865543
C,0.2,1,0.11050967591381311,0.3089853945950752,0.7862336068493329,0.3089853945950752,0.11050967591381311,20.37321918286407,25.609726244709147,827.7759909123108,-21.342760135219166,0.602424367763722,0.04633853567158426,-2.1343760135219165
C,0.2,1,0.7786996618564032,0.06018090003386378,0.04470583371170539,0.06018090003386378,0.7786996618564032,7.72505774337347,13.492101307748777,332.6539176920091,-25.987122981143933,0.6333982919918643,0.011525475194171828,-2.5988122981143933
C,0.2,1,0.9497202185780292,0.36612482299251115,0.12521957538584616,0.36612482299251115,0.9497202185780292,2.2996967440630462,9.510861938530107,158.50140413475845,-27.97807631824337,0.6484788839450641,0.004849947838807163,-2.797907631824337
C,0.2,1,0.8112857426103924,0.8808288393474664,0.6906681062675124,0.8808288393474664,0.8112857426103924,31.12740227040178,40.922541260067206,3171.0241634888876,-5.922336944622414,0.6201693918379825,0.036806015037245864,-0.5923336944622414
C,0.2,1,0.1842255575079424,0.11828888845956076,0.17583491068818646,0.11828888845956076,0.1842255575079424,26.338853585152734,80.24607647524896,514.1764341809469,-16.21049321319299,0.5076599247820465,0.45551205586545246,-1.6211493213192991
C,0.2,1,0.7400195109483602,0.5468085245390127,0.5725384349254375,0.5468085245390127,0.7400195109483602,25.227581062821724,41.87079714696369,1984.2719234250305,-14.517561066735233,0.586894282749956,0.09012052783750318,-1.4518561066735232
C,0.2,1,0.8808268773592393,0.2687498252399292,0.6418890055134243,0.2687498252399292,0.8808268773592393,2.925148626460449,19.022349126310168,215.07465420138587,-27.377154712439523,0.6070431275527826,0.02774835262840757,-2.7378154712439526
C,0.2,1,0.6846958682531455,0.7701696160984576,0.7486029868707287,0.7701696160984576,0.6846958682531455,44.060194157669635,76.5215919944801,4029.672609404578,-2.868661356160593,0.6074159465168798,0.07782148390120859,-0.28696613561605927
C,0.2,1,0.33102902629315173,0.6069287436156141,0.8268757364938965,0.6069287436156141,0.33102902629315173,23.325490889709176,57.79725021728454,1576.0983323096914,-15.193906604712495,0.546739063819698,0.2089168190294895,-1.5194906604712495
C,0.2,1,0.1725291648887346,0.19644977996521495,0.0815622142862813,0.19644977996521495,0.1725291648887346,5.482486745507805,18.685941661262596,112.3252026956318,-28.041119034929228,0.6063325167649256,0.027593560993957343,-2.8042119034929227
C,0.2,1,0.028737559023862658,0.13038541863709163,0.3354298110029798,0.13038541863709163,0.028737559023862658,9.805948784277483,14.895462189740877,160.24777715262977,-27.87566288734197,0.6218755649664226,0.0159505381929326,-2.787666288734197
C,0.2,1,0.051908953572941674,0.5940293526675349,0.9368050959357157,0.5940293526675349,0.051908953572941674,11.233051091567273,93.46959636359784,625.8723874371467,-14.280113983710649,0.5008898751837589,0.553836533538779,-1.428111398371065
C,0.2,1,0.4956888272757854,0.4394331962086532,0.4734336588929369,0.4394331962086532,0.4956888272757854,81.21825342987536,85.04834037887228,4758.735246815842,5.592809438677557,0.6034043396919082,0.10883197816442006,0.03830086948996922
C,0.2,1,0.371680355126483,0.9188600870556826,0.6107901670938242,0.9188600870556826,0.371680355126483,46.093866152747395,62.92502334640694,3678.141925568533,-3.059192286078917,0.6028117685483413,0.07436380875940607,-0.30601922860789166
C,0.2,1,0.8366521788674282,0.28588459453152415,0.16499602679776715,0.28588459453152415,0.8366521788674282,68.2714069337355,69.36121270903163,4113.471014939112,3.618130717750925,0.6108495900559509,0.08609462088765403,0.01089805775296128
C,0.2,1,0.570224635255943,0.33722617604944843,0.48421910932370493,0.33722617604944843,0.570224635255943,20.04700163842374,65.44723763024736,1152.2619270006164,-16.027194753318973,0.5301697896562312,0.29310422070373815,-1.6028194753318974
C,0.2,1,0.9839306364716823,0.4764881465062635,0.4280551778462645,0.4764881465062635,0.9839306364716823,4.057807720464436,29.44199030960144,339.72907077019295,-25.636036446234478,0.5781932773333092,0.07282347409985178,-2.563703644623448
C,0.2,1,0.4671126002290028,0.7971536758015314,0.9846731922969125,0.7971536758015314,0.4671126002290028,59.59301318195192,68.23841448763689,5234.062905860858,7.297182026922746,0.6342679639655873,0.0431036739715764,0.0864540130568497
C,0.2,1,0.9698803857093594,0.8195935185161507,0.7144560219837048,0.8195935185161507,0.9698803857093594,13.939180750222716,32.545240818992646,1496.163300653205,-18.170006094915614,0.5953329554539781,0.06096335923511425,-1.8171006094915616
C,0.2,1,0.24720105587717078,0.0816140908028627,0.9695895641650005,0.0816140908028627,0.24720105587717078,34.6960469957899,37.221640197764195,1411.4524162293071,-16.025203531993203,0.5877754163890676,0.09067585496031821,-1.6026203531993204
C,0.2,1,0.4148905565398228,0.9519904141085729,0.5108005283204641,0.9519904141085729,0.4148905565398228,2.1723942795130973,26.635661885203177,176.21172371298533,-26.787981913966494,0.582985598073372,0.06109105977626178,-2.6788981913966494
C,0.2,1,0.12721316537219834,0.158813070513528,0.10822894060683841,0.158813070513528,0.12721316537219834,0.3118896618284609,22.72221467151445,5.304318491371324,-28.38165570619701,0.5908459760716905,0.04520364112118523,-2.838265570619701
C,0.2,1,0.874084294993221,0.9984623607314808,0.6612341202926275,0.9984623607314808,0.874084294993221,2.714274921702529,50.869474933656115,298.9996011196827,-22.299238112340806,0.5290288674853629,0.22356980636762644,-2.230023811234081
C,0.2,1,0.9110411639692811,0.39551353735028194,0.2429543797314756,0.39551353735028194,0.9110411639692811,33.95135253958644,47.23768781225344,2424.1807087702246,-11.882264153572807,0.5875683043610279,0.09583714591295527,-1.1883264153572806
C,0.2,1,0.5984540663621293,0.8346066011089468,0.9133796252614708,0.8346066011089468,0.5984540663621293,18.91512359462099,74.3642697588438,1787.243194706006,-12.598105724324743,0.5423740949403955,0.3177974749406899,-1.2599105724324742
C,0.2,1,0.3112492783689886,0.6347944079868271,0.5419582642904663,0.6347944079868271,0.3112492783689886,17.69827058797778,81.30836902803776,1076.9599576787466,-14.229751517385472,0.5213408057880864,0.42023452636670716,-1.4230751517385472
C,0.2,1,0.620762983224886,0.19100836811306876,0.07742761312008528,0.19100836811306876,0.620762983224886,6.015534998468099,29.776035188672278,255.80616165065356,-26.103505777948037,0.5756190265550081,0.07634671550717897,-2.6104505777948037
C,0.2,1,0.3027244771104486,0.21435630342985246,0.8242766739784221,0.21435630342985246,0.3027244771104486,36.56919948509201,49.26706901788583,1699.0399637148937,-14.321545040584988,0.5686322719691369,0.14459907216331075,-1.4322545040584989
C,0.2,1,0.5120726421837528,0.6538336708768051,0.37450385172215356,0.6538336708768051,0.5120726421837528,64.85111145572372,69.36121270903163,4387.690788476889,3.455896678311892,0.6156919285753011,0.07697906578847742,0.045101012533079084
C,0.2,1,0.5750612931084431,0.7826264607853994,0.6979176296600962,0.7826264607853994,0.5750612931084431,53.381918155156846,88.72818618344576,4555.2033725699,0.05424142179012665,0.6208242783133266,0.04253731488207746,0.0053241421790126645
C,0.2,1,0.10988964762151687,0.10270511491319245,0.14998319901551543,0.10270511491319245,0.10988964762151687,44.62288841087905,57.00667569229522,641.6467070955835,-18.901988025924542,0.5275179368453407,0.25287321892548464,-1.8902988025924543
C,0.2,1,0.6070716683756484,0.09909337148703817,0.27557648408430474,0.09909337148703817,0.6070716683756484,34.84517220918795,57.94153341683648,1470.3848722241728,-15.735838977077181,0.5440053063679414,0.2140426071639929,-1.573683897707718
C,0.2,1,0.029935156474756863,0.2280338851191719,0.5985821113165635,0.2280338851191719,0.029935156474756863,59.53541499635171,72.12421955624707,1658.835557540883,-11.392217954344602,0.5453082389446254,0.307196959094145,-1.13932179543446
C,0.2,1,0.755729231973461,0.0033625652673557327,0.8075637051282851,0.0033625652673557327,0.755729231973461,9.235555808528883,12.930718063363816,536.9892245520687,-23.793593943245526,0.6417451364555601,0.008570254080078806,-2.379459394324553
C,0.2,1,0.006084148753738083,0.7043844130835474,0.6886859869684784,0.7043844130835474,0.006084148753738083,16.33572411624556,44.13083769942317,861.555528118016,-20.232185137185187,0.557082829212146,0.1457203922879704,-2.023318513718519
C,0.2,1,0.6371271341075584,0.26547285962596257,0.86340887117126,0.26547285962596257,0.6371271341075584,7.060820480872349,12.764667617117276,471.0642021127676,-24.95920066100695,0.6394033333487673,0.008928434375606354,-2.4960200661006953
C,0.2,1,0.7406813869578753,0.044745539266857315,0.2454704562792548,0.044745539266857315,0.7406813869578753,54.85073327733795,78.9726111909556,2490.6680050806067,-9.172142798381602,0.5625423025009576,0.27608590464684324,-0.9173142798381602
C,0.2,1,0.8093950502335686,0.46306484675022397,0.3084846873555061,0.46306484675022397,0.8093950502335686,9.763235802303772,23.024100231938466,696.4615197626907,-23.641925537690877,0.6045339936029616,0.03558796061663644,-2.3642925537690878
C,0.2,1,0.07561146438452176,0.8236589105251682,0.8620056132084033,0.8236589105251682,0.07561146438452176,66.01434707979627,91.1236915182283,4390.855775770144,0.8825092047578914,0.6078109722381619,0.09963309892057196,0.08815092047578914
C,0.2,1,0.47942121478986377,0.11417248841446798,0.844896971226169,0.11417248841446798,0.47942121478986377,60.507034153583575,64.467429199026,3073.88497101286,-4.124348962365144,0.587771317564972,0.15327017697955422,-0.41253489623651446
C,0.2,1,0.17619009826763232,0.7067723191997639,0.2134734734022119,0.7067723191997639,0.17619009826763232,12.607466060159833,13.492101307748777,623.8799247974142,-23.276268365012367,0.6403175528112428,0.010525273803643449,-2.327726836501237
C,0.2,1,0.11050967591381311,0.7158659822668625,0.6313858964493873,0.7158659822668625,0.11050967591381311,75.12672355337801,94.43646615662047,4289.993623620393,1.173125658329764,0.5960177218456545,0.1334447008898081,0.11721256583297641
C,0.2,1,0.397957362654598,0.738259089932207,0.09308827103205741,0.738259089932207,0.397957362654598,74.38533428426747,92.07257515374539,4399.002086214304,1.1060522907854786,0.6037961066535086,0.10793032054724112,0.11050522907854787
C,0.2,1,0.9350694206644298,0.47511798926446397,0.0803041267401351,0.47511798926446397,0.9350694206644298,8.208672245278485,9.510861938530107,595.26806903505,-21.62980657335084,0.664902956458183,0.004050966669836812,-2.163080657335084
C,0.2,1,0.263392512027563,0.8808288393474664,0.9629797253165532,0.8808288393474664,0.263392512027563,33.02825494372057,40.922541260067206,2684.7202220978756,-7.4905218563903615,0.6104837260500596,0.0647038009071711,-0.7491521856390362
C,0.2,1,0.2880947413530759,0.6194500878767397,0.7486029868707287,0.6194500878767397,0.2880947413530759,37.44788775706982,77.99774502754822,2400.1218606489183,-9.76500005243057,0.5588837952089957,0.2852140698538883,-0.976600005243057
C,0.2,1,0.11442720586444977,0.562576001283442,0.4717612561045438,0.562576001283442,0.11442720586444977,20.450728717868323,36.32715732089417,933.4569832302878,-20.32477968280395,0.5767915161662033,0.09467670408990687,-2.0325779682803953
C,0.2,1,0.9294869470277498,0.6681827269259412,0.10055184815921636,0.6681827269259412,0.9294869470277498,40.73561640545908,51.260877047992956,3356.503986927467,-5.785116769043984,0.6063540853696626,0.05610432073119457,-0.5786116769043985
C,0.2,1,0.5273904283602956,0.32639006465894815,0.659777550031594,0.32639006465894815,0.5273904283602956,39.30994910085238,41.87079714696369,2326.4989339350323,-9.206621738397525,0.6017564965291542,0.08131799843039991,-0.9207621738397525
C,0.2,1,0.33102902629315173,0.6069287436156141,0.09385454482370942,0.6069287436156141,0.33102902629315173,61.25195095059628,72.8790130612496,3016.3065152099293,-5.525468907486539,0.5824375116300429,0.19046912840130836,-0.5526468907486539
C,0.2,1,0.371680355126483,0.15456622065564807,0.7686541194477711,0.15456622065564807,0.371680355126483,12.569510202454762,17.159261935662624,572.2732300789598,-23.956261462320104,0.6235520551689977,0.018577115498688786,-2.3957261462320103
C,0.2,1,0.1725291648887346,0.6038448034535657,0.2839712799881021,0.6038448034535657,0.1725291648887346,17.27947490089784,53.279508157753156,793.4385901123176,-19.475439082752104,0.536166009656474,0.21620809971583943,-1.9476439082752104
C,0.2,1,0.1942864917061643,0.5940293526675349,0.9368050959357157,0.5940293526675349,0.1942864917061643,71.96323892788187,94.38654900612731,4521.876296656953,1.7711943006088806,0.6044170808215472,0.1082929026807856,0.17701943006088808
C,0.2,1,0.8265949519974187,0.1250702007673623,0.07763016556398294,0.1250702007673623,0.8265949519974187,50.46356425448898,53.87937530360135,2499.158150465797,-8.4706150079327,0.5850725491752429,0.12156617767650423,-0.84716150079327
C,0.2,1,0.7205537521580799,0.6346283524026863,0.38561822995901385,0.6346283524026863,0.7205537521580799,21.94441467806573,65.44723763024736,1698.488061979822,-13.951406600428527,0.5432314423882209,0.2602548244620484,-1.3952406600428526
C,0.2,1,0.7034341088515224,0.5534128930449942,0.26487268000201286,0.5534128930449942,0.7034341088515224,40.2277435388412,46.06374625032662,2794.3866990318897,-7.465785117413929,0.6036054200883395,0.07358953785492284,-0.7466785117413929
C,0.2,1,0.5681635202067441,0.4980650795132987,0.00858657481936198,0.4980650795132987,0.5681635202067441,17.225658181456275,29.44199030960144,922.0222051732068,-21.579951393093893,0.5919355854726672,0.057975017302471316,-2.1580951393093892
C,0.2,1,0.4342303085483633,0.778284462337217,0.13854509914004925,0.778284462337217,0.4342303085483633,70.65351657396398,85.24315093010958,4528.139084505349,1.8609666229637605,0.6108187712699512,0.08895396520652804,0.14589634356145595
C,0.2,1,0.9025115927958369,0.0816140908028627,0.17452598915509987,0.0816140908028627,0.9025115927958369,15.303213043695916,37.221640197764195,819.7844597367454,-22.27237864425379,0.5684617597920226,0.10439061702831373,-2.227337864425379
C,0.2,1,0.6293268467910677,0.4876027589021493,0.0877973956384338,0.4876027589021493,0.6293268467910677,17.010476848004828,32.545240818992646,987.312149070349,-21.193771343495797,0.5848138860387239,0.07212579114950102,-2.1194771343495797
C,0.2,1,0.025537868016716425,0.08657738677984911,0.36146239772517713,0.08657738677984911,0.025537868016716425,36.2207063757586,50.869474933656115,530.3552705585208,-20.45039034436222,0.5368480408013766,0.2105746890667633,-2.045139034436222
C,0.2,1,0.12721316537219834,0.6898167471068097,0.4265594954877814,0.6898167471068097,0.12721316537219834,0.6210084621695638,45.24256273042086,31.99155088267341,-24.554217817014543,0.5353709189980878,0.18938232614127137,-2.4555217817014543
C,0.2,1,0.6399881941149695,0.39551353735028194,0.03973139388294877,0.39551353735028194,0.6399881941149695,52.58806376157336,73.16758693850669,2774.98648084703,-8.200260018036698,0.5728724923336875,0.21374653780516045,-0.8201260018036697
C,0.2,1,0.4148905565398228,0.9519904141085729,0.36178265209271915,0.9519904141085729,0.4148905565398228,29.587811719961763,55.10470097881234,2289.7597649988606,-12.03228811476055,0.569756548536907,0.1506460220295026,-1.203328811476055
C,0.2,1,0.6135315172172575,0.8346066011089468,0.40299166780066664,0.8346066011089468,0.6135315172172575,16.788194744401665,66.00230955359531,1384.7188023478054,-15.090542832275933,0.5353239411524837,0.28410158433451,-1.5091542832275933
C,0.2,1,0.6226791860768701,0.6969277374028928,0.5419582642904663,0.6969277374028928,0.6226791860768701,17.69827058797778,81.30836902803776,1407.531120295773,-13.153817590448552,0.5296065474671166,0.3964048677256351,-1.315481759044855
