cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,0.0001464843750000001,2.34375e-06,0.8,1.4351041150249458e-06,0.0,0.0
1,0.00014882812500000012,2.34375e-06,0.8,1.458065582184729e-06,0.0,0.0
1,0.00015007083333333344,1.4166666666666668e-07,0.3916,7.203347772028891e-07,0.0,0.0
1,0.0001502125000000001,1.4166666666666668e-07,0.3916,7.223184931696489e-07,0.0,0.0
1,0.00015035416666666677,1.4166666666666668e-07,0.3916,7.243022091114389e-07,0.0,0.0
1,0.00015049583333333344,1.4166666666666668e-07,0.3916,7.262859250281847e-07,0.0,0.0
1,0.0001506375000000001,1.4166666666666668e-07,0.3916,7.282696409198107e-07,0.0,0.0
1,0.00015077916666666677,1.4166666666666668e-07,0.3916,7.302533567862423e-07,0.0,0.0
1,0.00015092083333333344,1.4166666666666668e-07,0.3916,7.322370726274044e-07,0.0,0.0
1,0.0001510625000000001,1.4166666666666668e-07,0.3916,7.342207884432219e-07,0.0,0.0
1,0.00015120416666666677,1.4166666666666668e-07,0.3916,7.3620450423362e-07,0.0,0.0
1,0.00015134583333333343,1.4166666666666668e-07,0.3916,7.381882199985236e-07,0.0,0.0
1,0.0001514875000000001,1.4166666666666668e-07,0.3916,7.401719357378575e-07,0.0,0.0
1,0.00015162916666666676,1.4166666666666668e-07,0.3916,7.421556514515465e-07,0.0,0.0
1,0.00015177083333333343,1.4166666666666668e-07,0.3916,7.441393671395158e-07,0.0,0.0
1,0.0001519125000000001,1.4166666666666668e-07,0.3916,7.461230828016904e-07,0.0,0.0
1,0.00015205416666666676,1.4166666666666668e-07,0.3916,7.481067984379951e-07,0.0,0.0
1,0.00015219583333333343,1.4166666666666668e-07,0.3916,7.500905140483547e-07,0.0,0.0
1,0.0001523375000000001,1.4166666666666668e-07,0.3916,7.520742296326944e-07,0.0,0.0
1,0.00015247916666666676,1.4166666666666668e-07,0.3916,7.540579451909387e-07,0.0,0.0
