time_s,j_A_cm2,charge_C_cm2,heater_on,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_V,cell2_V,cell3_V,cell4_V,cell5_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_lambda_mean,cell2_lambda_mean,cell3_lambda_mean,cell4_lambda_mean,cell5_lambda_mean,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg
0,0,0,1,-30,-30,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0
0.00625,3.125e-05,9.765625e-08,1,-29.9864264145,-29.9797484285,-29.9873379749,-29.9797484285,-29.9864264145,-29.9999987796,-29.9999987796,0.964731098365,0.964755506477,0.964727825195,0.964755506477,0.964731098365,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,5.14312251886e-12,5.14312251886e-12,5.14312251886e-12,5.14312251886e-12,5.14312251886e-12,1.22251545492e-11,1.22251545492e-11,1.22251545492e-11,1.22251545492e-11,1.22251545492e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99998151903,2.99998151903,2.99998151903,2.99998151903,2.99998151903,1.09356110182e-06,1.09351605477e-06,1.09356725109e-06,1.09351605477e-06,1.09356110182e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0.722579931058,5.93515466766e-06,-0.000268620313915,1.69669819365e-05,0.722300278917,-2.35047112931e-13,-8.43315597581e-21
0.0125,6.25e-05,3.90625e-07,1,-29.97286019,-29.9595060909,-29.9746641512,-29.9595060909,-29.97286019,-29.9999963394,-29.9999963394,0.935721922684,0.935768732374,0.935715716937,0.935768732374,0.935721922684,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.73407448657e-11,2.7335187618e-11,2.73415034356e-11,2.7335187618e-11,2.73407448657e-11,6.49886970899e-11,6.49754875637e-11,6.49905002036e-11,6.49754875637e-11,6.49886970899e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99996466259,2.99996466166,2.99996466271,2.99996466166,2.99996466259,2.18704871951e-06,2.18692136459e-06,2.18706584998e-06,2.18692136459e-06,2.18704871951e-06,0.3916,0.3916,0.3916,0.3916,0.3916,1.44515986212,2.54248827624e-05,-0.000513684608789,5.08917444642e-05,1.44462071065,1.81813819642e-13,-3.08703804605e-21
0.01875,9.375e-05,8.7890625e-07,1,-29.9593017372,-29.9392735925,-29.9619791812,-29.9392735925,-29.9593017372,-29.9999926804,-29.9999926804,0.918766444683,0.918835026773,0.918757452907,0.918835026773,0.918766444683,7.8668637564e-11,7.86384633682e-11,7.86727222898e-11,7.86384633682e-11,7.8668637564e-11,7.8668637564e-11,7.86384633682e-11,7.86727222898e-11,7.86384633682e-11,7.8668637564e-11,1.8699462221e-10,1.86922898427e-10,1.87004331566e-10,1.86922898427e-10,1.8699462221e-10,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99994772784,2.99994772537,2.99994772818,2.99994772537,2.99994772784,3.28048301919e-06,3.28024593183e-06,3.28051446753e-06,3.28024593183e-06,3.28048301919e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2.16773979317,5.92116215779e-05,-0.000759910230063,0.000101764573009,2.16693732999,-1.06233950673e-13,-1.0027182647e-20
0.025,0.000125,1.5625e-06,1,-29.9457510213,-29.9190508747,-29.9492830523,-29.9190508747,-29.9457510213,-29.9999878034,-29.9999878034,0.90674571567,0.906835673348,0.906734050974,0.906835673348,0.90674571567,1.7108432834e-10,1.70988984344e-10,1.71097128175e-10,1.70988984344e-10,1.7108432834e-10,1.7108432834e-10,1.70988984344e-10,1.71097128175e-10,1.70988984344e-10,1.7108432834e-10,4.06665862468e-10,4.06439230674e-10,4.06696287556e-10,4.06439230674e-10,4.06665862468e-10,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99993079899,2.99993079428,2.99993079963,2.99993079428,2.99993079899,4.37386009885e-06,4.37348393418e-06,4.37390934459e-06,4.37348393418e-06,4.37386009885e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2.89031972423,0.000107714236802,-0.00100608382714,0.000169575796434,2.88925177885,1.44230764484e-13,-1.04748197073e-20
0.03125,0.00015625,2.44140625e-06,1,-29.932208032,-29.8988379152,-29.9365757887,-29.8988379152,-29.932208032,-29.9999817091,-29.9999817091,0.897428791541,0.89753983,0.897414551936,0.89753983,0.897428791541,3.16520947378e-10,3.16290414155e-10,3.16551638062e-10,3.16290414155e-10,3.16520947378e-10,3.16520947378e-10,3.16290414155e-10,3.16551638062e-10,3.16290414155e-10,3.16520947378e-10,7.52367357685e-10,7.51819382351e-10,7.52440309157e-10,7.51819382351e-10,7.52367357685e-10,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99991387162,2.999913864,2.99991387264,2.999913864,2.99991387162,5.46717901065e-06,5.46663394599e-06,5.46724947577e-06,5.46663394599e-06,5.46717901065e-06,0.3916,0.3916,0.3916,0.3916,0.3916,3.61289965529,0.000171227152786,-0.00125227672819,0.000254315756395,3.61156428996,9.84281016067e-14,-1.03995793588e-20
0.0375,0.0001875,3.515625e-06,1,-29.9186727591,-29.8786346917,-29.9238574143,-29.8786346917,-29.9186727591,-29.9999743983,-29.9999743983,0.889821978282,0.889953862042,0.889805252788,0.889953862042,0.889821978282,5.26887258262e-10,5.2641409392e-10,5.26949721081e-10,5.2641409392e-10,5.26887258262e-10,5.26887258262e-10,5.2641409392e-10,5.26949721081e-10,5.2641409392e-10,5.26887258262e-10,1.25240612851e-09,1.25128142125e-09,1.25255460205e-09,1.25128142125e-09,1.25240612851e-09,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99989694648,2.99989693526,2.99989694797,2.99989693526,2.99989694648,6.5604396692e-06,6.5596958254e-06,6.56053465967e-06,6.5596958254e-06,6.5604396692e-06,0.3916,0.3916,0.3916,0.3916,0.3916,4.33547958635,0.000249977667811,-0.00149848515933,0.00035597480751,4.33387510405,7.79398789431e-13,-5.52371360728e-21
0.04375,0.00021875,4.78515625e-06,1,-29.9051451929,-29.8584411831,-29.9111279541,-29.8584411831,-29.9051451929,-29.9999658719,-29.9999658719,0.883395224433,0.883547757153,0.883376095994,0.883547757153,0.883395224433,8.14067708912e-10,8.13199110587e-10,8.14181403006e-10,8.13199110587e-10,8.14067708912e-10,8.14067708912e-10,8.13199110587e-10,8.14181403006e-10,8.13199110587e-10,8.14067708912e-10,1.93503139746e-09,1.93296674729e-09,1.93530164727e-09,1.93296674729e-09,1.93503139746e-09,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.999880024,2.99988000851,2.99988002604,2.99988000851,2.999880024,7.65364212875e-06,7.65266963835e-06,7.65376482542e-06,7.65266963835e-06,7.65364212875e-06,0.3916,0.3916,0.3916,0.3916,0.3916,5.05805951741,0.000344150901078,-0.00174470934878,0.000474543316351,5.05618441564,2.52657324316e-13,-8.32209870677e-22
0.05,0.00025,6.25e-06,1,-29.8916253244,-29.8382573691,-29.8983874336,-29.8382573691,-29.8916253244,-29.9999561306,-29.9999561306,0.877832145567,0.878005158735,0.877810692706,0.878005158735,0.877832145567,1.18992248124e-09,1.18845236387e-09,1.19011326969e-09,1.18845236387e-09,1.18992248124e-09,1.18992248124e-09,1.18845236387e-09,1.19011326969e-09,1.18845236387e-09,1.18992248124e-09,2.82843470701e-09,2.82494025164e-09,2.82888820939e-09,2.82494025164e-09,2.82843470701e-09,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99986310463,2.9998630842,2.9998631073,2.9998630842,2.99986310463,8.74678646254e-06,8.74555547899e-06,8.74693992016e-06,8.74555547899e-06,8.74678646254e-06,0.3916,0.3916,0.3916,0.3916,0.3916,5.78063944846,0.00045390296568,-0.00199094914958,0.000610011660819,5.77849239062,3.00767440467e-13,4.592374412e-21
0.05625,0.00028125,7.91015625e-06,1,-29.8781131449,-29.81808323,-29.885635879,-29.81808323,-29.8781131449,-29.9999451753,-29.9999451753,0.872928673075,0.873122018995,0.872904970922,0.873122018995,0.872928673075,1.66628754074e-09,1.66394863303e-09,1.66658847067e-09,1.66394863303e-09,1.66628754074e-09,1.66628754074e-09,1.66394863303e-09,1.66658847067e-09,1.66394863303e-09,1.66628754074e-09,3.9607500374e-09,3.95519047546e-09,3.96146534508e-09,3.95519047546e-09,3.9607500374e-09,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,4.60525705002e-11,2.99984618877,2.99984616273,2.99984619216,2.99984616273,2.99984618877,9.83987274612e-06,9.83835344483e-06,9.84005989357e-06,9.83835344483e-06,9.83987274612e-06,0.3916,0.3916,0.3916,0.3916,0.3916,6.50321937952,0.000579368788726,-0.00223720434522,0.000762370229681,6.50079917374,-3.67101097784e-14,-7.23670539421e-21
