cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,0.0001464843750000001,2.34375e-06,0.8,1.2822675979124543e-06,0.0,0.0
1,0.00014882812500000012,2.34375e-06,0.8,1.3027834477281335e-06,0.0,0.0
1,0.00015007083333333344,1.4166666666666668e-07,0.3916,6.43619961631251e-07,0.0,0.0
1,0.0001502125000000001,1.4166666666666668e-07,0.3916,6.45392391592684e-07,0.0,0.0
1,0.00015035416666666677,1.4166666666666668e-07,0.3916,6.471648214981189e-07,0.0,0.0
1,0.00015049583333333344,1.4166666666666668e-07,0.3916,6.48937251347365e-07,0.0,0.0
1,0.0001506375000000001,1.4166666666666668e-07,0.3916,6.507096811402317e-07,0.0,0.0
1,0.00015077916666666677,1.4166666666666668e-07,0.3916,6.524821108765281e-07,0.0,0.0
1,0.00015092083333333344,1.4166666666666668e-07,0.3916,6.542545405560637e-07,0.0,0.0
1,0.0001510625000000001,1.4166666666666668e-07,0.3916,6.560269701786472e-07,0.0,0.0
1,0.00015120416666666677,1.4166666666666668e-07,0.3916,6.57799399744088e-07,0.0,0.0
1,0.00015134583333333343,1.4166666666666668e-07,0.3916,6.595718292521948e-07,0.0,0.0
1,0.0001514875000000001,1.4166666666666668e-07,0.3916,6.613442587027768e-07,0.0,0.0
1,0.00015162916666666676,1.4166666666666668e-07,0.3916,6.631166880956429e-07,0.0,0.0
1,0.00015177083333333343,1.4166666666666668e-07,0.3916,6.648891174306017e-07,0.0,0.0
1,0.0001519125000000001,1.4166666666666668e-07,0.3916,6.666615467074621e-07,0.0,0.0
1,0.00015205416666666676,1.4166666666666668e-07,0.3916,6.684339759260329e-07,0.0,0.0
1,0.00015219583333333343,1.4166666666666668e-07,0.3916,6.702064050861226e-07,0.0,0.0
1,0.0001523375000000001,1.4166666666666668e-07,0.3916,6.719788341875399e-07,0.0,0.0
1,0.00015247916666666676,1.4166666666666668e-07,0.3916,6.737512632300935e-07,0.0,0.0
1,0.00015262083333333342,1.4166666666666668e-07,0.3916,6.755236922135917e-07,0.0,0.0
1,0.0001527625000000001,1.4166666666666668e-07,0.3916,6.77296121137843e-07,0.0,0.0
1,0.00015290416666666675,1.4166666666666668e-07,0.3916,6.790685500026557e-07,0.0,0.0
1,0.00015304583333333342,1.4166666666666668e-07,0.3916,6.808409788078384e-07,0.0,0.0
1,0.00015318750000000008,1.4166666666666668e-07,0.3916,6.826134075531991e-07,0.0,0.0
1,0.00015332916666666675,1.4166666666666668e-07,0.3916,6.84385836238546e-07,0.0,0.0
1,0.0001535250000000001,2.5e-07,0.0,0.0,110.35752595771139,0.0
1,0.00015377500000000012,2.5e-07,0.0,0.0,110.36640205621339,1.2635112300536103e-17
1,0.00015402500000000013,2.5e-07,0.0,0.0,110.36985085090227,1.2635112300536103e-17
1,0.00015427500000000013,2.5e-07,0.0,0.0,110.371757944258,1.2635112300536103e-17
1,0.00015452500000000014,2.5e-07,0.0,0.0,110.37310237419096,1.2635112300536103e-17
1,0.00015477500000000014,2.5e-07,0.0,0.0,110.37421893984293,1.2635112300536103e-17
1,0.00015502500000000015,2.5e-07,0.0,0.0,110.37522212772488,1.684681640071495e-17
1,0.00015527500000000016,2.5e-07,0.0,0.0,110.3761510835894,1.684681640071495e-17
1,0.00015552500000000016,2.5e-07,0.0,0.0,110.37701918900584,1.684681640071495e-17
1,0.00015577500000000017,2.5e-07,0.0,0.0,110.37783101521829,1.684681640071495e-17
1,0.00015602500000000017,2.5e-07,0.0,0.0,110.37858812090073,1.684681640071495e-17
1,0.00015627500000000018,2.5e-07,0.0,0.0,110.37929103482706,1.684681640071495e-17
